% Model:              emptyRoomFreq_itteratePermandCond.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 6 2023, 11:48
% Table:              Table 5 - Point Evaluation 1
% freq (MHz)                                      Point average: Electric field norm (V/m)
70                                                8.926742850297718
70.11505752876438                                 8.926742850297718
70.23011505752876                                 9.236686957950466
70.34517258629315                                 9.236686957950466
70.46023011505753                                 9.6188340710302
70.57528764382191                                 9.6188340710302
70.69034517258629                                 10.068137167942758
70.80540270135067                                 10.068137167942758
70.92046023011505                                 10.60107929610301
71.03551775887944                                 10.60107929610301
71.15057528764382                                 11.237890576906059
71.2656328164082                                  11.633129421898287
71.38069034517258                                 11.633129421898287
71.49574787393696                                 12.421089497224985
71.61080540270135                                 12.985413927912392
71.72586293146573                                 13.510503680535017
71.84092046023011                                 14.114001866003312
71.95597798899449                                 14.805608017751902
72.07103551775887                                 15.588531385344764
72.18609304652327                                 16.478252786389962
72.30115057528765                                 17.498511058534106
72.41620810405203                                 18.679473835470777
72.53126563281641                                 20.05968851718505
72.6463231615808                                  21.823693354957896
72.76138069034518                                 23.853820552490248
72.87643821910956                                 26.355755294381865
72.99149574787394                                 29.516367717233102
73.10655327663832                                 33.628765724515354
73.2216108054027                                  39.190691168742795
73.33666833416709                                 47.11557218051478
73.45172586293147                                 59.270216037256404
73.56678339169585                                 80.62229977439085
73.68184092046023                                 126.42714989037553
73.79689844922461                                 297.79540245295357
73.91195597798898                                 817.8042390583698
74.02701350675336                                 171.89179890018784
74.14207103551774                                 96.04032936916887
74.25712856428213                                 66.65134837313843
74.37218609304651                                 51.23213693733415
74.48724362181089                                 41.962526077009926
74.60230115057527                                 35.330912400658875
74.71735867933965                                 30.774960631548325
74.83241620810404                                 27.392064809980578
74.94747373686842                                 24.799815842149812
75.0625312656328                                  22.774651025020674
75.17758879439718                                 21.170560803564094
75.29264632316156                                 20.148048959457814
75.40770385192594                                 18.864306083127218
75.52276138069033                                 18.166273974462975
75.63781890945471                                 17.41709526907607
75.75287643821909                                 16.87346623519916
75.86793396698347                                 16.509625695288825
75.98299149574787                                 16.25717634017439
76.09804902451225                                 16.10448101509819
76.21310655327665                                 16.050484675150688
76.32816408204101                                 16.092672983291617
76.44322161080541                                 16.23055905728391
76.55827913956979                                 16.466482402648037
76.67333666833417                                 16.805487292355394
76.78839419709855                                 17.255618100023987
76.90345172586294                                 17.828485546476788
77.01850925462732                                 18.540077571208414
77.1335667833917                                  19.41192462366415
77.24862431215608                                 20.472743110218317
77.36368184092046                                 21.84332439040448
77.47873936968485                                 23.460189105687956
77.59379689844923                                 25.45987302960801
77.70885442721361                                 27.968264123050297
77.82391195597799                                 31.173647759120655
77.93896948474237                                 35.375584443236775
78.05402701350675                                 41.078540276764116
78.16908454227114                                 49.20012055026203
78.28414207103552                                 61.7124533795799
78.3991995997999                                  83.13157311231967
78.51425712856428                                 128.14452766684872
78.62931465732866                                 283.3895275257571
78.74437218609305                                 1300.4090672455914
78.85942971485743                                 196.66246615320276
78.97448724362181                                 106.37816145508265
79.08954477238619                                 72.70119718974175
79.20460230115057                                 55.32903306675532
79.31965982991495                                 44.96845971360791
79.43471735867934                                 37.432719683294344
79.54977488744372                                 32.25017050243787
79.6648324162081                                  28.349087610672065
79.77988994497248                                 25.29636155043563
79.89494747373686                                 22.846152012841962
80.01000500250125                                 20.837009509304746
80.12506253126563                                 19.16003771693323
80.24012006003001                                 18.070638339558773
80.35517758879439                                 16.522481347333446
80.47023511755879                                 15.658590078341113
80.58529264632315                                 14.589605775222859
80.70035017508755                                 13.672595618393462
80.81540770385193                                 12.958904662107987
80.93046523261631                                 12.330518276155246
81.0455227613807                                  11.748155825305012
81.16058029014508                                 11.21757303951281
81.27563781890946                                 10.736501006476855
81.39069534767384                                 10.297359497385242
81.50575287643821                                 10.251943299064195
81.62081040520259                                 9.549585403399925
81.73586793396697                                 9.156509728478907
81.85092546273135                                 9.156509728478907
81.96598299149574                                 8.583215758188146
82.08104052026012                                 8.537022335121653
82.1960980490245                                  8.034060254735708
