% Model:              dipoleFreespace_1.30.23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 7 2023, 09:38
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      LPV (V)
50                                                0.34888143295081764
55.10204081632653                                 0.3909699906452376
60.20408163265306                                 0.4327055506772627
65.3061224489796                                  0.4757353835097542
70.40816326530611                                 0.5159630343617575
75.51020408163264                                 0.5544105424903008
80.61224489795919                                 0.5887635591485736
85.71428571428571                                 0.6173516927053755
90.81632653061224                                 0.6389362322502802
95.91836734693875                                 0.6526187049454677
101.0204081632653                                 0.6581541208435155
106.12244897959182                                0.6560268354487958
111.22448979591837                                0.6473599998592169
116.32653061224488                                0.6336517001087066
121.42857142857143                                0.6164638790018574
126.53061224489794                                0.597187090675481
131.6326530612245                                 0.5769166608602311
136.73469387755102                                0.5564188198471702
141.8367346938775                                 0.5361634268954225
146.9387755102041                                 0.516399129388899
152.0408163265306                                 0.49724108213267465
157.14285714285714                                0.4787460760055563
162.24489795918365                                0.4609611946594381
167.34693877551018                                0.44394333142806275
172.44897959183675                                0.4277565309641451
177.55102040816325                                0.41245936230677943
182.65306122448976                                0.3980929306632891
187.75510204081633                                0.38467391151085434
192.85714285714286                                0.37219156694295935
197.9591836734694                                 0.3610366341271711
203.06122448979588                                0.3498623351206489
208.16326530612244                                0.3399262093092664
213.26530612244898                                0.3304740906789823
218.3673469387755                                 0.3212912406078331
223.46938775510202                                0.3126421536661886
228.57142857142856                                0.3044537346652281
233.6734693877551                                 0.2965763727384936
238.77551020408163                                0.28892386824722993
243.87755102040813                                0.281421190659063
248.9795918367347                                 0.273997663236551
254.0816326530612                                 0.2665853127490461
259.1836734693877                                 0.25911507081097296
264.2857142857143                                 0.25151159507301063
269.38775510204084                                0.24368747794426468
274.4897959183673                                 0.23553733461728507
279.59183673469386                                0.2269342831166797
284.69387755102036                                0.21773373898046627
289.7959183673469                                 0.2077885051470316
294.8979591836735                                 0.1969735410823587
300                                               0.1852119558576492
300                                               0.1852119558576492
300.3344481605351                                 0.18412887452880472
300.66889632107024                                0.18333363251451726
301.0033444816053                                 0.18250336011084028
301.3377926421404                                 0.18166792254593878
301.6722408026755                                 0.18083456158958283
302.0066889632107                                 0.18000162887644797
302.3411371237458                                 0.17916724141489904
302.67558528428094                                0.17832937968807377
303.01003344481603                                0.1774870283518506
303.3444816053511                                 0.17663999347234421
303.6789297658862                                 0.17578851912993068
304.0133779264214                                 0.17493286705677244
304.3478260869565                                 0.1740731713803752
304.68227424749165                                0.17320950056804668
305.01672240802674                                0.17234188243205495
305.3511705685619                                 0.1714703229128315
305.6856187290969                                 0.1705948342256535
306.0200668896321                                 0.16971544110557799
306.3545150501672                                 0.1688321771996654
306.68896321070235                                0.1679450833832038
307.02341137123744                                0.16705420354147904
307.3578595317726                                 0.16615958174661966
307.6923076923076                                 0.16526126216609877
308.02675585284277                                0.16435928970664648
308.3612040133779                                 0.16345371088210064
308.69565217391306                                0.16254457440812659
309.03010033444815                                0.16163193125445074
309.3645484949833                                 0.1607158344302192
309.6989966555184                                 0.15979633876689342
310.0334448160535                                 0.15887350080321358
310.3678929765886                                 0.15794737877922274
310.70234113712377                                0.1570180326740881
311.03678929765886                                0.15608552422813612
311.371237458194                                  0.15514991693417343
311.7056856187291                                 0.15421127600786458
312.0401337792642                                 0.15326966835260644
312.37458193979927                                0.15232516252845862
312.7090301003345                                 0.1513778287257679
313.04347826086956                                0.1504277387398995
313.3779264214047                                 0.14947496594421544
313.7123745819398                                 0.1485195852601461
314.0468227424749                                 0.1475616731247443
314.38127090301                                   0.14660130745647304
314.7157190635452                                 0.14563856761993027
315.05016722408027                                0.14467353438939418
315.38461538461536                                0.1437062899112422
315.7190635451505                                 0.14273691766502955
316.0535117056856                                 0.1417655024233026
316.3879598662207                                 0.140792130210024
316.7224080267558                                 0.139816888257822
317.056856187291                                  0.1388398649640847
317.39130434782606                                0.1378611498459242
317.7257525083612                                 0.1368808334941479
318.0602006688963                                 0.13589900752608802
318.39464882943145                                0.13491576453757093
318.7290969899665                                 0.1339311980538469
319.0635451505017                                 0.1329454024796928
319.39799331103677                                0.13195847304870584
319.7324414715719                                 0.13097050577171782
320.066889632107                                  0.1299815973846194
320.40133779264215                                0.12899184529541166
320.7357859531772                                 0.12800134753071096
321.07023411371233                                0.12701020268165888
321.4046822742475                                 0.12601850984937182
321.7391304347826                                 0.12502636858990374
322.0735785953177                                 0.12403387885892675
322.40802675585286                                0.12304114095595009
322.74247491638795                                0.1220482554684503
323.07692307692304                                0.12105532321567163
323.4113712374581                                 0.12006244519237322
323.74581939799333                                0.11906972251247815
324.0802675585284                                 0.1180772563527264
324.41471571906357                                0.11708514789635047
324.74916387959865                                0.11609349827691486
325.08361204013374                                0.11510240852230352
325.41806020066883                                0.11411197949893981
325.75250836120404                                0.11312231185631647
326.0869565217391                                 0.1121335059718853
326.4214046822743                                 0.11114566189636656
326.75585284280936                                0.11015887929951093
327.0903010033445                                 0.10917325741645191
327.42474916387954                                0.10818889499457002
327.75919732441463                                0.10720589024108128
328.09364548494983                                0.10622434077126398
328.428093645485                                  0.10524434355749643
328.76254180602007                                0.10426599487905469
329.09698996655516                                0.10328939027279656
329.43143812709025                                0.1023146244847342
329.76588628762534                                0.10134179142258834
330.10033444816054                                0.10037098410929783
330.4347826086956                                 0.09940229463761993
330.7692307692308                                 0.09843581412578471
331.10367892976586                                0.09747163267430017
331.438127090301                                  0.09650983932390082
331.77257525083604                                0.09555052201469846
