% Model:              dipoleMoveInBox_1.10.23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 11 2023, 13:35
% Table:              Table 3 - port voltage
% boxX (m)               boxY (m)                 boxZ (m)                 boxTheta                 boxPhi                   freq (MHz)               abs(emw.Vport_1) (V)
-0.15                    -0.2                     0.1                      80                       50                       50                       0.03018200208751911
-0.15                    -0.2                     0.1                      80                       50                       50.501002004008015       0.0314488935408452
-0.15                    -0.2                     0.1                      80                       50                       51.00200400801602        0.03280435220124032
-0.15                    -0.2                     0.1                      80                       50                       51.503006012024045       0.034255653330064
-0.15                    -0.2                     0.1                      80                       50                       52.00400801603207        0.03581087003772406
-0.15                    -0.2                     0.1                      80                       50                       52.505010020040075       0.03747898160579653
-0.15                    -0.2                     0.1                      80                       50                       53.0060120240481         0.039269999131413574
-0.15                    -0.2                     0.1                      80                       50                       53.50701402805611        0.04119511153917736
-0.15                    -0.2                     0.1                      80                       50                       54.00801603206412        0.04326685552936067
-0.15                    -0.2                     0.1                      80                       50                       54.50901803607214        0.0454993136074071
-0.15                    -0.2                     0.1                      80                       50                       55.01002004008016        0.04790834494194096
-0.15                    -0.2                     0.1                      80                       50                       55.51102204408817        0.050511854369684195
-0.15                    -0.2                     0.1                      80                       50                       56.012024048096194       0.0533301052876736
-0.15                    -0.2                     0.1                      80                       50                       56.51302605210421        0.05638608222487005
-0.15                    -0.2                     0.1                      80                       50                       57.01402805611222        0.05970590817821069
-0.15                    -0.2                     0.1                      80                       50                       57.51503006012024        0.06331931961932469
-0.15                    -0.2                     0.1                      80                       50                       58.016032064128254       0.06728027730206843
-0.15                    -0.2                     0.1                      80                       50                       58.51703406813626        0.07168521440529523
-0.15                    -0.2                     0.1                      80                       50                       59.018036072144284       0.07658493850100148
-0.15                    -0.2                     0.1                      80                       50                       59.5190380761523         0.08205474413020776
-0.15                    -0.2                     0.1                      80                       50                       60.020040080160314       0.08818568737788739
-0.15                    -0.2                     0.1                      80                       50                       60.521042084168336       0.0950888244124122
-0.15                    -0.2                     0.1                      80                       50                       61.022044088176344       0.1029008440139442
-0.15                    -0.2                     0.1                      80                       50                       61.52304609218436        0.1117916293980533
-0.15                    -0.2                     0.1                      80                       50                       62.02404809619239        0.12197403640514637
-0.15                    -0.2                     0.1                      80                       50                       62.525050100200396       0.1338530857505125
-0.15                    -0.2                     0.1                      80                       50                       63.02605210420842        0.14788042656750383
-0.15                    -0.2                     0.1                      80                       50                       63.52705410821643        0.16463354120928855
-0.15                    -0.2                     0.1                      80                       50                       64.02805611222445        0.18493078782363268
-0.15                    -0.2                     0.1                      80                       50                       64.52905811623246        0.20988462966343963
-0.15                    -0.2                     0.1                      80                       50                       65.03006012024048        0.24117127468640856
-0.15                    -0.2                     0.1                      80                       50                       65.53106212424849        0.2813141705130419
-0.15                    -0.2                     0.1                      80                       50                       66.03206412825651        0.33433484016943044
-0.15                    -0.2                     0.1                      80                       50                       66.53306613226452        0.4080321799588401
-0.15                    -0.2                     0.1                      80                       50                       67.03406813627254        0.515084187694001
-0.15                    -0.2                     0.1                      80                       50                       67.53507014028055        0.676498691859791
-0.15                    -0.2                     0.1                      80                       50                       68.03607214428857        0.9133155593909312
-0.15                    -0.2                     0.1                      80                       50                       68.5370741482966         1.1537582370104087
-0.15                    -0.2                     0.1                      80                       50                       69.0380761523046         1.1317360708209525
-0.15                    -0.2                     0.1                      80                       50                       69.53907815631263        0.9032611510873726
-0.15                    -0.2                     0.1                      80                       50                       70.04008016032064        0.7028821471909235
-0.15                    -0.2                     0.1                      80                       50                       70.54108216432864        0.5618658530237406
-0.15                    -0.2                     0.1                      80                       50                       71.04208416833667        0.4655776741293021
-0.15                    -0.2                     0.1                      80                       50                       71.54308617234469        0.39792880120575586
-0.15                    -0.2                     0.1                      80                       50                       72.04408817635269        0.3486817870413772
-0.15                    -0.2                     0.1                      80                       50                       72.54509018036072        0.31167982838408936
-0.15                    -0.2                     0.1                      80                       50                       73.04609218436873        0.2831431744262192
