Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
576904000,-20.15624399,127.9054647,-18.65716295,-52.76476571,10.26341383,121.4441495,-11.97980188,167.169479,
588902000,-20.1541052,126.7588499,-18.6428121,-53.91134644,10.24038575,120.2446827,-12.0116376,167.0286762,
600900000,-20.12164442,125.547648,-18.64639867,-54.97032395,10.21554446,119.0665273,-12.03384919,166.7571235,
612898000,-20.10508658,124.4655077,-18.63997362,-56.02887481,10.19061192,117.8845817,-12.05683402,166.5412684,
624896000,-20.10853458,123.1553689,-18.63755727,-57.18379532,10.17604975,116.7704161,-12.07084627,166.3036505,
636894000,-20.12335401,121.8503744,-18.63853287,-58.30157157,10.1631893,115.6631343,-12.09204518,165.9789694,
648892000,-20.11370685,120.5482014,-18.61960429,-59.30376214,10.14541946,114.5913706,-12.11350026,165.6648096,
660890000,-20.10659046,119.4233664,-18.61820498,-60.42887629,10.14255334,113.4992616,-12.1381263,165.4447897,
672888000,-20.11181875,118.051255,-18.60362861,-61.52886853,10.14182178,112.408576,-12.17183875,165.0669283,
684886000,-20.11063906,116.8757811,-18.61589351,-62.56834822,10.1541473,111.3383699,-12.20320882,164.7212669,
696884000,-20.12324922,115.6571994,-18.60471056,-63.65005512,10.15919597,110.2299543,-12.21899103,164.457321,
708882000,-20.11665236,114.3168464,-18.59367817,-64.65533213,10.18859737,109.1488355,-12.24861284,164.2012863,
720880000,-20.11846394,113.1118403,-18.59726905,-65.68436401,10.21167246,108.0155456,-12.28326233,164.0205724,
732878000,-20.12857062,111.9522265,-18.60016453,-66.88056121,10.23989161,106.9038065,-12.31337339,163.7519905,
744876000,-20.12568132,110.8604046,-18.59721714,-67.90152841,10.26252924,105.7724601,-12.34602779,163.6093627,
756874000,-20.13745712,109.6578259,-18.58857708,-69.00512617,10.29601886,104.5708039,-12.38683939,163.4103857,
768872000,-20.15085447,108.452156,-18.56784738,-70.06646068,10.32213331,103.3217589,-12.42280351,163.1814638,
780870000,-20.14112299,107.3118934,-18.56882389,-71.24277815,10.35116217,102.0331972,-12.45782098,162.9135593,
792868000,-20.15801234,106.0483077,-18.56645324,-72.33019816,10.37255964,100.7133479,-12.49933248,162.5899415,
804866000,-20.14257585,104.8009227,-18.56053492,-73.37057013,10.3919327,99.33410664,-12.53525027,162.2988092,
816864000,-20.1376148,103.6370829,-18.5592872,-74.50622532,10.40001531,97.92273618,-12.57480251,162.0474131,
828862000,-20.12503852,102.30402,-18.56411437,-75.57553483,10.40806248,96.47289111,-12.60593771,161.7869594,
840860000,-20.10453494,100.9830417,-18.5567245,-76.62863519,10.40162388,95.03704959,-12.63909121,161.5515996,
852858000,-20.09174748,99.75815194,-18.55156934,-77.71612407,10.40527532,93.66244477,-12.67337886,161.1869616,
864856000,-20.06024818,98.58099801,-18.54507155,-78.90561404,10.39358113,92.25705474,-12.69980734,160.9579692,
876854000,-20.03095599,97.34910285,-18.52897855,-79.95851198,10.38323682,90.92710965,-12.73094745,160.6954382,
888852000,-20.00663789,96.17396759,-18.54045742,-81.20521364,10.36472803,89.60237128,-12.7551511,160.3806613,
900850000,-19.94194791,95.12761129,-18.53494883,-82.21003556,10.34532747,88.41841287,-12.77196515,160.1739926,
912848000,-19.92378816,93.90182793,-18.53065038,-83.36739509,10.31724961,87.20717954,-12.79137161,159.9074712,
924846000,-19.9350021,92.59088903,-18.52296473,-84.48029724,10.28417847,86.02602511,-12.8075458,159.6824259,
936844000,-19.95131527,91.11958734,-18.50328434,-85.58830777,10.25529652,84.90916195,-12.8496472,159.3253468,
948842000,-19.94829949,89.98848031,-18.51371555,-86.7683444,10.22819467,83.82367521,-12.89021299,159.0076359,
960840000,-19.93116557,88.66398782,-18.48945028,-87.84636779,10.21109427,82.73135703,-12.93190151,158.8043034,
972838000,-19.93015511,87.38831415,-18.49417529,-89.0189056,10.19600067,81.64784615,-12.97963485,158.5346484,
984836000,-19.94506784,85.96394489,-18.48926922,-90.06134329,10.19115329,80.58439949,-13.01954967,158.4569026,
996834000,-19.98166157,84.59125217,-18.48517107,-91.15774691,10.19151763,79.5945283,-13.07537538,158.2306917,
1008832000,-20.0132892,83.26601917,-18.48291193,-92.24621785,10.20878403,78.50896746,-13.12258644,157.9390576,
1020830000,-20.02159668,82.00750449,-18.47789892,-93.37969441,10.23398461,77.49801138,-13.15070457,157.7113129,
1032828000,-20.03213816,80.81150205,-18.47471316,-94.46225233,10.26039489,76.43661238,-13.19645434,157.3344363,
1044826000,-20.03668517,79.43531269,-18.46761566,-95.48181353,10.29284247,75.39772469,-13.24721708,156.936778,
1056824000,-20.06797199,78.05237377,-18.44802591,-96.68172881,10.33218181,74.26754987,-13.28864915,156.762997,
1068822000,-20.10918658,76.76106187,-18.46006255,-97.67345369,10.36687638,73.14541325,-13.34292087,156.612072,
1080820000,-20.13505124,75.61175878,-18.45143159,-98.81693001,10.39327181,71.99730254,-13.38948538,156.4289473,
1092818000,-20.13110888,74.48464492,-18.43847022,-99.99715305,10.43304633,70.71403369,-13.42346346,156.3019058,
1104816000,-20.11211675,73.19408012,-18.4403385,-101.1547372,10.46662398,69.34275958,-13.45933821,156.1700641,
1116814000,-20.12907507,71.92714027,-18.43950375,-102.2402805,10.49109767,67.9635553,-13.5073009,155.918215,
1128812000,-20.13915501,70.7921439,-18.4240581,-103.3098727,10.51540035,66.54977667,-13.5549374,155.6676732,
1140810000,-20.14585686,69.55600692,-18.41380762,-104.3651347,10.53468889,65.09881235,-13.60433695,155.3610417,
1152808000,-20.11274191,68.20220095,-18.40181106,-105.492131,10.54483936,63.58756018,-13.65515192,154.9005723,
