Frequency,S11_Magnitude,S11_Phase,S11_VSWR,S12_Magnitude,S12_Phase,S12_VSWR,S21_Magnitude,S21_Phase,S21_VSWR,S22_Magnitude,S22_Phase,S22_VSWR,
408910821,-18.15117829,179.1581263,1.282376368,-18.94193474,-16.60960031,1.254675593,10.58349831,159.3722806,nan,-11.06193437,170.8402467,1.777144454,
420934669,-18.1317447,178.9252083,1.283098385,-18.92552343,-16.99947645,1.2552187,10.5951345,158.8333549,nan,-11.07329625,170.4853305,1.77573451,
432958517,-18.12881652,178.6993253,1.283207356,-18.92998152,-17.38724922,1.255071039,10.6128223,158.2658465,nan,-11.09382205,170.1400551,1.773195664,
444982364,-18.13470581,178.6563806,1.282988237,-18.90266254,-17.89304915,1.255977396,10.63262688,157.6993933,nan,-11.10845974,169.7442378,1.77139161,
457006212,-18.10657675,178.4423866,1.284036537,-18.93003866,-18.38677161,1.255069147,10.65366797,157.0833172,nan,-11.09682016,169.2555171,1.772825716,
469030060,-18.11436354,178.4589942,1.283745907,-18.92064789,-18.80499546,1.255380297,10.66751372,156.4068132,nan,-11.09507173,168.8202643,1.773041434,
481053907,-18.14024795,178.2128996,1.282782208,-18.92843428,-19.21416437,1.255122276,10.69232751,155.7239491,nan,-11.09068034,168.4753281,1.773583575,
493077755,-18.10246537,177.9173299,1.284190124,-18.90045759,-19.85032808,1.256050706,10.70411899,155.0412324,nan,-11.10369775,168.221184,1.771977921,
505101603,-18.11767584,177.8582177,1.283622381,-18.89242596,-20.20676502,1.256317936,10.71666347,154.2648756,nan,-11.09983516,167.9755622,1.772453913,
517125450,-18.11778311,177.6938484,1.283618382,-18.89174879,-20.70516202,1.256340481,10.72499833,153.4771676,nan,-11.10315724,167.7218304,1.772044506,
529149298,-18.09860413,177.5465449,1.284334451,-18.90810884,-21.20648978,1.255796419,10.72381286,152.6613874,nan,-11.10939445,167.4964965,1.771276592,
541173146,-18.09855221,177.4869952,1.284336392,-18.89558935,-21.76052443,1.256212646,10.71879158,151.8680104,nan,-11.12467212,167.1281118,1.769399755,
553196993,-18.08606387,177.3288334,1.284803755,-18.88154008,-22.07168194,1.25668063,10.71124051,151.1068276,nan,-11.12944085,166.8470829,1.768815118,
565220841,-18.08949948,177.2402183,1.284675094,-18.88852171,-22.52428476,1.256447952,10.69447976,150.2954022,nan,-11.13212144,166.5534938,1.768486734,
577244689,-18.07995371,177.1294501,1.285032735,-18.87873877,-23.22317734,1.256774057,10.68032164,149.5304723,nan,-11.14183494,166.3411315,1.767298284,
589268537,-18.07186324,177.0578766,1.285336248,-18.85845556,-23.71312366,1.25745165,10.65415639,148.9104369,nan,-11.15924627,166.1588638,1.76517387,
601292384,-18.07835274,176.9999457,1.285092767,-18.85204006,-24.20313304,1.257666384,10.62902208,148.2762682,nan,-11.1773664,165.917244,1.762970941,
613316232,-18.05922551,177.0106908,1.285811078,-18.84486417,-24.7339309,1.257906807,10.60314541,147.7975001,nan,-11.21105713,165.7288877,1.758896504,
625340080,-18.02526978,176.8547288,1.287091286,-18.85052544,-25.13846869,1.25771711,10.58750426,147.2791696,nan,-11.22267997,165.4502728,1.75749732,
637363927,-18.03351223,176.5708337,1.286779934,-18.84579057,-25.68303458,1.257875755,10.57552581,146.7737412,nan,-11.23901348,165.1509987,1.755536606,
649387775,-18.01709045,176.5461042,1.287400628,-18.82869849,-26.29619105,1.258449341,10.56035805,146.3174372,nan,-11.24981685,164.7495736,1.754243295,
661411623,-17.97538276,176.4744528,1.288983863,-18.83553439,-26.70722548,1.258219767,10.55520526,145.8236513,nan,-11.2798771,164.5273845,1.750659483,
673435470,-17.95317088,176.1720056,1.289831039,-18.81983401,-27.23907164,1.25874738,10.55388384,145.3426794,nan,-11.32200246,164.1920445,1.745673641,
685459318,-17.95354428,175.9129386,1.289816774,-18.82085731,-27.69603541,1.258712956,10.56209241,144.7960645,nan,-11.35053528,163.7055846,1.742320481,
697483166,-17.93025218,175.6956174,1.290708108,-18.83155044,-27.97932542,1.258353535,10.57207216,144.3293574,nan,-11.37951172,163.3855836,1.738934772,
709507014,-17.89972056,175.3814931,1.291881162,-18.80700645,-28.53474394,1.259179344,10.59814922,143.8501432,nan,-11.38936219,163.0413992,1.737788276,
