Frequency,S11_Magnitude,S12_Magnitude,S21_Magnitude,S22_Magnitude,
1000000,-3.499503018,-41.78352523,-40.21800987,-0.1881468791,
2997002,-10.32583559,-61.24433358,-7.435188935,-12.5914898,
4994005,-14.00220866,-51.50744767,-7.483599022,-13.35027479,
6991008,-16.16644177,-50.97156203,-7.897432291,-11.57001788,
8988011,-17.5231112,-48.71382002,-7.869537962,-11.02400844,
10985014,-18.46020753,-48.60772493,-7.909085594,-10.7896643,
12982017,-19.11217151,-47.18915754,-7.991640844,-10.71608286,
14979020,-19.53036682,-50.85414602,-7.94901963,-10.5523863,
16976023,-19.93198143,-51.82374525,-7.95952987,-10.51549098,
18973026,-20.15155343,-54.79108408,-8.000715704,-10.53209373,
20970029,-20.26512428,-56.00044321,-7.998994615,-10.45837535,
22967032,-20.49516089,-51.03605803,-7.99524376,-10.47996921,
24964035,-20.51245798,-52.50181724,-8.068194073,-10.48053686,
26961038,-20.74800751,-49.44694349,-8.07417894,-10.46515115,
28958041,-20.77013458,-49.0952145,-8.064457361,-10.45811762,
30955044,-20.93275184,-51.19839656,-8.124782813,-10.4604797,
32952047,-20.86909019,-49.9923006,-8.088771931,-10.41855024,
34949050,-20.88308529,-52.77247936,-8.090961169,-10.42816401,
36946053,-21.04392347,-54.78384875,-8.112676312,-10.49840473,
38943056,-20.9901987,-50.2434503,-8.115101102,-10.41911286,
40940059,-21.05529934,-52.44307807,-8.104707382,-10.40358314,
42937062,-21.1411969,-53.50840166,-8.160481991,-10.44478208,
44934065,-20.99799549,-53.83886051,-8.153352779,-10.39290179,
46931068,-21.18135015,-50.10762423,-8.127869186,-10.40486621,
48928071,-21.08845484,-49.9705533,-8.171945166,-10.42117356,
50925074,-21.13759859,-53.34725851,-8.122711291,-10.40139751,
52922077,-21.20173448,-52.21538057,-8.145280587,-10.39221113,
54919080,-21.23364431,-47.32832012,-8.142746414,-10.41693563,
56916083,-21.17682818,-49.04402806,-8.113430817,-10.3692395,
58913086,-21.19140057,-51.79028733,-8.117255558,-10.37165832,
60910089,-21.43841895,-52.33235781,-8.120697717,-10.38003749,
62907092,-21.22277235,-49.86378287,-8.074194735,-10.37454151,
64904095,-21.18736187,-52.95088194,-8.077300897,-10.34686172,
66901098,-21.17123241,-54.98872665,-8.1077742,-10.37776099,
68898101,-21.1907653,-48.94683724,-8.05601232,-10.30788831,
70895104,-21.23596514,-49.7969855,-8.051496254,-10.31518451,
72892107,-21.25444306,-54.4232964,-8.094903417,-10.33206339,
74889110,-21.17136757,-50.45682437,-8.047244552,-10.31751104,
76886113,-21.16911033,-54.0822801,-8.032123747,-10.29115536,
78883116,-21.21147149,-52.2288661,-8.050354603,-10.31096768,
80880119,-21.24938126,-49.89090747,-8.0130921,-10.28129309,
82877122,-21.17768476,-54.16803804,-7.993184242,-10.28758776,
84874125,-21.27264186,-52.86837983,-8.030949925,-10.26975827,
86871128,-21.24354117,-49.57857821,-7.973005774,-10.25828079,
88868131,-21.2575564,-51.33709133,-7.968948802,-10.25789402,
90865134,-21.35904716,-47.51445185,-7.969299152,-10.26471656,
92862137,-21.21905934,-51.91182874,-7.942051463,-10.21376358,
94859140,-21.13354423,-54.27095606,-7.932309696,-10.2421719,
96856143,-21.27700916,-49.36709688,-7.934865233,-10.23942553,
98853146,-21.34463391,-49.30841162,-7.891105272,-10.19929114,
100850149,-21.26584786,-49.73410657,-7.886630674,-10.19210714,
102847152,-21.24388431,-48.83420666,-7.943352374,-10.20153859,
104844155,-21.2011638,-50.42922537,-7.87690159,-10.19884278,
106841158,-21.17239896,-51.09793949,-7.865724963,-10.16151272,
108838161,-21.24006177,-48.78741949,-7.896541657,-10.17927746,
110835164,-21.26153357,-48.09561886,-7.860345356,-10.16269385,
