Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S21_Magnitude,S21_Phase,S22_Magnitude,S22_Phase,
576904000,-18.88755917,123.1991137,-19.01940388,-52.41742115,10.88600958,121.4108707,-11.27389294,166.9714942,
588902000,-18.88957592,122.0259438,-18.99859634,-53.50479316,10.86045527,120.1953171,-11.30073592,166.8214769,
600900000,-18.85592479,120.7346266,-19.0005191,-54.5799306,10.83423445,119.0193703,-11.3189003,166.5340451,
612898000,-18.85059689,119.5626967,-18.99867343,-55.62179596,10.80625778,117.8320502,-11.33615742,166.3199305,
624896000,-18.8534481,118.146275,-18.99110988,-56.78651052,10.78904733,116.7194281,-11.34917865,166.0714845,
636894000,-18.86463708,116.8117555,-18.99123455,-57.88458728,10.77391745,115.6251496,-11.36460761,165.7468864,
648892000,-18.85949459,115.4294588,-18.97985414,-58.89569704,10.75668094,114.5673288,-11.37946105,165.4574926,
660890000,-18.86368997,114.2357137,-18.97421457,-60.00338143,10.75215836,113.4876042,-11.39856305,165.2217112,
672888000,-18.86833186,112.8055575,-18.9611823,-61.09341092,10.75095967,112.4244771,-11.42615282,164.8540415,
684886000,-18.87176094,111.5646194,-18.97455172,-62.12472528,10.76396049,111.3533791,-11.45373481,164.4952888,
696884000,-18.88321617,110.2368683,-18.96127792,-63.15853131,10.76911638,110.2608519,-11.46596134,164.2284069,
708882000,-18.8819318,108.8595138,-18.95273423,-64.18880611,10.79920236,109.1897579,-11.48974699,163.9729755,
720880000,-18.89562843,107.5856393,-18.95273943,-65.22432196,10.8230782,108.0630384,-11.52044277,163.8171611,
732878000,-18.89965397,106.3469256,-18.96061898,-66.39267517,10.85245687,106.9555982,-11.54639692,163.5367413,
744876000,-18.9049984,105.1872825,-18.95232989,-67.4254435,10.87848096,105.8056242,-11.5748953,163.3612006,
756874000,-18.92231465,103.9351069,-18.94636087,-68.49961679,10.91241078,104.6027662,-11.60592212,163.1253054,
768872000,-18.94155838,102.6060539,-18.92493287,-69.55055574,10.94079285,103.3502788,-11.63589499,162.9011063,
780870000,-18.93392331,101.4739211,-18.92179147,-70.72338158,10.96923101,102.0594299,-11.6661165,162.6323087,
792868000,-18.95315091,100.1341738,-18.9190112,-71.78472791,10.99525096,100.7323473,-11.69835003,162.2839356,
804866000,-18.94175876,98.87389829,-18.9128871,-72.83191236,11.01551437,99.33271898,-11.73069518,162.0015998,
816864000,-18.93935365,97.61515349,-18.90962856,-73.96206386,11.02436317,97.91971989,-11.76467137,161.7819589,
828862000,-18.92783238,96.26141585,-18.9236897,-75.03192279,11.03388376,96.43536311,-11.78994151,161.4801593,
840860000,-18.91798679,94.90812847,-18.91260832,-76.11021353,11.02754423,94.97694486,-11.81708881,161.2495984,
852858000,-18.89824381,93.61376815,-18.90396106,-77.17874683,11.02816941,93.60493521,-11.84380776,160.8974038,
864856000,-18.87939499,92.33128573,-18.89831632,-78.35829309,11.01331777,92.17969586,-11.86266208,160.68318,
876854000,-18.85120957,91.10019806,-18.88484855,-79.40706978,11.00073019,90.85421668,-11.88969608,160.4400976,
888852000,-18.83145047,89.84469626,-18.89469149,-80.60457744,10.97910067,89.49420124,-11.9084287,160.1276744,
900850000,-18.78641404,88.69977067,-18.88255421,-81.63052804,10.95232576,88.29607157,-11.91504188,159.8603155,
912848000,-18.77167593,87.42390793,-18.8862639,-82.76201602,10.92285755,87.07370259,-11.93193982,159.5580953,
924846000,-18.77860813,86.01595373,-18.87842506,-83.9016853,10.88544446,85.90647201,-11.94108843,159.3158793,
936844000,-18.79292823,84.53043368,-18.85921591,-84.99980414,10.85418195,84.80368049,-11.97149468,158.9808512,
948842000,-18.79892028,83.25290617,-18.86674053,-86.14450762,10.82330168,83.72210526,-12.0062002,158.6729959,
960840000,-18.78891275,81.87994195,-18.84819034,-87.23526677,10.80491461,82.65296773,-12.03844679,158.4636709,
972838000,-18.78553178,80.49113034,-18.84840803,-88.35618986,10.78820009,81.58783033,-12.0804946,158.1881846,
984836000,-18.80173171,79.01860721,-18.84136135,-89.40310182,10.78070794,80.54293742,-12.11676159,158.0875818,
996834000,-18.84044993,77.57922934,-18.83870209,-90.51092476,10.781527,79.57509037,-12.16114917,157.9095165,
1008832000,-18.86984399,76.15263843,-18.83689054,-91.56940609,10.79889421,78.52546234,-12.20028808,157.6162329,
1020830000,-18.88534139,74.78935495,-18.83008583,-92.67992428,10.8248211,77.54006062,-12.21960019,157.3877672,
1032828000,-18.89427678,73.56424301,-18.83292887,-93.79185168,10.85290681,76.51741842,-12.25713474,157.0255907,
1044826000,-18.90268654,72.15297357,-18.81983384,-94.77263436,10.88791056,75.48315985,-12.29726235,156.6228683,
1056824000,-18.92075643,70.75384471,-18.80505335,-95.99788374,10.93048211,74.34936422,-12.33313671,156.4361559,
1068822000,-18.96719812,69.30225751,-18.8149053,-96.96441715,10.96707365,73.23096369,-12.38013385,156.2593134,
1080820000,-18.99612261,68.11632037,-18.80769734,-98.13078451,10.99687597,72.08136301,-12.41797367,156.0494149,
1092818000,-18.99793907,66.8875818,-18.79287855,-99.26124779,11.04020732,70.77936963,-12.44453274,155.9234754,
1104816000,-18.98254483,65.61232118,-18.78893975,-100.4426195,11.07638789,69.42880382,-12.47174841,155.7949402,
1116814000,-19.00050504,64.28254804,-18.79260971,-101.534992,11.10615009,68.02426921,-12.51229515,155.53767,
1128812000,-19.00915517,63.02308231,-18.77836337,-102.593894,11.13038258,66.57710464,-12.55031754,155.2750006,
1140810000,-19.02048586,61.69511965,-18.7666609,-103.6670287,11.15193625,65.11415337,-12.59170462,154.9758939,
1152808000,-18.99813735,60.37585462,-18.75491595,-104.750468,11.16147674,63.6024666,-12.63465625,154.5516794,
1164806000,-18.97333064,58.94537243,-18.76229861,-105.7625202,11.16894192,62.05394813,-12.65158167,154.3361001,
1176804000,-18.95118115,57.54738879,-18.75440609,-106.9645317,11.17090851,60.56916586,-12.6743349,153.9857489,
