% Model:              dipoleMoveInBox_1.10.23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 9 2023, 18:53
% Table:              Table 3 - port voltage
% boxX (m)               boxY (m)                 boxZ (m)                 freq (MHz)               abs(emw.Vport_1) (V)
-0.15                    0.35                     0.7                      98                       0.46442274526922434
-0.15                    0.35                     0.7                      98.10126582278481        0.46442274526922434
-0.15                    0.35                     0.7                      98.20253164556962        0.46442274526922434
-0.15                    0.35                     0.7                      98.30379746835443        0.46442274526922434
-0.15                    0.35                     0.7                      98.40506329113924        0.4346380538400451
-0.15                    0.35                     0.7                      98.50632911392405        0.4120809531504496
-0.15                    0.35                     0.7                      98.60759493670886        0.3847195005883606
-0.15                    0.35                     0.7                      98.70886075949367        0.34422672392773423
-0.15                    0.35                     0.7                      98.81012658227849        0.3442267239277342
-0.15                    0.35                     0.7                      98.9113924050633         0.3442267239277342
-0.15                    0.35                     0.7                      99.0126582278481         0.3076144781375916
-0.15                    0.35                     0.7                      99.11392405063292        0.2728718509430403
-0.15                    0.35                     0.7                      99.21518987341773        0.2728718509430403
-0.15                    0.35                     0.7                      99.31645569620252        0.2728718509430403
-0.15                    0.35                     0.7                      99.41772151898732        0.2728718509430403
-0.15                    0.35                     0.7                      99.51898734177213        0.2728718509430403
-0.15                    0.35                     0.7                      99.62025316455694        0.24540454076080678
-0.15                    0.35                     0.7                      99.72151898734175        0.24540454076080678
-0.15                    0.35                     0.7                      99.82278481012656        0.21356499767285403
-0.15                    0.35                     0.7                      99.92405063291137        0.17328340441820303
-0.15                    0.35                     0.7                      100.02531645569618       0.17328340441820303
-0.15                    0.35                     0.7                      100.126582278481         0.17328340441820306
-0.15                    0.35                     0.7                      100.22784810126582       0.17328340441820303
-0.15                    0.35                     0.7                      100.32911392405063       0.14356460507983848
-0.15                    0.35                     0.7                      100.43037974683544       0.14356460507983848
-0.15                    0.35                     0.7                      100.53164556962025       0.11071375568784331
-0.15                    0.35                     0.7                      100.63291139240506       0.11071375568784331
-0.15                    0.35                     0.7                      100.73417721518987       0.11071375568784331
-0.15                    0.35                     0.7                      100.83544303797468       0.11071375568784331
-0.15                    0.35                     0.7                      100.9367088607595        0.08030100330200399
-0.15                    0.35                     0.7                      101.0379746835443        0.08030100330200399
-0.15                    0.35                     0.7                      101.13924050632912       0.04902748644336625
-0.15                    0.35                     0.7                      101.24050632911393       0.04902748644336625
-0.15                    0.35                     0.7                      101.34177215189874       0.04902748644336625
-0.15                    0.35                     0.7                      101.44303797468355       0.04902748644336625
-0.15                    0.35                     0.7                      101.54430379746836       0.0200694293970728
-0.15                    0.35                     0.7                      101.64556962025317       0.020069429397072798
-0.15                    0.35                     0.7                      101.74683544303798       0.020069429397072798
-0.15                    0.35                     0.7                      101.84810126582279       0.01421119313977924
-0.15                    0.35                     0.7                      101.94936708860759       0.01421119313977924
-0.15                    0.35                     0.7                      102.0506329113924        0.01421119313977924
-0.15                    0.35                     0.7                      102.1518987341772        0.04086084129322458
-0.15                    0.35                     0.7                      102.253164556962         0.04086084129322457
-0.15                    0.35                     0.7                      102.35443037974682       0.04086084129322457
-0.15                    0.35                     0.7                      102.45569620253163       0.04086084129322458
-0.15                    0.35                     0.7                      102.55696202531644       0.06982931833539617
-0.15                    0.35                     0.7                      102.65822784810125       0.06982931833539617
-0.15                    0.35                     0.7                      102.75949367088606       0.06982931833539617
-0.15                    0.35                     0.7                      102.86075949367087       0.09919185869828835
-0.15                    0.35                     0.7                      102.9620253164557        0.09919185869828835
-0.15                    0.35                     0.7                      103.0632911392405        0.09919185869828835
-0.15                    0.35                     0.7                      103.16455696202532       0.09919185869828835
-0.15                    0.35                     0.7                      103.26582278481013       0.1278616867533056
-0.15                    0.35                     0.7                      103.36708860759494       0.1278616867533056
-0.15                    0.35                     0.7                      103.46835443037975       0.1278616867533056
-0.15                    0.35                     0.7                      103.56962025316456       0.15722373795495687
-0.15                    0.35                     0.7                      103.67088607594937       0.15722373795495687
-0.15                    0.35                     0.7                      103.77215189873418       0.15722373795495687
-0.15                    0.35                     0.7                      103.87341772151899       0.15722373795495687
-0.15                    0.35                     0.7                      103.9746835443038        0.1840380720601739
-0.15                    0.35                     0.7                      104.07594936708861       0.18403807206017395
-0.15                    0.35                     0.7                      104.17721518987342       0.1840380720601739
-0.15                    0.35                     0.7                      104.27848101265823       0.2132224012554137
-0.15                    0.35                     0.7                      104.37974683544304       0.21322240125541372
-0.15                    0.35                     0.7                      104.48101265822785       0.21322240125541372
-0.15                    0.35                     0.7                      104.58227848101265       0.21322240125541372
-0.15                    0.35                     0.7                      104.68354430379746       0.23969573455372514
-0.15                    0.35                     0.7                      104.78481012658226       0.23969573455372517
-0.15                    0.35                     0.7                      104.88607594936707       0.23969573455372517
-0.15                    0.35                     0.7                      104.98734177215188       0.2704767642633645
-0.15                    0.35                     0.7                      105.08860759493669       0.2704767642633645
-0.15                    0.35                     0.7                      105.1898734177215        0.2704767642633645
-0.15                    0.35                     0.7                      105.29113924050631       0.2704767642633645
-0.15                    0.35                     0.7                      105.39240506329112       0.2944173049196611
-0.15                    0.35                     0.7                      105.49367088607593       0.2944173049196611
-0.15                    0.35                     0.7                      105.59493670886074       0.31925195392573247
-0.15                    0.35                     0.7                      105.69620253164557       0.31925195392573247
-0.15                    0.35                     0.7                      105.79746835443038       0.31925195392573247
-0.15                    0.35                     0.7                      105.89873417721519       0.3371566910033669
-0.15                    0.35                     0.7                      106                      0.3371566910033669
