Frequency (MHz)	Matching Parameter (linear)
30.0	0.06625111287101182
30.104444	0.06699694613201768
30.208888	0.06630230719732877
30.313333	0.06513519065314832
30.417777	0.06417786020126581
30.522222	0.06348186899957464
30.626666	0.06274589311583678
30.731111	0.062052054825231906
30.835555	0.06135776331093079
30.94	0.06058561210291402
31.044444	0.05997116339831676
31.148888	0.05929491554474353
31.253333	0.05901610277928404
31.357777	0.05846023837931602
31.462222	0.057933534728951463
31.566666	0.057607775746801315
31.671111	0.05716786411935548
31.775555	0.056734754887517
31.88	0.05661843969270053
31.984444	0.05640902166263728
32.088888	0.056145903271872855
32.193333	0.05592276631861781
32.297777	0.0557437871882962
32.402222	0.055784748780794424
32.506666	0.05572304779864967
32.611111	0.05578070100631416
32.715555	0.055847452274995546
32.82	0.056007758595667756
32.924444	0.056034379375566656
33.028888	0.056165860310313453
33.133333	0.056358980409004555
33.237777	0.056587714643373976
33.342222	0.05698163864344852
33.446666	0.05735003876319744
33.551111	0.057640221617558995
33.655555	0.05798488582659478
33.76	0.058554605322621356
33.864444	0.05909834784632517
33.968888	0.059594504547293425
34.073333	0.06019567171949225
34.177777	0.06080053689861076
34.282222	0.06144176065274298
34.386666	0.06234278316293784
34.491111	0.06302631478986143
34.595555	0.0638726823595901
34.7	0.06469223298241811
34.804444	0.06559832477840322
34.908888	0.06663390657445167
35.013333	0.06754588837634101
35.117777	0.06861820934559337
35.222222	0.06964012911806383
35.326666	0.07048693452404098
35.431111	0.07144777876971709
35.535555	0.07259395304036109
35.64	0.0735664013372308
35.744444	0.0747503257387776
35.848888	0.07572299582974495
35.953333	0.07678666127007217
36.057777	0.0780334985166069
36.162222	0.07919450364700387
36.266666	0.08037642137063528
36.371111	0.08148952743101134
36.475555	0.08256610940658315
36.58	0.08348229977128696
36.684444	0.08490011276633846
36.788888	0.08589016447908904
36.893333	0.08710336010137087
36.997777	0.08831896225997538
37.102222	0.08910963301811436
37.206666	0.09039788442199481
37.311111	0.09141620533542727
37.415555	0.09256566598272964
37.52	0.0934792379966739
37.624444	0.09458698938993637
37.728888	0.09559906892170078
37.833333	0.09672278751086749
37.937777	0.09756596910240178
38.042222	0.09859370120902755
38.146666	0.09965115088817567
38.251111	0.10045775551581271
38.355555	0.10149796136583134
38.46	0.10231396858234143
38.564444	0.10343016347731948
38.668888	0.10427185784378568
38.773333	0.10526245187872729
38.877777	0.10601592352887157
38.982222	0.10689394962469545
39.086666	0.10784652409025797
39.191111	0.10838709789803591
39.295555	0.10938092701691338
39.4	0.11017176792652883
39.504444	0.11074008301469673
39.608888	0.1115934815792714
39.713333	0.11235770247683274
39.817777	0.11290205700201095
39.922222	0.1136914507604827
40.026666	0.11433665624439648
40.131111	0.11487814071466618
40.235555	0.11562760082939172
40.34	0.11618936855744744
40.444444	0.11673043164889352
40.548888	0.11717254106292707
40.653333	0.11791071921167784
40.757777	0.11823085052165716
40.862222	0.11874651975466122
40.966666	0.11912454394728345
41.071111	0.11979158024614367
41.175555	0.12020059731199273
41.28	0.12053743726086752
41.384444	0.12070827979333032
41.488888	0.12105021359264201
41.593333	0.1215386950274635
41.697777	0.1219947339814843
41.802222	0.12245083558604575
41.906666	0.1223567870151484
42.011111	0.12280000283341896
42.115555	0.12288916701374575
42.22	0.12314989280646782
42.324444	0.12351416517583669
42.428888	0.1237341918414483
42.533333	0.12382731549033188
42.637777	0.12405357095585556
42.742222	0.12418871305276313
42.846666	0.12432760608123039
42.951111	0.12447101112916936
43.055555	0.12443335799080923
43.16	0.1247462777768531
43.264444	0.12478888308652136
43.368888	0.1248821569623173
43.473333	0.12476218455290111
43.577777	0.12491927234454048
43.682222	0.12506968699513632
43.786666	0.12524836272064188
43.891111	0.12514931026618137
43.995555	0.1252401091939006
44.1	0.1255352673491903
44.204444	0.125679169450442
44.308888	0.12552033469732216
44.413333	0.12572679730828595
44.517777	0.1262488112836887
44.622222	0.12611557195091316
44.726666	0.1264192017558331
44.831111	0.12681422271655873
44.935555	0.1271448420755823
45.04	0.12737390591761144
45.144444	0.12770843310173785
45.248888	0.12802889474521528
45.353333	0.12826753949772274
45.457777	0.12855735538996804
45.562222	0.12904263533646754
45.666666	0.12919541531461254
45.771111	0.1297815809186632
45.875555	0.13003103620338574
45.98	0.1306235501692834
46.084444	0.13095631320018875
46.188888	0.1316319797407003
46.293333	0.13227525582124233
46.397777	0.13299945006159908
46.502222	0.1336415978086164
46.606666	0.13447344930543215
46.711111	0.1351093976442529
46.815555	0.13584888062498468
46.92	0.13638034385762243
47.024444	0.13706271520647373
47.128888	0.13770829171582644
47.233333	0.13856776756560896
47.337777	0.13980248677570106
47.442222	0.1405653684329612
47.546666	0.1411501694521372
47.651111	0.14206785204405303
47.755555	0.1431202327266461
47.86	0.14392617537652574
47.964444	0.14483323244311153
48.068888	0.1457585835563564
48.173333	0.14674059016281105
48.277777	0.14775552952219684
48.382222	0.14880647620454834
48.486666	0.14965640385489187
48.591111	0.15047031885935602
48.695555	0.1517225211213289
48.8	0.15295050487724182
48.904444	0.15367494922657043
49.008888	0.15439851464135612
49.113333	0.155514120455864
49.217777	0.15652652434204306
49.322222	0.15760763651325171
49.426666	0.15847998682879483
49.531111	0.16107495467546584
49.635555	0.1613377664957698
49.74	0.1622564002430873
49.844444	0.16312686900042106
49.948888	0.16378625796743962
50.053333	0.16462057287402054
50.157777	0.16525420291111637
50.262222	0.16784472572369413
50.366666	0.16690367328862643
50.471111	0.16751975825817833
50.575555	0.16833722235432946
50.68	0.16908275155738017
50.784444	0.16992700754631473
50.888888	0.17067835241233087
50.993333	0.17140643560083146
51.097777	0.17209700729977462
51.202222	0.17278299044263934
51.306666	0.1736261214389837
51.411111	0.17444733480159735
51.515555	0.17500923855572825
51.62	0.17549806284504166
51.724444	0.17615623505959144
51.828888	0.17666343454625733
51.933333	0.1772617735980374
52.037777	0.1778449350547785
52.142222	0.17825376022884198
52.246666	0.17875527223414323
52.351111	0.1791598945038103
52.455555	0.17957653102193416
52.56	0.17994995277149772
52.664444	0.18031054459127538
52.768888	0.1805786283522608
52.873333	0.18108960417859332
52.977777	0.18129877178595688
53.082222	0.1817263515819617
53.186666	0.18198932556098124
53.291111	0.1821260473084959
53.395555	0.18236039962945028
53.5	0.18285269574603968
53.604444	0.1829271167976293
53.708888	0.18304760040759815
53.813333	0.18316831827023305
53.917777	0.18328771936039334
54.022222	0.1834595680370228
54.126666	0.1835338331406695
54.231111	0.18376778591655485
54.335555	0.18383365240958316
54.44	0.1837938920189639
54.544444	0.1837800214797609
54.648888	0.18384972241614916
54.753333	0.18385241202029112
54.857777	0.18398692644454018
54.962222	0.18386013009986646
55.066666	0.1839869316990561
55.171111	0.18399518717646957
55.275555	0.18406089608151777
55.38	0.18406397289948595
55.484444	0.18413999336442255
55.588888	0.18415478004737673
55.693333	0.1841823048700344
55.797777	0.18431682753571088
55.902222	0.18445513882611686
56.006666	0.1844372535778931
56.111111	0.18465766889706414
56.215555	0.18484018270904723
56.32	0.18539905379776767
56.424444	0.18533083331826472
56.528888	0.18565606964134518
56.633333	0.18603551787310868
56.737777	0.18635168392718304
