-6.91,  -3
-6.91,	-13.00
-6.59583078055, -13.8124832604
-6.4961336204, -13.1929109242
-6.39643646025, -13.9608763457
-6.34426523816, -13.313250677
-6.29209401608, -14.0917158958
-6.28165862602, -13.3811945942
-6.27122323596, -14.0405581283
-6.25784082138, -13.3947848696
-6.24445840681, -14.1554005689
-6.21021971515, -13.4122131304
-6.17598102348, -14.1514543246
-6.15923916192, -13.4568030545
-6.14249730036, -14.1185623906
-6.14059314487, -13.4786064091
-6.13868898937, -14.1952833079
-6.13634736039, -13.4810862395
-6.13400573141, -14.1066682387
-6.10748698534, -13.4841358028
-6.08096823927, -14.1036041783
-6.06881668786, -13.5186718442
-6.05666513644, -14.2240369323
-6.05008748141, -13.5344971205
-6.04350982637, -14.2225279648
-6.04126229665, -13.5430633689
-6.03901476694, -14.1202941663
-6.02924039192, -13.5459903843
-6.01946601691, -14.1715504853
-6.01651063512, -13.5587198029
-6.01355525333, -14.1600812454
-6.00885056071, -13.5625686722
-6.00414586809, -14.1918726082
-6.00166937675, -13.5686957138
-5.99919288542, -14.1613077135
-5.99614089857, -13.5719209118
-5.99308891173, -14.2742192985
-5.98694695113, -13.5758955924
-5.98080499053, -14.3739951655
-5.97776821802, -13.5838944248
-5.97473144551, -14.3212415297
-5.97131804052, -13.5878492913
-5.96790463553, -14.3008612417
-5.96587376966, -13.5922946559
-5.96384290379, -14.2379502232
-5.96244733093, -13.5949395045
-5.96105175807, -14.2805803027
-5.95793804545, -13.5967569947
-5.95482433282, -14.2519738315
-5.95400634528, -13.6008120623
-5.95318835774, -14.2528582991
-5.95173815381, -13.6018773484
-5.95028794987, -14.2747606656
-5.9481544961, -13.6037659861
-5.94602104232, -14.3002033145
-5.94408165068, -13.6065444376
-5.94214225905, -14.1954047969
-5.93899712896, -13.6090701569
-5.93585199888, -14.2716776437
-5.93343433647, -13.6131661403
-5.93101667406, -14.2011124443
-5.92915808976, -13.6163147239
-5.92729950545, -14.3041735023
-5.9252302672, -13.6187352058
-5.92316102895, -14.2603670277
-5.92173244919, -13.6214300277
-5.92030386942, -14.4704731511
-5.91874321126, -13.6232905036
-5.91718255309, -14.2975682296
-5.91610635272, -13.6253229887
-5.91503015235, -14.3230575218
-5.91,  -3
