% Model:              dipoleMoveInBox_1.10.23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 12 2023, 11:00
% Table:              Table 3 - port voltage
% boxX (m)               boxY (m)                 boxZ (m)                 boxTheta                 boxPhi                   freq (MHz)               abs(emw.Vport_1) (V)
-0.15                    -0.2                     0.1                      80                       50                       118                      0.0770626680039173
-0.15                    -0.2                     0.1                      80                       50                       118.05220883534136       0.0770626680039173
-0.15                    -0.2                     0.1                      80                       50                       118.10441767068274       0.0770626680039173
-0.15                    -0.2                     0.1                      80                       50                       118.15662650602408       0.0770626680039173
-0.15                    -0.2                     0.1                      80                       50                       118.20883534136546       0.0770626680039173
-0.15                    -0.2                     0.1                      80                       50                       118.26104417670683       0.0770626680039173
-0.15                    -0.2                     0.1                      80                       50                       118.3132530120482        0.07706266800391728
-0.15                    -0.2                     0.1                      80                       50                       118.36546184738954       0.0770626680039173
-0.15                    -0.2                     0.1                      80                       50                       118.41767068273093       0.0770626680039173
-0.15                    -0.2                     0.1                      80                       50                       118.46987951807229       0.07503630635872029
-0.15                    -0.2                     0.1                      80                       50                       118.52208835341365       0.07503630635872029
-0.15                    -0.2                     0.1                      80                       50                       118.57429718875501       0.0734215294679999
-0.15                    -0.2                     0.1                      80                       50                       118.62650602409639       0.07122150193203017
-0.15                    -0.2                     0.1                      80                       50                       118.67871485943775       0.07122150193203017
-0.15                    -0.2                     0.1                      80                       50                       118.73092369477912       0.06753584890395342
-0.15                    -0.2                     0.1                      80                       50                       118.78313253012047       0.06753584890395342
-0.15                    -0.2                     0.1                      80                       50                       118.83534136546183       0.06753584890395342
-0.15                    -0.2                     0.1                      80                       50                       118.88755020080322       0.06753584890395342
-0.15                    -0.2                     0.1                      80                       50                       118.93975903614458       0.06753584890395342
-0.15                    -0.2                     0.1                      80                       50                       118.99196787148593       0.06753584890395342
-0.15                    -0.2                     0.1                      80                       50                       119.0441767068273        0.06753584890395342
-0.15                    -0.2                     0.1                      80                       50                       119.09638554216868       0.06621525511560813
-0.15                    -0.2                     0.1                      80                       50                       119.14859437751004       0.0635742150898587
-0.15                    -0.2                     0.1                      80                       50                       119.2008032128514        0.0635742150898587
-0.15                    -0.2                     0.1                      80                       50                       119.25301204819276       0.0635742150898587
-0.15                    -0.2                     0.1                      80                       50                       119.30522088353413       0.05968936297691416
-0.15                    -0.2                     0.1                      80                       50                       119.35742971887551       0.05968936297691416
-0.15                    -0.2                     0.1                      80                       50                       119.40963855421685       0.05968936297691416
-0.15                    -0.2                     0.1                      80                       50                       119.46184738955822       0.05968936297691416
