,canFreq_Mhz,numBins,idx,deltaIdx,deltaFreq_Hz
0,59.99998211860657,2,1525201,,
1,69.9999725818634,2,1779401,254200.0,9999990.463256836
2,80.00000238418579,1,2033602,254201.0,10000029.802322388
3,94.42437887191772,1,2400270,366668.0,14424376.487731934
4,95.18771409988403,1,2419674,19404.0,763335.2279663086
5,95.2182412147522,1,2420450,776.0,30527.114868164062
6,95.3403890132904,1,2423555,3105.0,122147.79853820801
7,95.7678472995758,1,2434421,10866.0,427458.2862854004
8,99.99998331069946,1,2542002,107581.0,4232136.011123657
9,101.87452912330627,1,2589653,47651.0,1874545.8126068115
10,101.9355833530426,1,2591205,1552.0,61054.229736328125
11,102.11878538131714,1,2595862,4657.0,183202.02827453613
12,102.49990224838257,6,2605550,9688.0,381116.8670654297
13,104.2999792098999,1,2651308,45758.0,1800076.961517334
14,109.9999737739563,2,2796202,144894.0,5699994.5640563965
15,110.79025626182556,1,2816291,20089.0,790282.4878692627
16,120.00000357627869,1,3050403,234112.0,9209747.314453125
17,122.86671996116638,1,3123275,72872.0,2866716.3848876953
18,125.00349998474121,2,3177592,54317.0,2136780.023574829
19,129.99901056289673,1,3304578,126986.0,4995510.578155518
20,129.99999403953552,1,3304603,25.0,983.4766387939453
21,131.05778217315674,4,3331492,26889.0,1057788.1336212158
22,136.30852460861206,1,3464966,133474.0,5250742.435455322
23,137.8796088695526,1,3504903,39937.0,1571084.2609405518
24,137.90305495262146,1,3505499,596.0,23446.083068847656
25,138.0906629562378,1,3510268,4769.0,187608.003616333
26,138.3618664741516,1,3517162,6894.0,271203.51791381836
27,139.99998450279236,2,3558803,41641.0,1638118.028640747
28,144.00041341781616,1,3660494,101691.0,4000428.9150238037
29,149.9999749660492,2,3813003,152509.0,5999561.548233032
30,150.00052571296692,1,3813017,14.0,550.7469177246094
31,151.49120092391968,1,3850910,37893.0,1490675.2109527588
32,151.55229449272156,1,3852463,1553.0,61093.56880187988
33,151.61334872245789,1,3854015,1552.0,61054.229736328125
34,153.5674774646759,1,3903689,49674.0,1954128.7422180176
35,153.6896252632141,1,3906794,3105.0,122147.79853820801
36,153.89509320259094,3,3912017,5223.0,205467.93937683105
37,154.1170835494995,1,3917660,5643.0,221990.34690856934
38,154.23919200897217,2,3920764,3104.0,122108.45947265625
39,158.33407402038574,1,4024856,104092.0,4094882.011413574
40,160.00000476837158,1,4067204,42348.0,1665930.7479858398
41,160.80000400543213,1,4087540,20336.0,799999.2370605469
42,163.20444703102112,1,4148661,61121.0,2404443.0255889893
43,163.22789311408997,1,4149257,596.0,23446.083068847656
44,163.2513391971588,1,4149853,596.0,23446.083068847656
45,163.27478528022766,1,4150449,596.0,23446.083068847656
46,163.2982313632965,1,4151045,596.0,23446.083068847656
47,163.32167744636536,1,4151641,596.0,23446.083068847656
48,163.3451235294342,1,4152237,596.0,23446.083068847656
49,163.41546177864075,1,4154025,1788.0,70338.24920654297
50,163.82230639457703,1,4164367,10342.0,406844.6159362793
51,164.84697103500366,2,4190414,26047.0,1024664.6404266357
52,165.15070796012878,1,4198135,7721.0,303736.92512512207
53,165.17415404319763,1,4198731,596.0,23446.083068847656
54,165.22104620933533,1,4199923,1192.0,46892.16613769531
55,165.26793837547302,1,4201115,1192.0,46892.16613769531
56,165.29138445854187,1,4201711,596.0,23446.083068847656
57,165.31483054161072,1,4202307,596.0,23446.083068847656
58,165.40865421295166,1,4204692,2385.0,93823.67134094238
59,165.4321002960205,1,4205288,596.0,23446.083068847656
60,165.50243854522705,1,4207076,1788.0,70338.24920654297
61,165.5258846282959,1,4207672,596.0,23446.083068847656
62,165.54933071136475,1,4208268,596.0,23446.083068847656
63,165.59622287750244,1,4209460,1192.0,46892.16613769531
64,165.6196689605713,2,4210056,596.0,23446.083068847656
65,165.64311504364014,1,4210652,596.0,23446.083068847656
66,165.66656112670898,2,4211248,596.0,23446.083068847656
67,165.69000720977783,2,4211844,596.0,23446.083068847656
68,165.71345329284668,2,4212440,596.0,23446.083068847656
69,165.73693871498108,1,4213037,597.0,23485.422134399414
70,165.76038479804993,1,4213633,596.0,23446.083068847656
71,165.78383088111877,1,4214229,596.0,23446.083068847656
72,165.80727696418762,1,4214825,596.0,23446.083068847656
73,165.83072304725647,1,4215421,596.0,23446.083068847656
74,165.85416913032532,1,4216017,596.0,23446.083068847656
75,165.87761521339417,1,4216613,596.0,23446.083068847656
76,165.901061296463,1,4217209,596.0,23446.083068847656
77,165.92450737953186,1,4217805,596.0,23446.083068847656
78,165.9479534626007,1,4218401,596.0,23446.083068847656
79,165.97139954566956,1,4218997,596.0,23446.083068847656
80,165.9948456287384,2,4219593,596.0,23446.083068847656
81,166.01829171180725,2,4220189,596.0,23446.083068847656
82,166.0652232170105,1,4221382,1193.0,46931.50520324707
83,166.08866930007935,1,4221978,596.0,23446.083068847656
84,166.1121153831482,1,4222574,596.0,23446.083068847656
85,166.1590075492859,1,4223766,1192.0,46892.16613769531
86,166.18245363235474,1,4224362,596.0,23446.083068847656
87,166.20589971542358,1,4224958,596.0,23446.083068847656
88,166.6627836227417,1,4236572,11614.0,456883.90731811523
89,166.88591480255127,1,4242244,5672.0,223131.1798095703
90,166.93280696868896,1,4243436,1192.0,46892.16613769531
91,166.97969913482666,1,4244628,1192.0,46892.16613769531
92,167.0266306400299,1,4245821,1193.0,46931.50520324707
93,167.05007672309875,1,4246417,596.0,23446.083068847656
94,167.0735228061676,1,4247013,596.0,23446.083068847656
95,167.1204149723053,1,4248205,1192.0,46892.16613769531
96,167.14386105537415,1,4248801,596.0,23446.083068847656
97,167.167307138443,1,4249397,596.0,23446.083068847656
98,167.19075322151184,1,4249993,596.0,23446.083068847656
99,167.2141993045807,1,4250589,596.0,23446.083068847656
100,167.23764538764954,1,4251185,596.0,23446.083068847656
101,167.26109147071838,2,4251781,596.0,23446.083068847656
102,167.28453755378723,1,4252377,596.0,23446.083068847656
103,167.30798363685608,2,4252973,596.0,23446.083068847656
104,167.33142971992493,1,4253569,596.0,23446.083068847656
105,167.35487580299377,2,4254165,596.0,23446.083068847656
106,167.37832188606262,2,4254761,596.0,23446.083068847656
107,167.40180730819702,1,4255358,597.0,23485.422134399414
108,167.42525339126587,1,4255954,596.0,23446.083068847656
109,167.44869947433472,1,4256550,596.0,23446.083068847656
110,167.47214555740356,1,4257146,596.0,23446.083068847656
111,167.4955916404724,1,4257742,596.0,23446.083068847656
