Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S22_Magnitude,S22_Phase,
50000000,-0.05785833045,-61.43007023,-55.57253451,175.5156082,-2.038510645,173.9386291,
50057777,-0.06349377892,-61.38975891,-55.02894318,172.060902,-2.040447948,172.5901951,
50115555,-0.0632547407,-61.44106878,-54.72545372,170.069939,-2.043518403,171.2272626,
50173333,-0.06251344327,-61.51760739,-54.35004884,168.7268627,-2.044861603,169.8669156,
50231111,-0.06106280036,-61.57544627,-54.15420148,166.7582085,-2.046732713,168.5148207,
50288888,-0.05990972943,-61.65751375,-53.88650825,163.0067313,-2.048377667,167.1444663,
50346666,-0.05770433002,-61.71132714,-53.75690071,161.3131301,-2.048832214,165.7698394,
50404444,-0.05763308206,-61.77756731,-53.71514659,159.8891183,-2.050717616,164.423901,
50462222,-0.0557520414,-61.84754086,-53.45308454,156.006307,-2.051514433,163.0637768,
50520000,-0.05267074156,-61.91804341,-53.37971947,154.0311601,-2.05321246,161.6853181,
50577777,-0.05167819198,-61.99804208,-53.30886386,152.0601783,-2.054769545,160.3339666,
50635555,-0.04868538934,-62.06357868,-53.14812683,150.4635635,-2.053679413,158.9749152,
50693333,-0.04737706539,-62.14164821,-53.15924845,148.4122014,-2.054079279,157.6151291,
50751111,-0.04412905234,-62.21818785,-53.01309019,145.4577852,-2.054584747,156.2458321,
50808888,-0.04333969051,-62.29473326,-53.119239,143.3739878,-2.056401302,154.8983144,
50866666,-0.04092191148,-62.38076759,-52.98658705,140.8210436,-2.057391444,153.5319845,
50924444,-0.03862993659,-62.44997687,-53.10664333,139.414893,-2.056900289,152.177914,
50982222,-0.03635373915,-62.52587931,-52.86725696,136.8890277,-2.05787406,150.8191275,
51040000,-0.03443591308,-62.61045648,-53.14276891,134.4115686,-2.05859193,149.4601587,
51097777,-0.03215056865,-62.67307464,-53.16400738,132.9180248,-2.057989667,148.1047592,
51155555,-0.03084306081,-62.73068822,-53.09564209,131.2742636,-2.059416039,146.7362591,
51213333,-0.02844469025,-62.80098727,-53.13273307,129.583743,-2.058013525,145.3810204,
51271111,-0.02673661888,-62.88029244,-53.2683269,128.4238115,-2.057244581,144.0179574,
51328888,-0.02602340277,-62.93537727,-53.02291543,126.259316,-2.057217921,142.6608719,
51386666,-0.02537976138,-62.98898164,-53.20439171,125.1820644,-2.056873083,141.3072789,
51444444,-0.02426210493,-63.036592,-53.0803552,123.2762986,-2.056480035,139.9576404,
51502222,-0.02440242926,-63.10670283,-53.33556906,121.971812,-2.056341409,138.59269,
51560000,-0.02396271834,-63.17781568,-53.36793332,120.8007562,-2.055902863,137.26003,
51617777,-0.02239265312,-63.25072939,-53.39178148,118.9708566,-2.051949222,135.8889,
51675555,-0.01934708149,-63.34678048,-53.44639732,117.6879882,-2.050598038,134.5091274,
51733333,-0.01075232672,-63.47328284,-53.1553982,116.2893057,-2.026076682,132.9789958,
51791111,-0.01325409897,-63.51991172,-53.42424136,115.002332,-2.045906572,131.772927,
51848888,-0.01198193585,-63.56725379,-53.55917635,115.4433814,-2.042925743,130.4228235,
51906666,-0.01254113096,-63.63290748,-53.62040629,113.415958,-2.040881435,129.0481655,
51964444,-0.01168683994,-63.68269364,-53.78352964,111.6278213,-2.039024078,127.6757873,
52022222,-0.0102597456,-63.73694308,-53.76049143,111.6537728,-2.036222949,126.3159345,
52080000,-0.01088532029,-63.80115518,-53.58272995,110.5706376,-2.034200543,124.9442952,
52137777,-0.01038429853,-63.84997455,-53.58486154,109.9234652,-2.030211984,123.5931997,
52195555,-0.01098380663,-63.91555548,-53.66140422,109.1381445,-2.026534125,122.2194801,
52253333,-0.0107510602,-63.99103626,-53.85484432,108.3620886,-2.022103047,120.8442995,
52311111,-0.009759763983,-64.05190414,-53.77314618,107.0674001,-2.017767976,119.4686957,
52368888,-0.008695188904,-64.10724933,-53.76802169,106.5577163,-2.012875141,118.0839156,
52426666,-0.00729878065,-64.18423895,-53.66202452,106.5290704,-2.008356662,116.7030449,
52484444,-0.006732126859,-64.2363759,-53.79419481,105.291911,-2.003725264,115.3336408,
52542222,-0.006415450323,-64.29929182,-53.87729352,104.392852,-1.998087585,113.9506912,
52600000,-0.005104115488,-64.38215649,-53.72937507,104.0050736,-1.993396874,112.5698755,
52657777,-0.002560706559,-64.43993417,-53.97780684,102.7900663,-1.987541845,111.1989301,
52715555,-0.001155070935,-64.52679083,-53.92080625,103.0710089,-1.980756251,109.8255315,
52773333,0.000358833457,-64.61573397,-53.93430497,102.7430545,-1.973890364,108.4169286,
52831111,0.001295753775,-64.69519821,-53.92687127,101.9249631,-1.967802227,107.022699,
52888888,0.003965032203,-64.76174823,-53.85251752,101.2798575,-1.961386603,105.6276729,
52946666,0.005542731866,-64.8329647,-53.88013086,101.739527,-1.952877634,104.2265419,
53004444,0.008149520445,-64.92330369,-54.00190699,100.8785046,-1.947286692,102.8290437,
53062222,0.009322634671,-64.99855666,-54.02206391,100.2320476,-1.93980296,101.4192655,
53120000,0.01118521478,-65.08515857,-54.00771135,100.9256953,-1.930002782,99.99981334,
