% Model:              emptyRoomLowRes_9.10.21_v5.6_PaulsRoom.mph
% Version:            COMSOL 5.6.0.401
% Date:               Sep 13 2021, 09:55
% Table:              Table 6 - Point Evaluation 1
% freq (MHz)             abs(emw.Ex) (V/m), Point: (0, 0, 0)
30                       1.2790374372016307
30.541082164328657       1.2790374372016307
31.082164328657313       1.3046548056911416
31.62324649298597        1.3046548056911416
32.16432865731463        1.3328563368875381
32.705410821643284       1.3328563368875381
33.24649298597194        1.3625636282481184
33.787575150300604       1.3625636282481184
34.32865731462926        1.3942166245231453
34.86973947895792        1.3942166245231455
35.41082164328657        1.428120500138454
35.951903807615224       1.428120500138454
36.49298597194388        1.4644705252234975
37.03406813627254        1.4644705252234975
37.575150300601194       1.5034708185366068
38.11623246492985        1.5034708185366068
38.657314629258515       1.5453578669185286
39.19839679358717        1.5453578669185288
39.739478957915836       1.5904014617956044
40.28056112224449        1.6158415516522353
40.82164328657315        1.6158415516522353
41.362725450901806       1.662910285993333
41.90380761523046        1.6926401106907174
42.44488977955912        1.6926401106907172
42.985971943887776       1.745846817135787
43.52705410821643        1.7795213269746972
44.06813627254509        1.779521326974697
44.609218436873746       1.8391361582566097
45.1503006012024         1.877508161854409
45.69138276553106        1.910946581715073
46.23246492985972        1.9470375816483676
46.773547094188366       1.9855424297771394
47.31462925851702        2.025824952019223
47.85571142284568        2.0678692496038984
48.396793587174336       2.11184029254178
48.93787575150299        2.1578899101917015
49.47895791583166        2.2061568318673683
50.02004008016032        2.2567891016417843
50.56112224448898        2.309950853763469
51.102204408817634       2.365822832608502
51.64328657314629        2.4246033448664965
52.18436873747495        2.486510330263988
52.72545090180361        2.5517839659117745
53.26653306613227        2.620689607481847
53.807615230460925       2.693521149745919
54.34869739478958        2.770604932094274
54.88977955911824        2.8523043056913333
55.430861723446895       2.939024990372591
55.97194388777555        3.03122137953424
56.51302605210421        3.1294039909151197
57.05410821643286        3.2341483092351018
57.595190380761515       3.34356801579892
58.13627254509017        3.4403279368914745
58.67735470941883        3.5916831191917638
59.218436873747486       3.730408596617369
59.75951903807614        3.879543284282918
60.3006012024048         4.04097940676038
60.841683366733456       4.216135397838249
61.38276553106211        4.406782353277077
61.923847695390776       4.615017259952186
62.46492985971944        4.843332652735953
63.0060120240481         5.094714300255906
63.547094188376754       5.372768055247501
64.0881763527054         5.679643690591242
64.62925851703406        6.026877590442894
65.17034068136272        6.416430085682244
65.71142284569137        6.85708828781694
66.25250501002003        7.360473766177117
66.79358717434869        7.940822522923402
67.33466933867734        8.617012960378137
67.87575150300599        9.41463846670536
68.41683366733467        10.36925985792407
68.95791583166333        11.53175116032113
69.49899799599199        12.993206053114791
70.04008016032064        14.849724125892912
70.5811623246493         17.307015975931055
71.12224448897796        20.711873674122053
71.66332665330661        25.74098852887822
72.20440881763527        33.91582090628407
72.74549098196393        49.53488754259921
73.28657314629258        91.20588406466035
73.82765531062122        552.204524519879
74.3687374749499         137.67180745319277
74.90981963927854        61.50597962738449
75.45090180360722        39.724447481933524
75.99198396793587        29.439572675777885
76.53306613226454        23.390675322436298
77.07414829659318        19.452982045990016
77.61523046092185        16.674459508134326
78.1563126252505         14.609963359956158
78.69739478957916        13.015014702662974
79.23847695390782        11.749267109562307
79.77955911823648        10.734995954731955
80.32064128256513        9.858991080906625
80.86172344689379        9.139375717794692
81.40280561122245        8.52648779150265
81.9438877755511         7.997182067228115
82.48496993987976        7.535875549681396
83.02605210420842        7.130516642444009
83.56713426853707        6.771725888733243
84.10821643286572        6.452115949410576
84.64929859719439        6.165791084960887
85.19038076152303        5.907991514586547
85.7314629258517         5.674837651952605
86.27254509018034        5.463148010645519
86.81362725450902        5.270328109406285
87.35470941883766        5.094411809673882
87.89579158316633        4.935031358132675
88.43687374749497        4.791962762987469
88.97795591182364        4.646620739909374
89.51903807615228        4.515449659690457
90.06012024048096        4.399321024897979
90.6012024048096         4.2884093790509334
91.14228456913827        4.187687682768705
91.68336673346693        4.114743169776379
92.22444889779558        4.006016442527749
92.76553106212424        3.9403293601545566
93.3066132264529         3.8477816794566135
93.84769539078155        3.7894041568847756
94.38877755511022        3.7097468098786606
94.92985971943888        3.65799446576277
95.47094188376752        3.5890800446366447
96.0120240480962         3.544351103184083
96.55310621242484        3.488867237638827
97.09418837675351        3.4371342518290002
97.63527054108215        3.391539203921636
98.17635270541082        3.3502172727082207
98.71743486973946        3.311682149599701
99.25851703406813        3.275691798143743
99.79959919839678        3.2424340375825293
100.34068136272545       3.2104882606358593
100.88176352705409       3.181984156768396
101.42284569138276       3.1562572725677738
101.9639278557114        3.1355217999761456
102.50501002004007       3.165306495749349
103.04609218436873       3.0793723910060606
103.58717434869739       3.0659494983572775
104.12825651302605       3.047258065943636
104.6693386773547        3.0329116244941416
105.21042084168336       3.0233055889980824
105.75150300601202       3.0084600325648614
106.29258517034069       2.9984444899868556
106.83366733466933       2.99171350211807
107.374749498998         2.984150868567034
107.91583166332664       2.9799818353520533
108.45691382765531       2.9754536317349776
108.99799599198396       2.973824858272948
109.53907815631263       2.9731445118904603
110.08016032064127       2.974291128774092
110.62124248496994       2.9769557378172657
111.16232464929858       2.9811407307184283
111.70340681362725       2.9868758440529195
112.2444889779559        2.994297729995516
112.78557114228457       3.0039911762708
113.32665330661321       3.0236788779494423
113.86773547094188       2.949035296810861
114.40881763527054       2.9915363605983836
114.9498997995992        2.9623913061859177
115.49098196392785       3.3235064892457578
116.03206412825651       3.149362521833549
116.57314629258516       3.136236030054435
117.1142284569138        3.1413187550004125
