% Model:              emptyRoomLowRes_9.10.21_v5.6_PaulsRoom.mph
% Version:            COMSOL 5.6.0.401
% Date:               Sep 13 2021, 09:47
% Table:              Table 5 - Surface Average 1
% freq (MHz)             abs(emw.Ex) (V/m)
30                       1.2734590181931185
30.541082164328657       1.2734590181931185
31.082164328657313       1.2985364546818985
31.62324649298597        1.2985364546818985
32.16432865731463        1.3261467604814727
32.705410821643284       1.3261467604814727
33.24649298597194        1.3552280325912254
33.787575150300604       1.3552280325912252
34.32865731462926        1.3862092401493378
34.86973947895792        1.3862092401493378
35.41082164328657        1.4193883097805506
35.951903807615224       1.4193883097805506
36.49298597194388        1.4549555314693114
37.03406813627254        1.4549555314693114
37.575150300601194       1.4931097059093215
38.11623246492985        1.4931097059093215
38.657314629258515       1.5340811689561185
39.19839679358717        1.534081168956118
39.739478957915836       1.5781326932660533
40.28056112224449        1.6030173408983588
40.82164328657315        1.6030173408983588
41.362725450901806       1.649030923556958
41.90380761523046        1.6781014684552729
42.44488977955912        1.6781014684552729
42.985971943887776       1.7301020784409653
43.52705410821643        1.763021206964288
44.06813627254509        1.7630212069642879
44.609218436873746       1.821268893448498
45.1503006012024         1.8587697625951065
45.69138276553106        1.8914405599151287
46.23246492985972        1.9266973921960924
46.773547094188366       1.9643089786442507
47.31462925851702        2.0036536336700768
47.85571142284568        2.044715274879851
48.396793587174336       2.0876546076602396
48.93787575150299        2.132619534818979
49.47895791583166        2.1797451287298415
50.02004008016032        2.2291755109346316
50.56112224448898        2.2810704689839527
51.102204408817634       2.3356059608948274
51.64328657314629        2.392975038856456
52.18436873747495        2.453389863995896
52.72545090180361        2.517084241309497
53.26653306613227        2.584316482311828
53.807615230460925       2.655372675702125
54.34869739478958        2.7305704883830537
54.88977955911824        2.810263610408631
55.430861723446895       2.894846968522756
55.97194388777555        2.98476286229085
56.51302605210421        3.080508215409863
57.05410821643286        3.18264318155376
57.595190380761515       3.2893710893994874
58.13627254509017        3.383674135858218
58.67735470941883        3.5312576467902206
59.218436873747486       3.6664840565967354
59.75951903807614        3.8118443628258754
60.3006012024048         3.9691816311126917
60.841683366733456       4.139876365720961
61.38276553106211        4.325652469647532
61.923847695390776       4.528551068219763
62.46492985971944        4.75099832422778
63.0060120240481         4.99590063604939
63.547094188376754       5.266769047642394
64.0881763527054         5.565653743969057
64.62925851703406        5.903893041240492
65.17034068136272        6.283294852801197
65.71142284569137        6.712443351652605
66.25250501002003        7.202648999848178
66.79358717434869        7.767768216363083
67.33466933867734        8.426175632925975
67.87575150300599        9.202781569080278
68.41683366733467        10.132197660781456
68.95791583166333        11.263939915981569
69.49899799599199        12.686720515702776
70.04008016032064        14.493987919065342
70.5811623246493         16.886003637649868
71.12224448897796        20.200305827262042
71.66332665330661        25.095529098437506
72.20440881763527        33.052535401773916
72.74549098196393        48.255130358893986
73.28657314629258        88.81449341305002
73.82765531062122        537.5119575080969
74.3687374749499         133.9550870228054
74.90981963927854        59.82135205211402
75.45090180360722        38.62068213329951
75.99198396793587        28.609900382842252
76.53306613226454        22.722052473265478
77.07414829659318        18.88906515375379
77.61523046092185        16.184307725345903
78.1563126252505         14.174512442799728
78.69739478957916        12.62184516041632
79.23847695390782        11.389372854233672
79.77955911823648        10.401806139611555
80.32064128256513        9.548742404578304
80.86172344689379        8.847895209291329
81.40280561122245        8.250921856450237
81.9438877755511         7.735291954846624
82.48496993987976        7.28583785695603
83.02605210420842        6.890829125543363
83.56713426853707        6.541136144316944
84.10821643286572        6.229568246488419
84.64929859719439        5.950386520446151
85.19038076152303        5.698957606919903
85.7314629258517         5.471504658360193
86.27254509018034        5.264929875678996
86.81362725450902        5.076705849272984
87.35470941883766        4.904915041813908
87.89579158316633        4.7491976732988475
88.43687374749497        4.609265257492897
88.97795591182364        4.467563341867609
89.51903807615228        4.339162673798841
90.06012024048096        4.225443977001992
90.6012024048096         4.116871412856304
91.14228456913827        4.018197129137006
91.68336673346693        3.9467878878269027
92.22444889779558        3.8400290911552593
92.76553106212424        3.775607153768778
93.3066132264529         3.6846030997920822
93.84769539078155        3.6272424232214533
94.38877755511022        3.5487645333772067
94.92985971943888        3.49780822597747
95.47094188376752        3.42974791215887
96.0120240480962         3.385583815045365
96.55310621242484        3.330735397597601
97.09418837675351        3.279470333529044
97.63527054108215        3.2341932656199552
98.17635270541082        3.193082102078444
98.71743486973946        3.1546669746512683
99.25851703406813        3.118710051645936
99.79959919839678        3.0854073821178503
100.34068136272545       3.053065636637131
100.88176352705409       3.024274709204138
101.42284569138276       2.99815092376104
101.9639278557114        2.9768853841094036
102.50501002004007       3.2480857854072713
103.04609218436873       2.9199281469035046
103.58717434869739       2.9057268343288993
104.12825651302605       2.886088904109246
104.6693386773547        2.8708830620945776
105.21042084168336       2.8607475760195458
105.75150300601202       2.844370874650476
106.29258517034069       2.833211170386964
106.83366733466933       2.8252863958720487
107.374749498998         2.8162743390881997
107.91583166332664       2.810987775835366
108.45691382765531       2.8045134943938153
108.99799599198396       2.8016401207902373
109.53907815631263       2.7987268138360935
110.08016032064127       2.79794457669824
110.62124248496994       2.798564475334385
111.16232464929858       2.800559672483589
111.70340681362725       2.803942734255877
112.2444889779559        2.8088141490712686
112.78557114228457       2.8156548479599453
113.32665330661321       2.8306653554683527
113.86773547094188       2.7656530614826784
114.40881763527054       2.798324742050194
114.9498997995992        2.76504855868333
115.49098196392785       3.122792182793695
116.03206412825651       2.9448022113598773
116.57314629258516       2.9283208793750393
117.1142284569138        2.929262767542874
117.65531062124248       2.933565573558664
