% Model:              dipole_antenna (1).mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 27 2022, 22:48
% Table:              Table 5 - Global Evaluation 3
% boxX (m)               boxY (m)                 boxZ (m)                 freq (MHz)               abs(emw.Vport_1) (V)
-0.3                     0.6                      0                        50                       0.24106551100722703
-0.3                     0.6                      0                        60.416666666666664       0.6400356967838294
-0.3                     0.6                      0                        70.83333333333333        11.784498968107478
-0.3                     0.6                      0                        81.25                    1.3711941412798145
-0.3                     0.6                      0                        91.66666666666666        1.1473900585761359
-0.3                     0.6                      0                        102.08333333333333       1.56035671726536
-0.3                     0.6                      0                        112.5                    0.5666316304310207
-0.3                     0.6                      0                        122.91666666666666       0.8293369987882294
-0.3                     0.6                      0                        133.33333333333331       3.204570818392614
-0.3                     0.6                      0                        143.75                   1.6535899340444284
-0.3                     0.6                      0                        154.16666666666666       0.4038859400507805
-0.3                     0.6                      0                        164.58333333333331       0.6475803642536714
-0.3                     0.6                      0                        175                      0.7468149608547263
-0.3                     0.6                      0                        185.41666666666666       2.0577323289550837
-0.3                     0.6                      0                        195.83333333333331       0.2112480054649075
-0.3                     0.6                      0                        206.25                   0.17263510997469855
-0.3                     0.6                      0                        216.66666666666666       4.032243088190286
-0.3                     0.6                      0                        227.08333333333331       0.12894135509751894
-0.3                     0.6                      0                        237.5                    0.03792022457814149
-0.3                     0.6                      0                        247.91666666666666       0.41922244758159777
-0.3                     0.6                      0                        258.3333333333333        0.10985693949193198
-0.3                     0.6                      0                        268.75                   0.07707892320201624
-0.3                     0.6                      0                        279.16666666666663       2.0783022267045768
-0.3                     0.6                      0                        289.5833333333333        4.228949488819189
-0.3                     0.6                      0                        300                      0.19640368095718685
-0.3                     0.6                      0.67                     50                       0.2261153226237193
-0.3                     0.6                      0.67                     60.416666666666664       0.5665458292341671
-0.3                     0.6                      0.67                     70.83333333333333        13.166533090670052
-0.3                     0.6                      0.67                     81.25                    1.3092295086563106
-0.3                     0.6                      0.67                     91.66666666666666        1.3189979444542295
-0.3                     0.6                      0.67                     102.08333333333333       0.03153679519220835
-0.3                     0.6                      0.67                     112.5                    0.06502472255612593
-0.3                     0.6                      0.67                     122.91666666666666       0.12082079235028635
-0.3                     0.6                      0.67                     133.33333333333331       0.5446640374689888
-0.3                     0.6                      0.67                     143.75                   0.09380860239919092
-0.3                     0.6                      0.67                     154.16666666666666       0.03380900770553343
-0.3                     0.6                      0.67                     164.58333333333331       0.17223711254542637
-0.3                     0.6                      0.67                     175                      0.03065749229444736
-0.3                     0.6                      0.67                     185.41666666666666       1.598992599245059
-0.3                     0.6                      0.67                     195.83333333333331       0.575101852908636
-0.3                     0.6                      0.67                     206.25                   1.917064611199025
-0.3                     0.6                      0.67                     216.66666666666666       1.2054589530832795
-0.3                     0.6                      0.67                     227.08333333333331       0.007430317060775665
-0.3                     0.6                      0.67                     237.5                    0.008700466779999593
-0.3                     0.6                      0.67                     247.91666666666666       0.13776325166238854
-0.3                     0.6                      0.67                     258.3333333333333        0.02604482324488937
-0.3                     0.6                      0.67                     268.75                   0.3598924917078707
-0.3                     0.6                      0.67                     279.16666666666663       0.2006562796810327
-0.3                     0.6                      0.67                     289.5833333333333        0.4001800970960843
-0.3                     0.6                      0.67                     300                      0.46985374684692727
-0.3                     -0.3                     0                        50                       0.2756284299219383
-0.3                     -0.3                     0                        60.416666666666664       0.8264008708419499
-0.3                     -0.3                     0                        70.83333333333333        5.081378119148006
-0.3                     -0.3                     0                        81.25                    1.4476464319749716
-0.3                     -0.3                     0                        91.66666666666666        1.1703396704067257
-0.3                     -0.3                     0                        102.08333333333333       2.388267179767924
-0.3                     -0.3                     0                        112.5                    1.171693110583983
-0.3                     -0.3                     0                        122.91666666666666       1.409829240295981
-0.3                     -0.3                     0                        133.33333333333331       1.8444845807927492
-0.3                     -0.3                     0                        143.75                   1.1257695119269175
-0.3                     -0.3                     0                        154.16666666666666       0.32566416142797855
-0.3                     -0.3                     0                        164.58333333333331       0.08745286463757772
-0.3                     -0.3                     0                        175                      0.17084232789457704
-0.3                     -0.3                     0                        185.41666666666666       1.3494488453950273
-0.3                     -0.3                     0                        195.83333333333331       0.49405519236935236
-0.3                     -0.3                     0                        206.25                   0.8793108479499488
-0.3                     -0.3                     0                        216.66666666666666       1.4034398410828268
-0.3                     -0.3                     0                        227.08333333333331       0.27470296463989224
-0.3                     -0.3                     0                        237.5                    0.061073940607901
-0.3                     -0.3                     0                        247.91666666666666       0.06122036613432399
-0.3                     -0.3                     0                        258.3333333333333        0.3313504473848774
-0.3                     -0.3                     0                        268.75                   1.2847239766352259
-0.3                     -0.3                     0                        279.16666666666663       0.5691926411608607
-0.3                     -0.3                     0                        289.5833333333333        0.9140764232463225
-0.3                     -0.3                     0                        300                      0.3750265333262394
-0.3                     -0.3                     0.67                     50                       0.25542927428806284
-0.3                     -0.3                     0.67                     60.416666666666664       0.7117828243396589
-0.3                     -0.3                     0.67                     70.83333333333333        8.12734003472812
-0.3                     -0.3                     0.67                     81.25                    1.525017188772981
-0.3                     -0.3                     0.67                     91.66666666666666        1.8266038632767694
-0.3                     -0.3                     0.67                     102.08333333333333       0.04821742603804449
-0.3                     -0.3                     0.67                     112.5                    0.0566174798308502
-0.3                     -0.3                     0.67                     122.91666666666666       0.25565369823431316
-0.3                     -0.3                     0.67                     133.33333333333331       0.1598102317577461
-0.3                     -0.3                     0.67                     143.75                   0.6567254650164676
-0.3                     -0.3                     0.67                     154.16666666666666       0.1574375635820021
