% Model:              dipole_antenna (2).mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 28 2022, 00:36
% Table:              Table 3 - AF
% freq (MHz)                                      20*log10(1/abs(emw.Vport_1))
30                                                14.237886945864169
32.72727272727273                                 13.445836894361754
35.45454545454545                                 12.71112729315966
38.18181818181818                                 12.01771640051083
40.90909090909091                                 11.359326354542889
43.63636363636363                                 10.731477324403329
46.36363636363636                                 10.131166402227683
49.09090909090909                                 9.556561462111553
51.81818181818181                                 9.006706814016066
54.54545454545455                                 8.481256007502786
57.272727272727266                                8.011651397371127
60                                                7.524973682343095
62.72727272727273                                 7.074777999525522
65.45454545454545                                 6.679550258675726
68.18181818181819                                 6.264118115409351
70.9090909090909                                  5.9110556590909455
73.63636363636363                                 5.544921897783157
76.36363636363636                                 5.244311879727145
79.0909090909091                                  4.93258288066753
81.81818181818181                                 4.6875368731910525
84.54545454545453                                 4.453022917940245
87.27272727272727                                 4.248652108722376
90                                                4.074980611137876
92.72727272727272                                 3.9326066967266247
95.45454545454545                                 3.8213331934775487
98.18181818181817                                 3.7406149666023176
100.9090909090909                                 3.689577812598175
103.63636363636363                                3.667040773101938
106.36363636363636                                3.6715725643783896
109.09090909090908                                3.701556803132239
111.81818181818181                                3.755250644822135
114.54545454545453                                3.830827865568462
117.27272727272727                                3.926406267684961
120                                               4.040065040513082
122.72727272727272                                4.169860140336315
125.45454545454545                                4.313844205697967
128.1818181818182                                 4.470093485283786
130.9090909090909                                 4.636740008872341
133.63636363636363                                4.812004589277813
136.36363636363637                                4.994225811073644
139.09090909090907                                5.181881460278404
141.8181818181818                                 5.373600897768732
144.54545454545453                                5.568168773879416
147.27272727272725                                5.7645217158078275
150                                               5.9617401025491565
152.72727272727272                                6.159036951521618
155.45454545454544                                6.355745538459838
158.18181818181816                                6.5513068810728186
160.9090909090909                                 6.745257774071849
163.63636363636363                                6.937219725777508
166.36363636363635                                7.126888919591727
169.0909090909091                                 7.314027187940777
171.8181818181818                                 7.498453917235777
174.54545454545453                                7.680038777433847
177.27272727272725                                7.85869517194817
180                                               8.03437431979071
182.72727272727272                                8.207059902892421
185.45454545454544                                8.376763231179279
188.18181818181816                                8.543518894038156
190.9090909090909                                 8.70738087940637
193.63636363636363                                8.868419151077298
196.36363636363635                                9.026716677017752
199.09090909090907                                9.182366888416064
201.8181818181818                                 9.33547152162825
204.54545454545453                                9.486138778528627
207.27272727272725                                9.634481761268475
210                                               9.78061717528141
212.72727272727272                                9.924664307854737
215.45454545454544                                10.066744282534454
218.18181818181816                                10.20697959350759
220.9090909090909                                 10.345493943962119
223.63636363636363                                10.482412434432074
226.36363636363635                                10.61786216340552
229.09090909090907                                10.751973309844896
231.8181818181818                                 10.884880764227201
234.54545454545453                                11.016726360547331
237.27272727272725                                11.147661739584366
239.99999999999997                                11.277851849382689
242.72727272727272                                11.407479070719585
245.45454545454544                                11.536747950487376
248.18181818181816                                11.665890536149032
250.9090909090909                                 11.795172324032666
253.63636363636363                                11.924898852731065
256.3636363636364                                 12.055422980559173
259.09090909090907                                12.187152878579177
261.8181818181818                                 12.320560749049934
264.5454545454545                                 12.456192244871083
267.27272727272725                                12.594676517841872
270                                               12.736736758060843
272.72727272727275                                12.883201000314731
275.45454545454544                                13.035012864276986
278.18181818181813                                13.193241766592433
280.9090909090909                                 13.359092001470732
283.6363636363636                                 13.533909946268734
286.3636363636363                                 13.719188531134606
289.09090909090907                                13.916568050899233
291.8181818181818                                 14.127832439933046
294.5454545454545                                 14.354900338570065
297.27272727272725                                14.599810726567915
300                                               14.864703649849908
