% Model:              dipoleMoveInBox_6.28.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jul 1 2022, 15:15
% Table:              Table 5 - Global Evaluation 3
% boxX (m)               boxY (m)                 boxZ (m)                 freq (MHz)               abs(emw.Vport_1) (V)
0.65                     -0.2                     0.7                      50                       0.2711429873762462
0.65                     -0.2                     0.7                      50.12506253126563        0.2738703850165716
0.65                     -0.2                     0.7                      50.25012506253127        0.2766397569433704
0.65                     -0.2                     0.7                      50.3751875937969         0.2794518788769327
0.65                     -0.2                     0.7                      50.50025012506252        0.2823075450622879
0.65                     -0.2                     0.7                      50.62531265632816        0.2852075687980924
0.65                     -0.2                     0.7                      50.7503751875938         0.28815278298248986
0.65                     -0.2                     0.7                      50.87543771885943        0.29114404067646343
0.65                     -0.2                     0.7                      51.000500250125064       0.29418221568519176
0.65                     -0.2                     0.7                      51.12556278139069        0.2972682031581123
0.65                     -0.2                     0.7                      51.250625312656325       0.3004029202085316
0.65                     -0.2                     0.7                      51.37568784392196        0.30358730655329164
0.65                     -0.2                     0.7                      51.500750375187586       0.306822325172784
0.65                     -0.2                     0.7                      51.62581290645323        0.3101089629919782
0.65                     -0.2                     0.7                      51.75087543771886        0.3134482315832923
0.65                     -0.2                     0.7                      51.87593796898449        0.316841167892011
0.65                     -0.2                     0.7                      52.00100050025013        0.3202888349848957
0.65                     -0.2                     0.7                      52.126063031515756       0.3237923228226457
0.65                     -0.2                     0.7                      52.25112556278138        0.32735274905689454
0.65                     -0.2                     0.7                      52.37618809404702        0.3309712598524172
0.65                     -0.2                     0.7                      52.50125062531265        0.33464903073525476
0.65                     -0.2                     0.7                      52.62631315657829        0.3383872674674386
0.65                     -0.2                     0.7                      52.751375687843925       0.34218720694900645
0.65                     -0.2                     0.7                      52.876438219109545       0.34605011814798814
0.65                     -0.2                     0.7                      53.001500750375186       0.3499773030590272
0.65                     -0.2                     0.7                      53.12656328164082        0.3539700976912869
0.65                     -0.2                     0.7                      53.25162581290645        0.358029873086275
0.65                     -0.2                     0.7                      53.37668834417209        0.36215803636617705
0.65                     -0.2                     0.7                      53.50175087543772        0.36635603181326176
0.65                     -0.2                     0.7                      53.62681340670334        0.37062534198087976
0.65                     -0.2                     0.7                      53.75187593796898        0.3749674888365104
0.65                     -0.2                     0.7                      53.87693846923462        0.3793840349372642
0.65                     -0.2                     0.7                      54.00200100050024        0.3838708318282479
0.65                     -0.2                     0.7                      54.127063531765884       0.38844029343538494
0.65                     -0.2                     0.7                      54.25212606303151        0.39309704066190787
0.65                     -0.2                     0.7                      54.37718859429715        0.3978431162011329
0.65                     -0.2                     0.7                      54.50225112556278        0.4026806251658825
0.65                     -0.2                     0.7                      54.627313656828406       0.407611737405026
0.65                     -0.2                     0.7                      54.75237618809405        0.4126386899193319
0.65                     -0.2                     0.7                      54.87743871935968        0.41776378938128417
0.65                     -0.2                     0.7                      55.00250125062531        0.4229894147637025
0.65                     -0.2                     0.7                      55.12756378189095        0.4283180200822549
