% Model:              dipole_antenna (1).mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 28 2022, 00:17
% Table:              Table 6 - AF
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex/emw.Vport_1))  Point average: 20*log10(abs(emw.normE/emw.Vport_1))
50                                                16.684843764983476                                24.014294106236235
50.836120401337794                                16.684843764983476                                24.014294106236235
51.67224080267559                                 16.684843764983476                                24.014294106236235
52.508361204013376                                16.684843764983476                                24.014294106236232
53.34448160535117                                 16.684843764983476                                24.014294106236232
54.180602006688964                                16.684843764983476                                24.014294106236232
55.01672240802676                                 16.684843764983476                                24.014294106236235
55.85284280936454                                 15.333494675541646                                23.331401930522308
56.68896321070233                                 15.333494675541647                                23.331401930522308
57.52508361204013                                 15.333494675541647                                23.331401930522308
58.36120401337792                                 15.333494675541647                                23.331401930522308
59.197324414715716                                14.302229847995921                                24.111063411838785
60.03344481605351                                 14.302229847995921                                24.111063411838785
60.869565217391305                                14.302229847995926                                24.111063411838792
61.7056856187291                                  14.302229847995926                                24.111063411838792
62.541806020066886                                13.565560317509828                                30.518519748036525
63.37792642140468                                 13.195452270428888                                45.075269494068266
64.21404682274247                                 12.960005889126446                                30.3604882525512
65.05016722408027                                 12.764352492421125                                24.203912379574284
65.88628762541806                                 12.51169416339088                                 18.883935609590594
66.72240802675586                                 12.511694163390878                                18.883935609590594
67.55852842809364                                 12.121623147721884                                16.148294860211593
68.39464882943145                                 11.902871228134716                                15.750200340791848
69.23076923076923                                 11.579287989177345                                15.415848067550499
70.06688963210702                                 11.30083944210553                                 15.245308324833726
70.90301003344482                                 11.30083944210553                                 15.245308324833726
71.73913043478261                                 10.916218814927294                                15.739393798679965
72.57525083612039                                 10.916218814927294                                15.739393798679965
73.4113712374582                                  10.890440409341622                                15.978372264213826
74.24749163879598                                 10.17122389122282                                 18.583419110915944
75.08361204013377                                 10.17122389122282                                 18.583419110915944
75.91973244147155                                 10.156139303485926                                18.887675919389633
76.75585284280936                                 9.633154584988803                                 26.661120309590668
77.59197324414716                                 9.237342364994392                                 36.8656763177444
78.42809364548495                                 8.929979764840956                                 39.91503220146968
79.26421404682274                                 8.704096914453785                                 31.300415938077997
80.10033444816054                                 8.49218189790129                                  27.502690407433438
80.93645484949833                                 8.180964732451223                                 23.65659089482209
81.77257525083613                                 8.180964732451223                                 23.65659089482209
82.6086956521739                                  8.088133772696368                                 23.079107240145714
83.4448160535117                                  7.417320498555481                                 19.468148528609877
84.2809364548495                                  7.41732049855548                                  19.468148528609877
85.11705685618728                                 7.4173204985554815                                19.468148528609877
85.95317725752508                                 7.115861879437355                                 18.514523494471625
86.78929765886286                                 7.115861879437355                                 18.514523494471625
87.62541806020067                                 6.638562567900873                                 17.275909490785317
88.46153846153844                                 5.9287001004072595                                15.710288590571338
89.29765886287626                                 5.9287001004072595                                15.710288590571338
90.13377926421404                                 5.9287001004072595                                15.710288590571338
90.96989966555185                                 5.9287001004072595                                15.710288590571338
91.80602006688963                                 4.880323036474099                                 14.209057035131885
92.64214046822742                                 4.880323036474098                                 14.209057035131885
93.47826086956522                                 4.880323036474099                                 14.209057035131885
94.314381270903                                   4.8803230364741                                   14.209057035131885
95.15050167224081                                 4.880323036474098                                 14.209057035131885
95.98662207357857                                 4.087651020617599                                 13.297305034723275
96.8227424749164                                  4.087651020617599                                 13.297305034723275
97.65886287625416                                 3.333126142518898                                 12.559664383153411
98.49498327759197                                 3.333126142518899                                 12.559664383153411
99.33110367892975                                 3.333126142518898                                 12.559664383153411
100.16722408026756                                3.9064045374219565                                13.016208367207348
101.00334448160535                                2.073073671856578                                 11.589141459409781
101.83946488294313                                2.073073671856578                                 11.589141459409781
102.67558528428094                                2.073073671856578                                 11.589141459409783
103.51170568561872                                2.0730736718565774                                11.589141459409783
104.34782608695653                                2.073073671856578                                 11.589141459409783
105.1839464882943                                 2.073073671856578                                 11.589141459409783
106.0200668896321                                 1.2084961227429862                                11.17672238374336
106.85618729096988                                1.208496122742988                                 11.176722383743364
107.6923076923077                                 1.208496122742988                                 11.176722383743364
108.52842809364547                                1.2084961227429882                                11.176722383743364
109.36454849498327                                1.208496122742988                                 11.176722383743364
110.20066889632106                                0.7047248150606075                                11.437936266878316
111.03678929765886                                0.7047248150606075                                11.437936266878316
111.87290969899666                                0.7047248150606072                                11.437936266878316
112.70903010033445                                0.7047248150606071                                11.437936266878316
113.54515050167224                                0.7047248150606071                                11.437936266878316
114.38127090301003                                0.7047248150606071                                11.437936266878316
115.21739130434783                                0.8933192029164767                                11.89358179693425
116.05351170568561                                0.8337760191255653                                13.371879965383535
116.88963210702342                                0.8337760191255651                                13.371879965383535
117.7257525083612                                 0.8337760191255653                                13.371879965383535
118.56187290969899                                0.8337760191255653                                13.371879965383535
119.39799331103677                                0.8337760191255652                                13.371879965383535
120.23411371237458                                0.8337760191255651                                13.371879965383535
121.07023411371236                                4.84587471571769                                  22.813106782118332
121.90635451505017                                4.84587471571769                                  22.813106782118332
122.74247491638795                                4.845874715717687                                 22.81310678211833
123.57859531772576                                4.845874715717687                                 22.81310678211833
124.41471571906355                                6.261133996624485                                 15.141664588657974
125.25083612040133                                4.889327237926227                                 12.844610425601147
126.08695652173913                                4.224208726686127                                 12.18222968458672
126.9230769230769                                 4.224208726686127                                 12.18222968458672
127.75919732441471                                3.954995299556754                                 14.278569656348262
128.59531772575252                                3.9549952995567534                                14.278569656348262
129.4314381270903                                 3.8823257266669167                                18.963817537200946
130.26755852842808                                3.8837431956524755                                22.253509816754516
