% Model:              biconAndDipole_box_moveBicon_correctRoomSize_1.15.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 28 2022, 18:10
% Table:              Table 5 - Global Evaluation 4
% biconX (m)             biconY (m)               biconZ (m)               freq (MHz)               10 * log10( abs(emw.Pport_1) /.001)
-0.698                   0.014                    -1.204                   88.5                     -34.45388393930238
-0.698                   0.014                    -1.204                   89                       -35.11889741802478
-0.698                   0.014                    -1.204                   89.5                     -36.406758092153815
-0.698                   0.014                    -1.204                   90                       -37.4814817426138
-0.698                   0.014                    -1.204                   90.5                     -38.2721705295869
-0.698                   0.014                    -1.204                   91                       -38.835428247844
-0.698                   0.014                    -1.204                   91.5                     -39.227588718009
-0.698                   0.014                    -1.204                   92                       -39.49008503356674
-0.698                   0.014                    -1.204                   92.5                     -39.65200835803393
-0.698                   0.014                    -1.204                   93                       -39.73387303010527
-0.698                   0.014                    -1.204                   93.5                     -39.75041309839347
-0.698                   0.014                    -1.204                   94                       -39.7124517602338
-0.698                   0.014                    -1.204                   94.5                     -39.62783840690582
-0.698                   0.014                    -1.204                   95                       -39.50357834274094
-0.698                   0.014                    -1.204                   95.5                     -39.34420204146009
-0.698                   0.014                    -1.204                   96                       -39.15405555572312
-0.698                   0.014                    -1.204                   96.5                     -38.93690091906903
-0.698                   0.014                    -1.204                   97                       -38.69630571335009
-0.698                   0.014                    -1.204                   97.5                     -38.43593036307472
-0.698                   0.014                    -1.204                   98                       -38.159827359019296
-0.698                   0.014                    -1.204                   98.5                     -37.87277957083006
-0.698                   0.014                    -1.204                   99                       -37.58069872056259
-0.698                   0.014                    -1.204                   99.5                     -37.29109736425406
-0.698                   0.014                    -1.204                   100                      -37.01363143655462
-0.698                   0.014                    -1.204                   100.5                    -36.76067833070603
-0.698                   0.014                    -1.204                   101                      -36.547861214668444
-0.698                   0.014                    -1.204                   101.5                    -36.39435602781223
-0.698                   0.014                    -1.204                   102                      -36.32275021413762
-0.698                   0.014                    -1.204                   102.5                    -36.358231466870706
-0.698                   0.014                    -1.204                   103                      -36.52707590120191
-0.698                   0.014                    -1.204                   103.5                    -36.85484262280901
-0.698                   0.014                    -1.204                   104                      -37.36525682287067
-0.698                   0.014                    -1.204                   104.5                    -38.081175124627904
-0.698                   0.014                    -1.204                   105                      -39.02909029499152
-0.698                   0.014                    -1.204                   105.5                    -40.24886640572881
-0.698                   0.014                    -1.204                   106                      -41.81230314060784
-0.698                   0.014                    -1.204                   106.5                    -43.86256240492088
-0.698                   0.014                    -1.204                   107                      -46.719175310801795
-0.698                   0.014                    -1.204                   107.5                    -51.281728766931934
-0.698                   0.014                    -1.204                   108                      -62.57513111178601
-0.698                   0.014                    -1.204                   108.5                    -57.3142384726313
-0.698                   0.014                    -1.204                   109                      -48.83740367719795
-0.698                   0.014                    -1.204                   109.5                    -44.37861123148956
-0.698                   0.014                    -1.204                   110                      -41.257588879752795
-0.698                   0.014                    -1.204                   110.5                    -38.83438146021875
-0.698                   0.014                    -1.204                   111                      -36.875536278067415
-0.698                   0.014                    -1.204                   111.5                    -35.28994506879903
-0.698                   0.014                    -1.204                   112                      -34.04419917399607
-0.698                   0.014                    -1.204                   112.5                    -33.05987512357407
-0.698                   0.014                    -1.204                   113                      -32.60143870240546
-0.698                   0.014                    -1.204                   113.5                    -32.27226413341684
-0.698                   0.014                    -1.204                   114                      -32.17563472877768
-0.698                   0.014                    -1.204                   114.5                    -32.26401619257074
-0.698                   0.014                    -1.204                   115                      -32.399196209107416
-0.698                   0.014                    -1.204                   115.5                    -32.631395388133704
-0.698                   0.014                    -1.204                   116                      -32.895104369788655
-0.698                   0.014                    -1.204                   116.5                    -33.17109360884505
-0.698                   0.014                    -1.204                   117                      -33.447035582464785
-0.698                   0.014                    -1.204                   117.5                    -33.715750821887205
-0.698                   0.014                    -1.204                   118                      -33.9737469080469
-0.698                   0.014                    -1.204                   118.5                    -34.22042282400564
-0.698                   0.014                    -1.204                   119                      -34.4580592960797
-0.698                   0.014                    -1.204                   119.5                    -34.69317166972697
-0.698                   0.014                    -1.204                   120                      -34.94161409847444
-0.698                   0.014                    -1.204                   120.5                    -35.24983438398016
-0.698                   0.014                    -1.204                   121                      -35.85426505595338
-0.698                   0.014                    -1.204                   121.5                    -33.39087129970189
-0.698                   0.014                    -1.204                   122                      -27.740029898768462
-0.698                   0.014                    -1.204                   122.5                    -34.194143732930804
-0.698                   0.014                    -1.204                   123                      -34.648137165084634
-0.698                   0.014                    -1.204                   123.5                    -34.842716344952834
-0.698                   0.014                    -1.204                   124                      -34.95209274779058
-0.698                   0.014                    -1.204                   124.5                    -35.01741863445629
-0.698                   0.014                    -1.204                   125                      -35.054535802066404
-0.698                   0.014                    -1.204                   125.5                    -35.07185526042938
-0.698                   0.014                    -1.204                   126                      -35.07593908269041
-0.698                   0.014                    -1.204                   126.5                    -35.07012074386444
-0.698                   0.014                    -1.204                   127                      -35.07320846493954
-0.698                   0.014                    -1.204                   127.5                    -35.10756134063329
-0.698                   0.014                    -1.204                   128                      -35.273111465500364
-0.698                   0.014                    -1.204                   128.5                    -36.49863967027323
-0.698                   0.014                    -1.204                   129                      -32.644472111908016
-0.698                   0.014                    -1.204                   129.5                    -33.68331079913169
-0.698                   0.014                    -1.204                   130                      -33.77713350072919
-0.698                   0.014                    -1.204                   130.5                    -33.74824905190552
-0.698                   0.014                    -1.204                   131                      -33.635948550112175
-0.698                   0.014                    -1.204                   131.5                    -33.49914159498611
-0.698                   0.014                    -1.204                   132                      -33.34397349834333
-0.698                   0.014                    -1.204                   132.5                    -33.176931654077364
-0.698                   0.014                    -1.204                   133                      -33.002987292489145
-0.698                   0.014                    -1.204                   133.5                    -32.82738067908388
-0.698                   0.014                    -1.204                   134                      -32.6561151525928
-0.698                   0.014                    -1.204                   134.5                    -32.496767468967505
-0.698                   0.014                    -1.204                   135                      -32.35874989518179
-0.698                   0.014                    -1.204                   135.5                    -32.254317693990195
-0.698                   0.014                    -1.204                   136                      -32.19786623938748
-0.698                   0.014                    -1.204                   136.5                    -32.20076297947623
-0.698                   0.014                    -1.204                   137                      -32.23244158575732
-0.698                   0.014                    -1.204                   137.5                    -32.30802323989103
-0.698                   0.014                    -1.204                   138                      -34.52658130076434
-0.698                   0.014                    -1.204                   138.5                    -35.131660935655965
-0.698                   0.014                    -1.204                   139                      -36.80165468980914
-0.698                   0.014                    -1.204                   139.5                    -40.18492323027879
-0.698                   0.014                    -1.204                   140                      -43.37357826877448
-0.698                   0.014                    -1.204                   140.5                    -63.959325982312194
-0.698                   0.014                    -1.204                   141                      -45.083737065414724
-0.698                   0.014                    -1.204                   141.5                    -38.55434172836702
-0.698                   0.014                    -1.204                   142                      -34.94620946440959
-0.698                   0.014                    -1.204                   142.5                    -32.58515597114628
-0.698                   0.014                    -1.204                   143                      -30.97228406202396
-0.698                   0.014                    -1.204                   143.5                    -29.887933698797337
-0.698                   0.014                    -1.204                   144                      -29.20677041439435
-0.698                   0.014                    -1.204                   144.5                    -28.841175534208055
-0.698                   0.014                    -1.204                   145                      -28.72454219408199
-0.698                   0.014                    -1.204                   145.5                    -28.806148329311547
-0.698                   0.014                    -1.204                   146                      -29.078055692417642
-0.698                   0.014                    -1.204                   146.5                    -29.71288900993435
-0.698                   0.014                    -1.204                   147                      -18.284882995827804
-0.698                   0.014                    -1.204                   147.5                    -28.86048035244093
-0.698                   0.014                    -1.204                   148                      -29.523171943716036
-0.698                   0.014                    -1.204                   148.5                    -29.98288564220811
-0.698                   0.014                    -1.204                   149                      -30.38838877453629
-0.698                   0.014                    -1.204                   149.5                    -30.768189500205597
-0.698                   0.014                    -1.204                   150                      -31.130991579827874
-0.698                   0.014                    -1.204                   150.5                    -31.48027850396378
-0.698                   0.014                    -1.204                   151                      -31.8139412002038
-0.698                   0.014                    -1.204                   151.5                    -32.26054091412695
-0.698                   0.014                    -1.204                   152                      -32.54534975388455
-0.698                   0.014                    -1.204                   152.5                    -32.96773343470207
-0.698                   0.014                    -1.204                   153                      -33.12304481302956
-0.698                   0.014                    -1.204                   153.5                    -33.73082939710555
-0.698                   0.014                    -1.204                   154                      -34.66454193258695
-0.698                   0.014                    -1.204                   154.5                    -38.81181759042641
-0.698                   0.014                    -1.204                   155                      -28.69580649906551
-0.698                   0.014                    -1.204                   155.5                    -30.41332627753149
-0.698                   0.014                    -1.204                   156                      -32.4561682563109
-0.698                   0.014                    -1.204                   156.5                    -32.92797905848894
-0.698                   0.014                    -1.204                   157                      -33.223630988464976
-0.698                   0.014                    -1.204                   157.5                    -33.44233762294644
-0.698                   0.014                    -1.204                   158                      -33.61657373050989
-0.698                   0.014                    -1.204                   158.5                    -33.76245051529543
-0.698                   0.014                    -1.204                   159                      -33.89057834305657
-0.698                   0.014                    -1.204                   159.5                    -34.01110619414949
-0.698                   0.014                    -1.204                   160                      -34.13905387787666
-0.698                   0.014                    -1.204                   160.5                    -34.308509763595005
-0.698                   0.014                    -1.204                   161                      -34.65150358542692
-0.698                   0.014                    -1.204                   161.5                    -45.411180428293385
-0.698                   0.014                    -1.204                   162                      -32.75930115662249
-0.698                   0.014                    -1.204                   162.5                    -33.83403258724422
-0.698                   0.014                    -1.204                   163                      -34.62917463372434
-0.698                   0.014                    -1.204                   163.5                    -39.01546927437024
-0.698                   0.014                    -1.204                   164                      -29.671273502065986
-0.698                   0.014                    -1.204                   164.5                    -30.935020874503216
-0.698                   0.014                    -1.204                   165                      -30.656730474438397
-0.698                   0.014                    -1.204                   165.5                    -26.087175893697413
-0.698                   0.014                    -1.204                   166                      -35.826551904365715
-0.698                   0.014                    -1.204                   166.5                    -33.65105061437888
-0.698                   0.014                    -1.204                   167                      -32.99584457483972
-0.698                   0.014                    -1.204                   167.5                    -32.580004897503095
-0.698                   0.014                    -1.204                   168                      -32.22216197464067
-0.698                   0.014                    -1.204                   168.5                    -31.880737806533727
-0.698                   0.014                    -1.204                   169                      -31.52451319230352
-0.698                   0.014                    -1.204                   169.5                    -31.142314426308737
-0.698                   0.014                    -1.204                   170                      -30.72327735863619
-0.698                   0.014                    -1.204                   170.5                    -30.254893883898326
-0.698                   0.014                    -1.204                   171                      -29.718197637827757
-0.698                   0.014                    -1.204                   171.5                    -29.07520745098484
-0.698                   0.014                    -1.204                   172                      -28.21813080915991
-0.698                   0.014                    -1.204                   172.5                    -26.576986009204944
-0.698                   0.014                    -1.204                   173                      -44.25704354466275
-0.698                   0.014                    -1.204                   173.5                    -29.32763310900679
-0.698                   0.014                    -1.204                   174                      -28.11390514825181
-0.698                   0.014                    -1.204                   174.5                    -27.959141399803894
-0.698                   0.014                    -1.204                   175                      -29.125392023350063
-0.698                   0.014                    -1.204                   175.5                    -32.36043066529893
-0.698                   0.014                    -1.204                   176                      -39.476797628421465
-0.698                   0.014                    -1.204                   176.5                    -41.648434685790015
-0.698                   0.014                    -1.204                   177                      -37.13411469323852
-0.698                   0.014                    -1.204                   177.5                    -27.628778849356017
-0.698                   0.014                    -1.204                   178                      -59.446267853880066
