% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Dec 26 2021, 18:38
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)
30                                                4.9442699898058365E-5
35                                                7.145102587517556E-5
40                                                1.0509884314022047E-4
42                                                1.235092634880553E-4
44                                                1.4538379195122293E-4
46                                                1.7114601591094588E-4
48                                                2.0144634741808734E-4
50                                                2.365156426443661E-4
50.501002004008015                                2.4670382660338326E-4
51.00200400801602                                 2.5721797749885363E-4
51.503006012024045                                2.682429331388881E-4
52.00400801603207                                 2.799077189982115E-4
52.505010020040075                                2.924310377203014E-4
53.0060120240481                                  3.06363109847609E-4
53.50701402805611                                 3.2392030301137863E-4
54.00801603206412                                 3.8111074617039407E-4
54.50901803607214                                 3.2045901376290714E-4
55.01002004008016                                 3.453998726599958E-4
55.51102204408817                                 3.632292216616971E-4
56.012024048096194                                3.801632539548965E-4
56.51302605210421                                 3.972287302395071E-4
57.01402805611222                                 4.1476059837758405E-4
57.51503006012024                                 4.3292679867899564E-4
58.016032064128254                                4.5181796822702674E-4
58.51703406813626                                 4.715109058001347E-4
59.018036072144284                                4.920669547673406E-4
59.5190380761523                                  5.135415560568943E-4
60.020040080160314                                5.359870186582768E-4
60.521042084168336                                5.594537708052964E-4
61.022044088176344                                5.839908110677064E-4
61.52304609218436                                 6.096456617396689E-4
62.02404809619239                                 6.364639571066772E-4
62.525050100200396                                6.644887176221348E-4
63.02605210420842                                 6.937593182193775E-4
63.52705410821643                                 7.243101349197102E-4
64.02805611222445                                 7.561688392736912E-4
64.52905811623246                                 7.893543020936837E-4
65.03006012024048                                 8.238740647555912E-4
65.53106212424849                                 8.597213393623358E-4
66.03206412825651                                 8.968715083960813E-4
66.53306613226452                                 9.352781147653927E-4
67.03406813627254                                 9.748683637101074E-4
67.53507014028055                                 0.0010155382063876106
68.03607214428857                                 0.0010571471391227808
68.5370741482966                                  0.0010995129379506737
69.0380761523046                                  0.0011424066503312005
69.53907815631263                                 0.0011855482798531223
70.04008016032064                                 0.0012286037102953568
70.54108216432864                                 0.0012711834982846002
71.04208416833667                                 0.0013128441810794853
71.54308617234469                                 0.0013530926514632212
72.04408817635269                                 0.0013913938988615742
72.54509018036072                                 0.00142718199068617
73.04609218436873                                 0.0014598736825928644
73.54709418837673                                 0.0014888839363343786
74.04809619238478                                 0.0015136439157246685
74.54909819639278                                 0.001533626019681587
75.05010020040079                                 0.0015483854802666797
75.5511022044088                                  0.0015576223960019151
76.05210420841684                                 0.0015612374039747773
76.55310621242484                                 0.0015593269748364579
77.05410821643287                                 0.0015521083154573117
77.55511022044088                                 0.0015398407015372127
78.05611222444888                                 0.001522797780563555
78.55711422845691                                 0.0015012762670674864
79.05811623246493                                 0.0014756059157074717
79.55911823647293                                 0.001446147218936531
80.06012024048096                                 0.0014132803589592335
80.56112224448897                                 0.0013773920328613207
81.06212424849697                                 0.0013388643829630395
81.56312625250501                                 0.001298067848225112
82.06412825651302                                 0.0012553584479326905
82.56513026052103                                 0.001211079560886492
83.06613226452905                                 0.0011655683344446543
83.56713426853707                                 0.0011191672273296329
84.06813627254508                                 0.0010722416236421549
84.5691382765531                                  0.0010252042964380382
85.07014028056112                                 9.785449626118915E-4
85.57114228456912                                 9.328547898438487E-4
86.07214428857715                                 8.888196131744578E-4
86.57314629258516                                 8.471464101505458E-4
87.07414829659317                                 8.084284971846882E-4
87.5751503006012                                  7.730803320007703E-4
88.07615230460922                                 7.414305471857003E-4
88.57715430861721                                 7.13950392857224E-4
89.07815631262525                                 6.913563267522187E-4
89.57915831663325                                 6.745250557424807E-4
90.08016032064127                                 6.643145347422563E-4
90.58116232464928                                 6.613942299575682E-4
91.08216432865731                                 6.661299164387306E-4
91.58316633266531                                 6.785374636649448E-4
92.08416833667334                                 6.983073177618204E-4
92.58517034068136                                 7.248885857284004E-4
93.08617234468936                                 7.57612765639646E-4
93.58717434869739                                 7.958356566573456E-4
94.0881763527054                                  8.392026195389211E-4
94.58917835671342                                 8.882231042220165E-4
95.09018036072143                                 9.47112081326079E-4
95.59118236472946                                 0.0010626126079594754
96.09218436873745                                 9.410530129697103E-4
96.59318637274549                                 0.0010410486990037882
97.0941883767535                                  0.001108474698395559
97.59519038076151                                 0.0011896018901829074
98.09619238476954                                 0.0011493593558391344
98.59719438877755                                 0.001229587783244694
99.09819639278555                                 0.001289400379040393
99.59919839679358                                 0.0013435593097511135
100.1002004008016                                 0.0013957590173574394
100.6012024048096                                 0.0014471753551838665
101.10220440881763                                0.0014985078192387737
101.60320641282564                                0.0015504203433912346
102.10420841683366                                0.0016037130874111977
102.60521042084167                                0.001659405545425786
103.1062124248497                                 0.0017186293491011043
103.60721442885769                                0.0017817096432819414
104.10821643286572                                0.0018443097200576328
104.60921843687373                                0.0018878373884249032
105.11022044088175                                0.0018826265180601149
105.61122244488976                                0.0018433353564732075
106.11222444889779                                0.0018212172645286785
106.61322645290579                                0.0018277681352217214
107.1142284569138                                 0.001851251983983039
107.61523046092184                                0.0018824153369483938
108.11623246492984                                0.0019168279346936067
108.61723446893785                                0.001952675719827981
109.11823647294588                                0.0019893984977504644
109.61923847695391                                0.002027145634408506
110.1202404809619                                 0.002066626284703466
110.62124248496994                                0.0021089940653675732
111.12224448897793                                0.0021552378781575284
111.62324649298596                                0.0022047710814902255
112.12424849699397                                0.00225479308357867
112.625250501002                                  0.002302494850508235
113.12625250501                                   0.0023473675787426345
113.62725450901803                                0.002390607685893063
114.12825651302605                                0.002433627391008022
