Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S22_Magnitude,S22_Phase,
30000000,-0.5235429494,-114.8943618,-62.190394,-169.1411709,0.003965439107,-8.178936908,
30071111,-0.4924723573,-115.6667342,-76.52698997,81.23726052,0.03428082575,-8.781543669,
30142222,-0.4937691427,-116.4083984,-77.63565442,76.45279696,0.0329393096,-8.797595227,
30213333,-0.4958837276,-117.1461982,-78.14820254,64.53701896,0.03421726825,-8.800309142,
30284444,-0.5009363514,-117.865307,-79.05569505,59.76421881,0.03317328854,-8.810371361,
30355555,-0.504207085,-118.5931674,-76.60026612,53.3390981,0.03250408455,-8.839085558,
30426666,-0.5079896495,-119.3153414,-76.73800616,65.42928649,0.03309984579,-8.835330029,
30497777,-0.5107477321,-120.0441052,-76.17295933,59.97979683,0.03178521585,-8.860530698,
30568888,-0.5141503671,-120.7796256,-74.56774736,60.91730419,0.03187605417,-8.886225111,
30640000,-0.517013943,-121.5295788,-76.28287338,57.61936584,0.03117710233,-8.902737953,
30711111,-0.5210060444,-122.2594141,-75.48276282,65.35328699,0.03004168907,-8.927698291,
30782222,-0.5231116784,-122.9980369,-75.92051082,66.10254803,0.03086219536,-8.943265883,
30853333,-0.5241889308,-123.7496145,-75.25785536,57.88833433,0.0309610959,-8.977337552,
30924444,-0.5219207767,-124.3962663,-72.72847622,66.07086061,0.02586422332,-9.013523597,
30995555,-0.5288449847,-125.2210484,-75.19651951,49.29981452,0.03089809996,-9.044786126,
31066666,-0.5552061621,-125.7821706,-73.73770299,134.296103,0.02290104701,-9.094971659,
31137777,-0.5369064224,-126.7430065,-74.26239621,38.9879721,0.02302602325,-9.104964165,
31208888,-0.5356544818,-127.4672365,-73.32172397,47.80042123,0.03092627802,-9.087340259,
31280000,-0.5386947707,-128.2012831,-73.49191655,41.66261742,0.03092430528,-9.114361559,
31351111,-0.5410451448,-128.9568281,-73.30562588,47.89834076,0.03115251798,-9.138211656,
31422222,-0.542395187,-129.6891029,-71.99772102,41.61601329,0.03035011624,-9.152010795,
31493333,-0.5433679857,-130.4469725,-72.01089539,36.97074827,0.03064109577,-9.174169777,
31564444,-0.545679387,-131.196065,-71.31907509,41.3984698,0.03073228209,-9.200709204,
31635555,-0.5481956786,-131.9573112,-70.71940104,39.78500191,0.03190437521,-9.207415252,
31706666,-0.5483126709,-132.7187797,-70.53204354,37.02826026,0.0321207045,-9.244094014,
31777777,-0.5501361999,-133.4761544,-69.57791746,42.28361068,0.03345819889,-9.254330683,
31848888,-0.5516787253,-134.2469534,-69.78630224,41.74788257,0.0341715099,-9.275508312,
31920000,-0.5517002192,-135.0268703,-68.52983086,41.11689407,0.03239154502,-9.281708414,
31991111,-0.5534093183,-135.7752641,-68.32876734,42.17474783,0.03127079966,-9.309235165,
32062222,-0.5525509366,-136.5490115,-68.01068708,48.78774579,0.03056126171,-9.32164484,
32133333,-0.5529253555,-137.319555,-68.14589592,43.03072296,0.03065825059,-9.330533531,
32204444,-0.5537508909,-138.0938627,-69.42519145,39.47543581,0.03319032648,-9.37001511,
32275555,-0.5525905348,-138.8730479,-69.19782236,41.03118304,0.03213813608,-9.405962442,
32346666,-0.5545215,-139.6545462,-69.96346387,42.14327137,0.03156022913,-9.424051076,
32417777,-0.5551877587,-140.4296196,-68.80396216,40.98926209,0.03191404895,-9.449028642,
32488888,-0.5554460462,-141.2056428,-68.44792502,41.06344062,0.03114088694,-9.454856664,
32560000,-0.5561597295,-141.9926216,-68.3916561,37.71669355,0.0303472825,-9.481468519,
32631111,-0.5547542383,-142.778613,-67.91083035,32.5068766,0.0286167711,-9.499982113,
32702222,-0.5555123018,-143.5790627,-68.05836137,29.22251554,0.02848379321,-9.516049584,
