Frequency,S11_Magnitude,S11_Phase,S12_Magnitude,S12_Phase,S22_Magnitude,S22_Phase,
30000000,-0.5871178445,-111.5077548,-63.94753004,160.0694621,0.06162540775,-8.528155967,
30071111,-0.5543469628,-112.0772798,-65.83735152,-146.4602597,0.03803891679,-8.77839313,
30142222,-0.5569445009,-112.7861754,-65.57375824,-148.6042395,0.03705283078,-8.790280938,
30213333,-0.5605880553,-113.480784,-65.98134067,-145.8248531,0.03717869947,-8.794996972,
30284444,-0.5644260149,-114.1827991,-65.45777962,-147.1313169,0.03684382626,-8.802331455,
30355555,-0.5693139777,-114.8796154,-65.8881132,-149.7804368,0.03637569357,-8.831875567,
30426666,-0.5725572972,-115.5885842,-65.93935854,-148.9719504,0.0369070271,-8.829922839,
30497777,-0.5759467236,-116.2930946,-65.78909986,-147.0130441,0.03625255732,-8.850511689,
30568888,-0.5802064481,-117.0000645,-65.61313619,-150.4323708,0.03624584605,-8.874952124,
30640000,-0.5832476767,-117.7240312,-65.48102789,-149.2152071,0.03659214551,-8.889412183,
30711111,-0.5887428969,-118.4231795,-65.53333043,-152.0910089,0.03510281773,-8.911458333,
30782222,-0.5916697089,-119.1269486,-65.18853518,-152.0298467,0.03520875994,-8.929352446,
30853333,-0.5950481903,-119.8491414,-65.45630116,-150.1632539,0.03433588961,-8.963691714,
30924444,-0.6072617296,-120.6695853,-64.61417526,-92.69338915,0.04632876389,-9.064532758,
30995555,-0.6001627735,-121.2875005,-65.56999564,-148.1321472,0.03442931956,-9.032057936,
31066666,-0.6140534277,-121.9253543,-65.39048697,-153.8555682,0.05198379375,-9.15879701,
31137777,-0.602406868,-122.6921692,-66.11529796,-148.0457401,0.03141280704,-9.064878006,
31208888,-0.6088104191,-123.4407952,-65.61738958,-150.1126784,0.03456854589,-9.092310869,
31280000,-0.6120497737,-124.157426,-65.32666373,-151.8329856,0.03465084089,-9.108228631,
31351111,-0.6139809735,-124.8805516,-65.28955425,-153.8703828,0.03560935082,-9.128597829,
31422222,-0.6170129334,-125.5973794,-65.64203936,-152.5545348,0.03464637945,-9.161431354,
31493333,-0.6174541007,-126.3195322,-65.18528596,-152.2972671,0.03606611631,-9.189438858,
31564444,-0.6206090742,-127.0402476,-65.66906851,-151.875381,0.03531059383,-9.21818223,
31635555,-0.6227921314,-127.7451511,-65.48089853,-153.2435646,0.03624634676,-9.226281661,
31706666,-0.622479708,-128.4930397,-65.6268915,-154.2265008,0.03550342024,-9.247734573,
31777777,-0.6233656492,-129.2157187,-65.51001875,-152.7571067,0.03609977899,-9.267857154,
31848888,-0.6245724914,-129.9551306,-65.49150506,-154.9029935,0.03579650938,-9.298022032,
31920000,-0.6258157141,-130.6858551,-65.35680058,-154.6164778,0.03700649297,-9.296429422,
31991111,-0.6265876887,-131.409966,-65.06938278,-152.1026684,0.03585540578,-9.316277597,
32062222,-0.62677025,-132.1433648,-65.24961303,-157.8512076,0.03564487518,-9.321612973,
32133333,-0.6282048618,-132.8881578,-65.41319963,-156.4523829,0.03515794254,-9.352876971,
32204444,-0.6296595127,-133.6151587,-64.59698954,-155.2593118,0.0345955301,-9.381536263,
32275555,-0.6301812901,-134.35929,-64.52261713,-160.854899,0.03304859551,-9.399873866,
32346666,-0.6299906658,-135.1075998,-64.58636959,-160.3743595,0.03322032419,-9.410930519,
32417777,-0.6292936848,-135.8494092,-64.4956568,-163.8087929,0.03415288376,-9.437952627,
32488888,-0.6285407997,-136.5936999,-64.39067595,-163.3948255,0.03366616726,-9.454338541,
32560000,-0.6267712278,-137.3526284,-64.15329002,-163.2734852,0.03390699756,-9.481810341,
32631111,-0.6258933592,-138.0993437,-64.27695282,-164.3323866,0.03396988649,-9.512766291,
32702222,-0.6253473318,-138.867366,-63.48774155,-166.5575537,0.03289187298,-9.531325402,
32773333,-0.6256226117,-139.6046204,-63.74598196,-168.9754311,0.03195011491,-9.554682599,
32844444,-0.625158074,-140.3634767,-63.40497173,-164.1474101,0.03216820317,-9.569626087,
32915555,-0.6231203933,-141.1325516,-63.23539445,-168.9831884,0.03351359721,-9.598511772,
32986666,-0.6214522483,-141.8968812,-63.22612649,-171.1517797,0.03324281409,-9.614019735,
