% Model:              dipoleMoveInBox_1.10.23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 10 2023, 17:01
% Table:              Table 3 - port voltage
% boxX (m)               boxY (m)                 boxZ (m)                 boxTheta                 boxPhi                   freq (MHz)               abs(emw.Vport_1) (V)
-0.15                    -0.2                     0.1                      80                       50                       50                       0.030182111611799175
-0.15                    -0.2                     0.1                      80                       50                       50.501002004008015       0.030182111611799175
-0.15                    -0.2                     0.1                      80                       50                       51.00200400801602        0.030182111611799175
-0.15                    -0.2                     0.1                      80                       50                       51.503006012024045       0.030182111611799175
-0.15                    -0.2                     0.1                      80                       50                       52.00400801603207        0.03512812986349116
-0.15                    -0.2                     0.1                      80                       50                       52.505010020040075       0.03512812986349116
-0.15                    -0.2                     0.1                      80                       50                       53.0060120240481         0.0396599510369617
-0.15                    -0.2                     0.1                      80                       50                       53.50701402805611        0.0396599510369617
-0.15                    -0.2                     0.1                      80                       50                       54.00801603206412        0.0396599510369617
-0.15                    -0.2                     0.1                      80                       50                       54.50901803607214        0.045453098033486586
-0.15                    -0.2                     0.1                      80                       50                       55.01002004008016        0.04545309803348658
-0.15                    -0.2                     0.1                      80                       50                       55.51102204408817        0.051228884122042156
-0.15                    -0.2                     0.1                      80                       50                       56.012024048096194       0.05122888412204214
-0.15                    -0.2                     0.1                      80                       50                       56.51302605210421        0.05686189801257955
-0.15                    -0.2                     0.1                      80                       50                       57.01402805611222        0.05686189801257955
-0.15                    -0.2                     0.1                      80                       50                       57.51503006012024        0.06306564694325452
-0.15                    -0.2                     0.1                      80                       50                       58.016032064128254       0.06911438229960294
-0.15                    -0.2                     0.1                      80                       50                       58.51703406813626        0.06911438229960294
-0.15                    -0.2                     0.1                      80                       50                       59.018036072144284       0.0739650966509607
-0.15                    -0.2                     0.1                      80                       50                       59.5190380761523         0.08198916895615178
-0.15                    -0.2                     0.1                      80                       50                       60.020040080160314       0.08198916895615178
-0.15                    -0.2                     0.1                      80                       50                       60.521042084168336       0.09489719827533533
-0.15                    -0.2                     0.1                      80                       50                       61.022044088176344       0.09489719827533533
-0.15                    -0.2                     0.1                      80                       50                       61.52304609218436        0.11135329510750061
-0.15                    -0.2                     0.1                      80                       50                       62.02404809619239        0.11135329510750062
-0.15                    -0.2                     0.1                      80                       50                       62.525050100200396       0.13107540351704694
-0.15                    -0.2                     0.1                      80                       50                       63.02605210420842        0.1478352544232503
-0.15                    -0.2                     0.1                      80                       50                       63.52705410821643        0.16391251937045437
-0.15                    -0.2                     0.1                      80                       50                       64.02805611222445        0.18491134534038733
-0.15                    -0.2                     0.1                      80                       50                       64.52905811623246        0.2097095707108023
-0.15                    -0.2                     0.1                      80                       50                       65.03006012024048        0.2369914165236217
-0.15                    -0.2                     0.1                      80                       50                       65.53106212424849        0.28017024258458995
-0.15                    -0.2                     0.1                      80                       50                       66.03206412825651        0.33409682294930787
-0.15                    -0.2                     0.1                      80                       50                       66.53306613226452        0.4053690599799554
-0.15                    -0.2                     0.1                      80                       50                       67.03406813627254        0.5049905431768139
-0.15                    -0.2                     0.1                      80                       50                       67.53507014028055        0.676320728993766
-0.15                    -0.2                     0.1                      80                       50                       68.03607214428857        0.9107935360175979
-0.15                    -0.2                     0.1                      80                       50                       68.5370741482966         1.1480733435754926
-0.15                    -0.2                     0.1                      80                       50                       69.0380761523046         1.1258988751923715
-0.15                    -0.2                     0.1                      80                       50                       69.53907815631263        0.8983801391572279
-0.15                    -0.2                     0.1                      80                       50                       70.04008016032064        0.6967621623129131
-0.15                    -0.2                     0.1                      80                       50                       70.54108216432864        0.5582393499633145
-0.15                    -0.2                     0.1                      80                       50                       71.04208416833667        0.47519891237413486
-0.15                    -0.2                     0.1                      80                       50                       71.54308617234469        0.3971708281132047
-0.15                    -0.2                     0.1                      80                       50                       72.04408817635269        0.3476292292582974
-0.15                    -0.2                     0.1                      80                       50                       72.54509018036072        0.31197439237956887
-0.15                    -0.2                     0.1                      80                       50                       73.04609218436873        0.28350419402040483
-0.15                    -0.2                     0.1                      80                       50                       73.54709418837673        0.2606239756145132
-0.15                    -0.2                     0.1                      80                       50                       74.04809619238478        0.2420143621021901
-0.15                    -0.2                     0.1                      80                       50                       74.54909819639278        0.2266587275869445
-0.15                    -0.2                     0.1                      80                       50                       75.05010020040079        0.21384032731056873
-0.15                    -0.2                     0.1                      80                       50                       75.5511022044088         0.2030535154217103
-0.15                    -0.2                     0.1                      80                       50                       76.05210420841684        0.19345966285805843
-0.15                    -0.2                     0.1                      80                       50                       76.55310621242484        0.1854694789616782
-0.15                    -0.2                     0.1                      80                       50                       77.05410821643287        0.17852981095830966
-0.15                    -0.2                     0.1                      80                       50                       77.55511022044088        0.17225830181654783
-0.15                    -0.2                     0.1                      80                       50                       78.05611222444888        0.1601430394084066
-0.15                    -0.2                     0.1                      80                       50                       78.55711422845691        0.16417533951509392
-0.15                    -0.2                     0.1                      80                       50                       79.05811623246493        0.15994803342122998
-0.15                    -0.2                     0.1                      80                       50                       79.55911823647293        0.1565242997890784
-0.15                    -0.2                     0.1                      80                       50                       80.06012024048096        0.15360753793558657
-0.15                    -0.2                     0.1                      80                       50                       80.56112224448897        0.15117008139129529
-0.15                    -0.2                     0.1                      80                       50                       81.06212424849697        0.14929992029472164
-0.15                    -0.2                     0.1                      80                       50                       81.56312625250501        0.14749123659391639
-0.15                    -0.2                     0.1                      80                       50                       82.06412825651302        0.14618983302137117
-0.15                    -0.2                     0.1                      80                       50                       82.56513026052103        0.14527248877259258
