% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 4 2023, 11:39
% Table:              AF 40ohms plus 0 - AF
% freq (MHz)             20*log10(1/abs(emw.Vport_1))
40                       15.9846849019257
50                       12.526928170097198
60                       9.278391724164537
70                       7.207853212696255
80                       7.428117434396322
90                       8.95790107500942
100                      10.584274925206024
110                      11.965811078815097
120                      13.087183093683185
130                      13.993500935779284
140                      14.729907147206784
150                      15.331583023267317
160                      15.824881684965435
170                      16.230390699999912
180                      16.566008813569862
190                      16.84662595392131
200                      17.08011677784747
210                      17.30982661044831
220                      17.521155334966913
230                      17.684483513554937
240                      17.884301793954243
250                      18.1292263131612
260                      18.44237629472421
270                      18.847076395018433
280                      19.35396089878366
290                      20.03513590120539
300                      20.831852399435384
310                      21.73951909484746
