% Model:              receive_biconical_frame_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 4 2023, 11:29
% Table:              AF 80ohms plus 0 - AF
% freq (MHz)             20*log10(1/abs(emw.Vport_1))
40                       10.660413678438143
50                       7.8826894974268304
60                       5.745011129569132
70                       4.687009960398781
80                       4.807583624654454
90                       5.624002175792953
100                      6.642065011715857
110                      7.627156660613041
120                      8.505487232226201
130                      9.267433571467423
140                      9.92244659154135
150                      10.485999759111698
160                      10.972251185078672
170                      11.394191418197991
180                      11.764655755093816
190                      12.095018434759064
200                      12.39014752444534
210                      12.694210819832294
220                      12.982922358200481
230                      13.2268111257803
240                      13.508104360723102
250                      13.829822405850278
260                      14.209764622358403
270                      14.667456513900854
280                      15.213349982197128
290                      15.844164088402264
300                      16.65977679698859
310                      17.555180012157262
