Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor
34604444,-1.203455298,0.8706171844,-164.6113086,-0.8394036419,-0.2310320491,-0.2752335557
34686666,-1.214049729,0.8695559148,-165.5525447,-0.8420578189,-0.2169472715,-0.2576394004
34768888,-1.22677149,0.8682832546,-166.5167974,-0.8443519075,-0.2024491704,-0.2397687132
34851111,-1.240104625,0.8669514329,-167.4356512,-0.8461899473,-0.1885931075,-0.2228732545
34933333,-1.250574112,0.8659070876,-168.3879181,-0.8481844171,-0.1742936569,-0.2054902842
35015555,-1.262734992,0.8646956027,-169.3560464,-0.8498176021,-0.1597138956,-0.1879390297
35097777,-1.27681346,0.8632952015,-170.2876356,-0.8509216658,-0.1456397052,-0.1711552438
35180000,-1.29031454,0.8619543644,-171.246451,-0.8519143938,-0.1311761865,-0.1539781314
35262222,-1.302349901,0.8607608484,-172.1684344,-0.8527324641,-0.1172884599,-0.1375442649
35344444,-1.314428748,0.8595646817,-173.1270668,-0.8533878364,-0.1028622512,-0.120534002
35426666,-1.329800913,0.8580447815,-174.0465318,-0.8534168813,-0.08899704423,-0.1042832011
35508888,-1.344389684,0.8566048239,-174.9991433,-0.8533440676,-0.07467078904,-0.08750373018
35591111,-1.359771171,0.8550892398,-175.934687,-0.8529377369,-0.06062033562,-0.07107240423
35673333,-1.375479128,0.8535442551,-176.8906818,-0.8522877203,-0.04629727139,-0.05432117616
35755555,-1.391271729,0.8519937591,-177.8467481,-0.8513921704,-0.03201152656,-0.03759903799
35837777,-1.406444426,0.8505067774,-178.7575101,-0.8503068045,-0.01844225292,-0.02168893959
35920000,-1.419979139,0.8491825145,-179.7066539,-0.8491713848,-0.00434767246,-0.005119899867
36002222,-1.434579541,0.8477562943,179.3458331,-0.8477010398,0.00967893455,-0.01141786325
36084444,-1.448072847,0.8464403492,178.4238409,-0.8461200957,0.02328193184,-0.02751610789
36166666,-1.444626866,0.8467762268,177.400554,-0.8459049011,0.03840412105,-0.04540004556
36248888,-1.476973096,0.8436286986,176.5568704,-0.8421058662,0.05066647049,-0.06016639061
36331111,-1.491009048,0.8422665389,175.6459861,-0.839835763,0.06394383166,-0.07613849573
36413333,-1.503645776,0.8410420524,174.6953895,-0.8374400897,0.07775493642,-0.09284835701
36495555,-1.518116718,0.8396420187,173.7544217,-0.8346585224,0.09134478918,-0.109439713
36577777,-1.530984153,0.8383990786,172.8160889,-0.8318175254,0.1048456933,-0.1260441024
36660000,-1.543373771,0.8372040324,171.8879133,-0.8288268954,0.1181379252,-0.1425363074
