% Model:              dipoleDriveBox_2.3.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 3 2022, 22:20
% Table:              Table 16 - abs Ex
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex))              Point average: 20*log10(abs(emw.Ey))              Point average: 20*log10(abs(emw.Ez))
223.5                                             -31.45492689128738                                -40.95657978916041                                -42.00017047102313
224                                               -28.83881966312632                                -37.3179918265631                                 -41.28346971762227
224.5                                             11.573759854639441                                3.406318761572259                                 -2.8723552423093177
225                                               -28.351540005674238                               -36.902142263193056                               -41.652666687005684
225.5                                             -29.809299194784277                               -40.38108806701175                                -43.54910480210228
226                                               -28.06162390300974                                -40.239903105293195                               -42.79884217881538
226.5                                             -23.058156698550906                               -36.56969932226436                                -39.24702994412211
227                                               15.847509900506322                                1.568893528278039                                 -2.0924304859540355
227.5                                             -22.111670174863892                               -35.086106534774885                               -36.92865431495275
228                                               -12.43934155106136                                -16.848160880399153                               -17.279670383902427
228.5                                             -29.937268295667224                               -37.312741507621745                               -37.921254697274094
229                                               -28.176266944183812                               -37.62133271469465                                -33.463586586720275
229.5                                             -34.72725528758328                                -43.5889892732665                                 -45.11652695362976
230                                               -36.004402840902095                               -44.68296364817302                                -46.55412068304199
230.5                                             -36.84882259058646                                -45.13151257460196                                -47.280712464573526
231                                               -37.495047913702315                               -45.188653014788834                               -47.725748775995974
231.5                                             -37.90662739141657                                -44.957679221912386                               -47.84796044941863
232                                               -38.08992112842584                                -44.52305565795187                                -47.69213956927227
232.5                                             -38.10024371538782                                -43.747873295513315                               -47.38239279014812
233                                               -37.88814179110501                                -42.74362646317378                                -46.873714584760044
233.5                                             -37.31587452156121                                -41.204973554071415                               -45.99211538492723
234                                               -36.30004369947536                                -39.02540298372594                                -44.593615879983496
234.5                                             -34.33024448877993                                -35.89311585303256                                -41.99184391228714
235                                               -30.120654434715853                               -30.547224100665872                               -37.076198197862894
235.5                                             -8.235883586584995                                -12.32396587992882                                -17.357756622561514
236                                               -28.017605655320395                               -28.89108580929918                                -35.94180059539277
236.5                                             -32.69950322861193                                -35.210556005221875                               -41.185960832208124
237                                               -32.87766013410215                                -38.186847587067454                               -42.89188226595459
237.5                                             -30.706605264585356                               -39.722603718151916                               -42.9244281418088
238                                               -27.00479081997629                                -40.23505058775488                                -42.034684122805174
238.5                                             -20.275170845429447                               -39.28509010036431                                -39.83658746861812
239                                               -2.1306788211056045                               -41.17572262149782                                -40.41455476941092
239.5                                             -20.847261190304987                               -29.585816524714282                               -31.191807815631503
240                                               -6.114735847391537                                -11.040998374862689                               -5.091727829864639
240.5                                             -28.14061523277442                                -34.39395086482758                                -32.24904361598327
241                                               -30.434288876969955                               -38.048778907203                                  -37.400053811931556
241.5                                             -30.312490588871686                               -38.689238430817205                               -39.16742278469552
242                                               -27.37058585145062                                -36.46824839214139                                -38.4232116450732
242.5                                             2.774491948474419                                 -7.217013497193476                                -9.226571130731868
243                                               -24.805816388405507                               -35.554456536374474                               -37.31652542475462
243.5                                             -20.978311674669126                               -35.44843216542175                                -34.90110758921302
244                                               -4.483103816335256                                -22.408796589477326                               -21.77627034016388
244.5                                             -23.021001650798134                               -35.00281460445131                                -35.47221925726029
245                                               -26.876396139135714                               -32.16566636759221                                -34.62493069352678
245.5                                             -25.517583981281625                               -26.73365404801866                                -29.589175674430294
246                                               11.091827854144585                                11.127039456125987                                7.966389973109567
246.5                                             -24.3429609969261                                 -26.647213070178655                               -29.94377284750114
247                                               -26.172486822844473                               -32.08284932726533                                -35.488579556180824
247.5                                             -31.015847053149372                               -35.07430733865352                                -38.40585630035296
248                                               -32.08004787991441                                -36.897125308503                                  -40.3469596186872
248.5                                             -31.72115798670171                                -37.83184956715485                                -41.47363002328742
249                                               -27.262330091699045                               -37.51437531111831                                -41.89429541296371
249.5                                             -24.391892542781747                               -34.29203821633577                                -39.87843831982223
250                                               4.387480637955396                                 0.7330240019805021                                -4.582100757146844
250.5                                             -28.792850950823762                               -34.64100843265612                                -40.06543823227928
251                                               -29.698674663474435                               -38.980232190748005                               -42.871988308071515
251.5                                             -21.057644612412947                               -36.1061660542895                                 -37.88053911375924
252                                               -26.861735698761798                               -40.883916119991895                               -42.87668453141874
252.5                                             -11.626065049511736                               -20.024423509949383                               -17.504100033222464
253                                               -18.49003829399157                                -41.54807121188532                                -43.269876530643835
253.5                                             -3.0375319802992817                               -45.8826601774295                                 -44.91364841554695
254                                               -16.570326586126793                               -34.87455774286713                                -43.07903119999942
254.5                                             -24.54746046026897                                -41.4996337617555                                 -44.15929893861854
255                                               -28.257996580239418                               -41.58168708122375                                -43.34443148196135
255.5                                             -29.677291657002133                               -39.98485506608638                                -41.974088760493586
256                                               -29.88666634634619                                -36.82547781508622                                -39.50513484782765
256.5                                             -28.20199677367816                                -28.804383176747816                               -32.57148674001666
257                                               -26.19816199659055                                -27.736520720302373                               -30.879387518863137
257.5                                             -21.994144114770386                               -35.14813805756157                                -34.95626181336039
258                                               -9.695004784897012                                -31.38336667280205                                -24.374271454949888
258.5                                             -12.524928801534612                               -28.413568327405194                               -23.9273133466116
259                                               -19.360667719025454                               -39.34746298603878                                -36.133525838533664
259.5                                             -22.212875652039067                               -39.51203708910014                                -36.77340236159087
260                                               -23.352799304955727                               -35.05273879304068                                -28.937455824111233
260.5                                             -29.21241351559486                                -38.1339953978863                                 -36.73069804276853
261                                               -29.86572245750867                                -36.363014445823886                               -35.96510623002935
261.5                                             -28.98470124081033                                -33.53929405983263                                -33.456783502958096
262                                               -25.33132815114205                                -28.444238286336407                               -28.475799895318417
262.5                                             -0.9620133388415739                               -3.0744112525848317                               -3.6413388393755195
263                                               -24.19228931107834                                -27.360281866596903                               -27.207209232002956
263.5                                             -23.558620814937843                               -31.09895845002438                                -30.242823120665467
264                                               -20.499785053874035                               -31.852467802189157                               -34.70899368001026
264.5                                             -28.950091252600895                               -35.80990541062278                                -36.08447357757966
265                                               -30.542198248879295                               -35.48430660941359                                -35.41325545173778
265.5                                             -27.697010622084694                               -32.558859995477135                               -31.87942593285859
266                                               -24.2116013775629                                 -25.937767380897302                               -25.39155924514357
266.5                                             -20.30463384792384                                -18.47326309967451                                -16.181544466331367
267                                               -30.10256155951262                                -31.085445948127997                               -30.315298248904103
267.5                                             -31.859967309730024                               -35.011174053074896                               -35.048818550441496
268                                               0.4188848936811371                                -7.686171323614344                                -17.70540547341373
268.5                                             -32.632700949981604                               -38.42732039415549                                -39.3947297347825
269                                               -32.94379794396531                                -39.284800722033076                               -40.57246501234675
269.5                                             -32.53954671779345                                -39.40045768292795                                -41.24544628072006
270                                               -31.72999906880496                                -38.99972555055248                                -41.34608195922141
270.5                                             -30.43295899053497                                -38.07588622237015                                -40.92994071244879
271                                               -28.252006225052842                               -36.38218549638646                                -39.23530820123826
271.5                                             -23.680848145560404                               -33.30027371007791                                -33.867775161406115
272                                               -14.866709611713388                               -28.437650097607104                               -24.307707896713364
272.5                                             -18.58765659920466                                -21.101638263761835                               -30.66595550507941
273                                               -19.496253670004684                               -21.9849369074098                                 -32.32083391710685
273.5                                             -21.85892620320757                                -30.22229005847638                                -38.23084736342149
274                                               -18.303343862591916                               -32.97044417277268                                -39.31801442209087
274.5                                             -10.166678601290144                               -32.36665614815836                                -37.75359693741563
275                                               -5.681668399648603                                -42.2767069128173                                 -44.337372290876864
275.5                                             -11.354977843116252                               -35.83459822351614                                -40.48947664681564
276                                               -16.265551149464834                               -35.76932503444304                                -40.9230262332666
276.5                                             -22.35690885111276                                -33.27967935536983                                -39.13090974534419
277                                               -23.27507350934156                                -29.46321284898536                                -36.52682509293808
277.5                                             -21.568744534167294                               -23.72364724300516                                -31.88761533393497
278                                               -11.13161377254551                                -4.0754190909124235                               -14.378852525250045
278.5                                             -17.322127784230425                               -24.169646212342574                               -29.71388636221558
279                                               -5.712914400737026                                -21.870164087664516                               -20.77901681295224
279.5                                             -12.511910450911143                               -30.732189378107226                               -27.754222458545726
280                                               2.0882249102311166                                -15.754059947065606                               -15.489722812865741
280.5                                             -19.265704960032195                               -30.116761274305066                               -30.587391929210334
281                                               -18.233920058221706                               -25.37118957949281                                -24.394062294235948
281.5                                             -16.142387840035525                               -18.066094427605556                               -18.48383822034101
282                                               -15.309032109654257                               -16.867376873404037                               -20.26358180476271
282.5                                             -23.757521092997994                               -26.34384384568435                                -29.013549490029572
283                                               -26.59321287139013                                -30.122352734737113                               -32.66189291915373
283.5                                             -28.046915438411467                               -32.023825564618704                               -33.9934610965697
284                                               -20.34546703953061                                -24.706373689922682                               -23.122364875253233
284.5                                             -28.61211955494775                                -32.3571937256076                                 -33.68457612232448
285                                               -29.384760644337213                               -31.820701601299664                               -34.370229691655815
285.5                                             -29.06496951367637                                -29.91715531258922                                -32.9198814362926
286                                               -27.355770179729618                               -26.41354634805016                                -29.532669016865984
286.5                                             -21.715939589641913                               -18.875305302726797                               -22.05551090403227
287                                               -17.24990071600761                                -12.423484789222139                               -15.92372708962707
287.5                                             -13.428904487387651                               -17.97254351087298                                -19.292551058313204
288                                               -28.731029077610874                               -28.855678507378265                               -31.741598488393482
288.5                                             -29.578686092946302                               -31.50448545037239                                -33.83676287280979
289                                               -29.378588275182768                               -33.040256634055496                               -34.54049666372654
289.5                                             -27.409667965684708                               -32.438104001962444                               -33.723387461774315
290                                               -26.301426839586092                               -33.18248514218869                                -30.984821002465225
290.5                                             -17.310696056949403                               -26.835820756520064                               -20.200027510794925
291                                               -22.480632544748136                               -32.30858795666557                                -26.60242517228299
291.5                                             -20.68483873992358                                -33.46816781163231                                -29.32839735735443
292                                               4.311647770604134                                 -12.616356084428402                               -5.278312645799423
292.5                                             -17.819327652881285                               -31.488500549164073                               -29.41223056634706
293                                               -14.524146447149466                               -31.57666973986235                                -27.404264774547663
293.5                                             -7.061862938064094                                -36.87696097511529                                -30.003756063981946
294                                               -19.965196964445973                               -36.39289093321749                                -34.848888100980204
294.5                                             -23.88631397680804                                -35.30042459926579                                -35.6108109254937
295                                               -24.832015849688535                               -33.19171085242016                                -34.665172122439124
295.5                                             -20.18394734026428                                -29.89062266627923                                -31.924396692453698
296                                               -17.966564774482453                               -22.825121569407123                               -25.50638810633235
296.5                                             -12.657350565064283                               -16.67112239823703                                -19.79706909051936
297                                               -16.489087052958222                               -26.837895480044388                               -27.832283472275314
297.5                                             0.13590502519981681                               -25.526913987060592                               -15.074905114177307
298                                               -19.155663041993154                               -32.66272926664191                                -32.554805416969046
298.5                                             -22.96726616266509                                -32.56150381154449                                -34.303150390269636
299                                               -26.002188111384356                               -33.69783769344855                                -34.19055806747174
299.5                                             -25.38232879354556                                -32.42732162677413                                -32.8208674214413
300                                               -26.318554068901687                               -30.13622873624814                                -30.32474309357971
