% Model:              dipoleDriveBox_2.3.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 3 2022, 22:20
% Table:              Table 16 - abs Ex
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex))              Point average: 20*log10(abs(emw.Ey))              Point average: 20*log10(abs(emw.Ez))
74.5                                              -38.448870465696885                               -73.4891969676102                                 -75.17442863682759
75                                                -43.54706744719637                                -73.17851995331986                                -74.8906966414477
75.5                                              -46.66255029862127                                -72.82920301368686                                -74.58319891476926
76                                                -48.86464173156365                                -72.4438769048364                                 -74.287907547996
76.5                                              -50.534773558168794                               -72.08156177770455                                -73.96984371070205
77                                                -51.85505104090435                                -71.70878213619461                                -73.6497943430149
77.5                                              -52.98484255883773                                -71.3080104112328                                 -73.30524345267649
78                                                -53.947411583095146                               -70.90122817773461                                -72.94882300027756
78.5                                              -54.82916902757681                                -70.45366100513647                                -72.60350197972961
79                                                -55.59748712617299                                -70.00743389256901                                -72.18801888300885
79.5                                              -56.30106128536423                                -69.53486927701724                                -71.79790876695475
80                                                -56.99008718991937                                -69.03747751530399                                -71.37247401977314
80.5                                              -57.62835036968185                                -68.49531863925782                                -70.90021566859643
81                                                -58.080611059842                                  -67.94728341102613                                -70.41552862024815
81.5                                              -58.363230273345756                               -67.37526150404999                                -69.88119441758664
82                                                -58.59753972186118                                -66.75121464856811                                -69.33542775807312
82.5                                              -58.72770942482581                                -66.1089907715975                                 -68.75469414376758
83                                                -58.72779494920822                                -65.38719695883518                                -68.12464823681618
83.5                                              -58.667837285846666                               -64.61227035542146                                -67.40147740834719
84                                                -58.57667997377693                                -63.768370390113255                               -66.60653381040807
84.5                                              -58.42674247285682                                -62.84633789969975                                -65.7439634731671
85                                                -57.89041411126057                                -61.796772257715816                               -64.82382280177889
85.5                                              -56.51318368593346                                -60.61950021669788                                -63.69019466397935
86                                                -54.88989854249597                                -59.24146401712413                                -62.411843360271845
86.5                                              -53.06454799733586                                -57.599685187062796                               -60.82659540397316
87                                                -50.800959373286645                               -55.55011400394173                                -58.708276234031295
87.5                                              -47.818345974314354                               -52.79732481854079                                -55.93854931383313
88                                                -43.28398773671055                                -48.589317035563745                               -51.74422486653485
88.5                                              -33.59854117632475                                -39.28380316319098                                -42.45309145366006
89                                                -33.90930658283346                                -39.496949472448605                               -42.55357351748333
89.5                                              -43.238990395115174                               -48.51526119156097                                -51.4477488279477
90                                                -47.17619027296849                                -52.63162956861623                                -55.565969611609546
90.5                                              -49.598963190002806                               -55.3029216225048                                 -58.3019373529471
91                                                -51.36869036922297                                -57.23824025380311                                -60.31268928882729
91.5                                              -52.75582673326294                                -58.7398203396375                                 -61.71155804715925
92                                                -53.79427633914251                                -59.990319479681                                  -62.81337366958396
92.5                                              -54.60384197647932                                -61.00647709958924                                -63.71005930370022
93                                                -55.194326383888146                               -61.91474519562075                                -64.52919319350463
93.5                                              -55.59815642537743                                -62.67186982454082                                -65.21052151992926
94                                                -55.890362323462945                               -63.357149509141706                               -65.76294864614404
94.5                                              -55.463117978975234                               -63.96437806903603                                -66.25927951777558
95                                                -54.8256216396306                                 -64.50156331617887                                -66.67774953481181
95.5                                              -54.1316855828577                                 -64.95100445480703                                -67.02187537302483
96                                                -53.41908488948101                                -65.4533092841324                                 -67.33107943505101
96.5                                              -52.650435077455896                               -65.8656035942643                                 -67.61446093263311
97                                                -51.79512983857291                                -66.2416053161566                                 -67.83479129631242
97.5                                              -50.8882694522115                                 -66.58499914722303                                -68.0287065575713
98                                                -49.833552339915435                               -66.89682605770255                                -68.22083370196135
98.5                                              -48.72904055325504                                -67.15803573999465                                -68.34418030842804
99                                                -47.47904585207851                                -67.33239606822276                                -68.36924685346224
99.5                                              -45.952383107611794                               -67.44492725706328                                -68.35297734578636
100                                               -44.20621517544088                                -67.56460847065782                                -68.27536183173346
100.5                                             -42.14290310226508                                -67.57397048248247                                -68.16894659192252
101                                               -39.51877670206403                                -67.53904392439485                                -67.96169665454487
101.5                                             -35.76276277527597                                -67.40285546701962                                -67.62507717149143
102                                               -29.315854233385217                               -66.84449716067854                                -66.85460827352334
102.5                                             -12.473334276746842                               -65.32498884042568                                -64.75743458560896
103                                               -31.23417967084866                                -67.10181040795797                                -66.84521513109493
103.5                                             -36.640913517654866                               -67.00084255667656                                -66.63023373079079
104                                               -39.9990173917815                                 -66.73143450995906                                -66.27430675647628
104.5                                             -42.35882761163246                                -66.41453009702985                                -65.85037354706937
105                                               -44.20831279567048                                -66.08023707995444                                -65.37142657729399
105.5                                             -45.71921481642876                                -65.6901007978662                                 -64.86493205201877
106                                               -47.00905804554867                                -65.27137206019277                                -64.36229037345217
106.5                                             -48.19245136558793                                -64.75860041295846                                -63.82190978310669
107                                               -49.2497251003674                                 -64.28095475154855                                -63.212747284117455
107.5                                             -50.21829246791796                                -63.739981531539314                               -62.50794057969619
108                                               -50.65192756003777                                -63.10764504177576                                -61.69036841352628
108.5                                             -50.481025123433625                               -62.42505153805739                                -60.85548880200436
109                                               -50.190571189615426                               -61.6798545270756                                 -59.9847486598781
109.5                                             -49.78753040109134                                -60.769682551059205                               -59.04304588278095
110                                               -49.062645684259074                               -59.79209405509801                                -57.94535242794669
110.5                                             -48.02190121149413                                -58.64778815026331                                -56.672971097571946
111                                               -46.663125531520826                               -57.27919626625639                                -55.13222418295731
111.5                                             -44.97629997730291                                -55.62728108756259                                -53.337732400333834
112                                               -42.75463393154396                                -53.47487487060591                                -51.091049343020124
112.5                                             -39.759362933811545                               -50.440449392301446                               -47.903909322654094
113                                               -34.71366064358732                                -45.64424310360809                                -42.73767742726532
113.5                                             -21.733702256159674                               -32.573391646136315                               -29.105781971790716
114                                               -30.24074073405919                                -41.15306693509859                                -38.00601805083066
114.5                                             -37.308730300280025                               -47.98835298962286                                -45.399095924697235
115                                               -41.16299644777278                                -51.55800639453216                                -49.360269359382826
115.5                                             -43.57833058400994                                -54.02737671484414                                -51.79707558031028
116                                               -45.250554033599855                               -55.73388344531211                                -53.73347100532961
116.5                                             -46.64209667938053                                -57.12831658143611                                -55.252486890706265
117                                               -47.68311707287394                                -58.13451893638922                                -56.43679710027286
117.5                                             -48.46318905116764                                -58.93631942697118                                -57.3768180419138
118                                               -49.14278048533976                                -59.59999224071701                                -58.26367018046127
118.5                                             -49.601726935175314                               -60.110640026902914                               -59.193601304944266
119                                               -50.0204865258596                                 -60.488415516225814                               -59.79132586712005
119.5                                             -50.30357954483027                                -60.76927599897735                                -60.27690193201039
120                                               -50.496868378840794                               -60.87832573292547                                -60.72728904825304
120.5                                             -50.63004051461303                                -60.579111199213216                               -61.189614090896924
121                                               -50.740785780134196                               -59.21325496423793                                -60.24103626438087
121.5                                             -50.74198402167316                                -57.05988874666167                                -59.010531883668435
122                                               -50.411465302541814                               -54.04248910004272                                -56.677599839287055
122.5                                             -48.29341882156667                                -48.847087338750406                               -52.12288172073919
123                                               -18.381012658788183                               -18.898019857692308                               -22.273538453691938
123.5                                             -47.393263257971334                               -48.53706468717342                                -51.38040816636607
124                                               -48.17052442164174                                -54.011482304667126                               -56.117868573074695
124.5                                             -47.943403169741856                               -56.94298576979813                                -58.556651076188516
125                                               -47.303261998606175                               -58.831687313522515                               -60.16187187837545
125.5                                             -46.39910032977311                                -60.0785365881895                                 -61.32182535314126
126                                               -45.37944717221234                                -60.85488028653967                                -62.04965947817587
126.5                                             -44.00362147608172                                -61.360059633438745                               -62.497418999409156
127                                               -42.33189443534669                                -61.67292039177454                                -62.83122300396304
127.5                                             -40.326645498474136                               -61.82795790223306                                -63.08982360650612
128                                               -37.81213742866634                                -61.697632542791986                               -63.213002296222875
128.5                                             -34.42479569931336                                -61.70591236306762                                -63.21806817311771
129                                               -28.979243119781284                               -61.31091123020306                                -63.046389891893575
129.5                                             -12.052796269947821                               -57.56268210878348                                -59.84193117333679
130                                               -26.28780996698385                                -61.32220468352005                                -63.49994991882954
130.5                                             -33.13181434470303                                -61.25980315923303                                -63.471054143464784
131                                               -37.11972049058509                                -60.97006435577328                                -63.40397907446963
131.5                                             -39.778551194466715                               -60.615367828983864                               -63.31621173756222
132                                               -41.42414116715396                                -60.15943957427611                                -63.14068428636766
132.5                                             -42.5835990690626                                 -59.61594263891775                                -62.90559421227869
133                                               -42.80938299159732                                -59.01464838657836                                -62.66255188452723
133.5                                             -42.76079564280736                                -58.32551771449225                                -62.251529748342655
134                                               -42.37108449392796                                -57.528139331585486                               -61.73180384431529
134.5                                             -41.72606382763793                                -56.61028664389679                                -61.07898246349586
135                                               -40.840865777083025                               -55.566589710298615                               -60.36110383048364
135.5                                             -39.38696036088417                                -54.347977701338216                               -59.440292769955065
136                                               -37.29822659517586                                -52.87875545444228                                -58.36613855754294
136.5                                             -34.09737429824515                                -51.03193961389503                                -56.98524961255753
137                                               -28.07023135027352                                -48.54646838824573                                -55.010841278332336
137.5                                             -9.83454477932168                                 -46.8884342354118                                 -53.333530027199515
138                                               -27.381147671753634                               -40.39629195862996                                -48.58603515419523
138.5                                             -14.810175813007554                               -23.90455510447612                                -33.41609166276475
139                                               -27.279458423154146                               -36.94391110766726                                -45.4613467809465
139.5                                             -33.41618787477581                                -43.78381166273829                                -50.659357468693784
140                                               -36.49694198234099                                -47.21346321839983                                -52.25706872372219
140.5                                             -38.31472543274439                                -48.64638022422813                                -51.72284219182947
141                                               -38.97967913241012                                -48.05383221282448                                -49.3212476096828
141.5                                             -37.99704926508551                                -44.70659206170639                                -44.185704717882125
142                                               -15.157347961182984                               -20.679944790883244                               -17.891021072409778
142.5                                             -38.59935999348113                                -44.330458906561596                               -43.18380218925335
143                                               -39.396012935824636                               -49.078904688607686                               -48.3431864407554
143.5                                             -38.94577164726225                                -51.23691977161511                                -50.422891017337726
144                                               -37.84144231193058                                -52.1920207095309                                 -50.94526050742521
144.5                                             -36.39131957536681                                -52.07079957395822                                -49.83408133744845
145                                               -34.05996846732479                                -50.14226543622717                                -46.93959244203484
145.5                                             -29.122034460874822                               -45.26572111421844                                -40.72452476590979
146                                               -5.464358010840415                                -21.5741821838926                                 -15.440785081255921
146.5                                             -27.979362723566243                               -46.037185477316115                               -41.09250084123234
147                                               -25.568622986964524                               -50.4215482169214                                 -46.553700552272694
147.5                                             -15.78804630319522                                -51.25351542959645                                -48.315314428422234
148                                               -18.080393674096914                               -55.37670670665708                                -53.2579072631601
148.5                                             -26.550147205082837                               -55.956682399939574                               -54.179460874427875
149                                               -30.616783900318065                               -56.26143580213863                                -55.08112683530745
149.5                                             -33.36184996074449                                -56.30333891207127                                -55.713427594254476
150                                               -35.54045985176179                                -56.14360836555674                                -55.98366945168535
150.5                                             -37.33213807229883                                -55.702096496851446                               -56.03411074401794
151                                               -38.339194075182085                               -55.0207465771805                                 -55.79899596408791
151.5                                             -38.807684061990436                               -54.193321758094385                               -55.32454780519485
152                                               -39.0406618631438                                 -53.195666370305766                               -54.694721780149706
152.5                                             -38.82667243984954                                -52.00967304801232                                -53.81981816163108
153                                               -38.02222973833947                                -50.62394301397433                                -52.7399070074871
153.5                                             -36.733146239382386                               -48.94747426126592                                -51.293144789406874
154                                               -34.851121964595905                               -46.80201993261633                                -49.37306109830367
154.5                                             -32.08059083312413                                -43.874521119735455                               -46.57045044449167
155                                               -27.572066501912524                               -38.98992508514805                                -42.07767617612117
155.5                                             -16.59692003396939                                -27.388400424571458                               -30.79575781556049
156                                               -21.761595364234456                               -32.51516416112825                                -35.87528091081971
156.5                                             -29.062400888934228                               -40.25835903595369                                -43.58137723227603
157                                               -32.84057288613463                                -44.3070110784722                                 -47.45979620449006
157.5                                             -35.21106484017435                                -46.72625823510628                                -50.04017309545582
158                                               -37.03782495147385                                -48.66649108767531                                -51.887542117201875
158.5                                             -38.41560325265684                                -50.01851325466759                                -53.25693119383685
159                                               -39.423022475588965                               -51.08096931136589                                -54.220332316016865
159.5                                             -40.23911461760836                                -51.709209885119                                  -54.90115741680881
160                                               -40.96080916226494                                -51.83956239077747                                -55.21424731445941
160.5                                             -41.4887210474039                                 -51.60768373898165                                -55.029978990709466
161                                               -41.85787936881661                                -50.64270643355297                                -54.63514108734317
161.5                                             -41.829512682705484                               -48.61405755701847                                -53.69481524505279
162                                               -40.103422604292604                               -44.362220039516515                               -51.24312795684585
162.5                                             -30.35641633173378                                -33.40595473435702                                -42.343494382108105
163                                               -34.618446030958665                               -37.54900706862559                                -45.87686492959126
163.5                                             -40.29433233256251                                -45.640914204074946                               -52.12152725091778
164                                               -42.39319895232927                                -48.53797612556565                                -53.96919161173494
164.5                                             -42.9855268816247                                 -46.31975567401877                                -50.88975022509661
165                                               -5.596904358495706                                -1.7441195653378636                               -4.102675730539449
165.5                                             -43.40657718345316                                -46.96390429542047                                -49.97239126910771
166                                               -44.094186648071954                               -51.04209509949432                                -53.37970269987347
166.5                                             -44.04711119686094                                -52.631328662482254                               -54.44050142198057
167                                               -43.8186937964229                                 -52.99149770885843                                -54.119490696513274
167.5                                             -43.147223348354935                               -52.66319479841813                                -52.49844216092764
168                                               -41.79215875277077                                -51.43896806163472                                -49.69929774092309
168.5                                             -38.54360557237179                                -47.84323457085381                                -44.25040910155537
169                                               -12.888007583630968                               -23.214104651484067                               -18.05115658013235
169.5                                             -37.96663838687463                                -47.07686724159563                                -43.37276946391259
170                                               -39.79573433501385                                -51.30827545649143                                -49.09098105067973
170.5                                             -39.523900486594805                               -53.24244562321312                                -51.90570139238786
171                                               -38.38646803395795                                -54.16926686041361                                -53.635809008169886
171.5                                             -36.606658530351716                               -54.52039860136405                                -54.67303785890901
172                                               -34.474773531816844                               -54.49235020622098                                -55.12627628173519
172.5                                             -31.736305876056072                               -54.10802461389736                                -55.19457056850083
173                                               -27.68270867660957                                -53.49282240771461                                -54.84280502933122
173.5                                             -20.094318665456704                               -52.12366098960286                                -53.57787353970364
174                                               -13.7320050104795                                 -53.159053679280866                               -54.46858436200722
174.5                                             -25.170590960503137                               -52.0804022976443                                 -53.81244368891766
175                                               -24.61301947990075                                -50.67401655477163                                -52.47747489016208
175.5                                             -32.509136507241024                               -49.33082913957392                                -51.315993163881195
176                                               -35.385133575474185                               -47.25562926123445                                -49.407411545055254
176.5                                             -35.72590985001522                                -44.199465602556344                               -46.6129313477346
