% Model:              empty_box_12.26.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 31 2022, 21:27
% Table:              Table 8 - Point Evaluation 1
% freq (MHz)                                      Point average: 20*log10(abs(emw.Ex))              Point average: 20*log10(abs(emw.normE))
50                                                3.9004139969240126                                3.900414672491011
50.501002004008015                                3.900413996924013                                 3.9004146724910114
51.00200400801602                                 3.900413996924013                                 3.9004146724910114
51.503006012024045                                3.900413996924013                                 3.9004146724910114
52.00400801603207                                 3.9004139969240126                                3.9004146724910114
52.505010020040075                                4.430686076666412                                 4.430687448978855
53.0060120240481                                  4.430686076666411                                 4.430687448978855
53.50701402805611                                 4.430686076666412                                 4.430687448978855
54.00801603206412                                 4.896949534121782                                 4.896951040461941
54.50901803607214                                 4.896949534121782                                 4.89695104046194
55.01002004008016                                 4.896949534121781                                 4.89695104046194
55.51102204408817                                 4.896949534121781                                 4.896951040461941
56.012024048096194                                5.464780261642541                                 5.4647822712120355
56.51302605210421                                 5.464780261642541                                 5.4647822712120355
57.01402805611222                                 5.464780261642542                                 5.4647822712120355
57.51503006012024                                 6.0050251690009                                   6.005027326694872
58.016032064128254                                6.0050251690009                                   6.005027326694874
58.51703406813626                                 6.0050251690009                                   6.005027326694873
59.018036072144284                                6.553458551611333                                 6.5534610457217575
59.5190380761523                                  6.553458551611333                                 6.5534610457217575
60.020040080160314                                7.021718081040114                                 7.021720522932624
60.521042084168336                                7.021718081040114                                 7.021720522932624
61.022044088176344                                7.021718081040114                                 7.021720522932624
61.52304609218436                                 7.585901585965559                                 7.585904831332039
62.02404809619239                                 8.038674197213105                                 8.038676994799118
62.525050100200396                                8.038674197213105                                 8.038676994799118
63.02605210420842                                 8.038674197213105                                 8.038676994799118
63.52705410821643                                 8.569290980459721                                 8.569294945643755
64.02805611222445                                 9.14009118935077                                  9.140194974454225
64.52905811623246                                 9.585728615099633                                 9.585750413308094
65.03006012024048                                 9.585728615099633                                 9.585750413308094
65.53106212424849                                 9.93232287746817                                  9.93233025304406
66.03206412825651                                 10.599625222080522                                10.5996294646272
66.53306613226452                                 10.599625222080522                                10.5996294646272
67.03406813627254                                 11.528468781696388                                11.52847374168232
67.53507014028055                                 11.528468781696388                                11.52847374168232
68.03607214428857                                 12.629762566649488                                12.629768433585543
68.5370741482966                                  12.81312451787488                                 12.813130618790685
69.0380761523046                                  13.970603958076188                                13.970610995259486
69.53907815631263                                 14.784675188680012                                14.784682957883115
70.04008016032064                                 15.677653245860697                                15.677661839299084
70.54108216432864                                 16.72081169885907                                 16.720821267585702
71.04208416833667                                 17.950749703703163                                17.95076042452544
71.54308617234469                                 19.43274485953094                                 19.432756949474047
72.04408817635269                                 21.400447855331286                                21.400461631913753
72.54509018036072                                 23.97236198803693                                 23.972377804839958
73.04609218436873                                 27.84059035130536                                 27.840608697946696
73.54709418837673                                 35.592238510299985                                35.592260141237446
74.04809619238478                                 41.3558502855303                                  41.35587606787423
74.54909819639278                                 29.09051895705525                                 29.090550164789914
75.05010020040079                                 24.022067246499695                                24.02210629922275
75.5511022044088                                  20.57237958596761                                 20.572429605463586
76.05210420841684                                 17.990604785013385                                17.99067092441882
76.55310621242484                                 16.02876883873239                                 16.028857362889866
77.05410821643287                                 13.909929202505866                                13.910066198921216
77.55511022044088                                 12.13748660962074                                 12.137713982983447
78.05611222444888                                 10.465903340196936                                10.466340715207052
78.55711422845691                                 8.666030564793848                                 8.66720921422852
79.05811623246493                                 6.234917669483774                                 6.244071866212538
79.55911823647293                                 4.860621279578112                                 4.904777906871429
80.06012024048096                                 5.641586222579492                                 5.643077997873502
80.56112224448897                                 5.6461106731490975                                5.647052733996715
81.06212424849697                                 5.204352260788236                                 5.204626212048728
81.56312625250501                                 5.204352260788236                                 5.204626212048728
82.06412825651302                                 4.313154502358264                                 4.31327751726316
82.56513026052103                                 4.313154502358264                                 4.31327751726316
83.06613226452905                                 3.807806666783835                                 3.807905590774527
83.56713426853707                                 2.7584933900498094                                2.7585636508326656
84.06813627254508                                 2.7584933900498094                                2.7585636508326656
84.5691382765531                                  2.112735216278438                                 2.1128037093191985
85.07014028056112                                 1.353419471344571                                 1.3534935264287067
85.57114228456912                                 0.3891275489298982                                0.38921268102837037
86.07214428857715                                 0.3891275489298982                                0.38921268102837014
86.57314629258516                                 -0.8272644615802943                               -0.8271345464158724
87.07414829659317                                 -0.8272644615802948                               -0.8271345464158721
87.5751503006012                                  -2.678353478099928                                -2.677995586070838
88.07615230460922                                 -2.6783534780999285                               -2.6779955860708378
88.57715430861721                                 -9.016599088674019                                -8.660733393011013
89.07815631262525                                 -9.01659908867402                                 -8.66073339301101
89.57915831663325                                 -5.200541798058859                                -5.199885470774498
90.08016032064127                                 -5.200541798058858                                -5.199885470774498
90.58116232464928                                 -5.200541798058858                                -5.199885470774498
91.08216432865731                                 -6.529529474705837                                -6.5263390075861025
91.58316633266531                                 -6.529529474705839                                -6.5263390075861025
92.08416833667334                                 -7.238555954867161                                -7.234930578782432
92.58517034068136                                 -7.238555954867159                                -7.234930578782432
93.08617234468936                                 -7.238555954867159                                -7.234930578782432
93.58717434869739                                 -5.431405027541284                                -5.430781475334939
94.0881763527054                                  -5.431405027541284                                -5.430781475334939
94.58917835671342                                 -5.431405027541284                                -5.43078147533494
95.09018036072143                                 -4.036612035258663                                -4.036427752363232
95.59118236472946                                 -4.036612035258663                                -4.036427752363232
96.09218436873745                                 -4.036612035258663                                -4.036427752363232
96.59318637274549                                 -3.3987492215147563                               -3.398642031031026
