% Model:              empty_box_4.20.21.mph
% Version:            COMSOL 5.4.0.388
% Date:               Apr 20 2021, 17:54
% Table:              Table 6 - Ex center (abs(emw.Ex))
% freq (MHz)             abs(emw.Ex) (V/m), Point: (-0.04412, 0, 0)
10                       1.0269211004327232
10.29029029029029        1.0269211004327232
10.58058058058058        1.0269211004327232
10.87087087087087        1.0324349629544538
11.16116116116116        1.032434962954454
11.451451451451451       1.0324349629544538
11.741741741741743       1.0324349629544538
12.032032032032031       1.0394724582882662
12.322322322322321       1.0394724582882662
12.612612612612612       1.0394724582882664
12.902902902902902       1.0394724582882664
13.193193193193192       1.0477229690951373
13.483483483483484       1.0477229690951373
13.773773773773774       1.0477229690951373
14.064064064064064       1.0477229690951373
14.354354354354355       1.0568736052657421
14.644644644644643       1.0568736052657421
14.934934934934935       1.0568736052657421
15.225225225225225       1.0643882038405459
15.515515515515515       1.064388203840546
15.805805805805806       1.064388203840546
16.096096096096097       1.072263494872583
16.386386386386388       1.072263494872583
16.676676676676678       1.072263494872583
16.966966966966968       1.0807573678860338
17.257257257257255       1.0807573678860336
17.54754754754755        1.0807573678860338
17.837837837837835       1.089828038756779
18.12812812812813        1.089828038756779
18.41841841841842        1.089828038756779
18.70870870870871        1.0994775731824848
18.998998998999          1.0994775731824848
19.289289289289286       1.0994775731824846
19.57957957957958        1.109726890013268
19.869869869869873       1.109726890013268
20.16016016016016        1.109726890013268
20.45045045045045        1.1205994238260875
20.74074074074074        1.1205994238260875
21.03103103103103        1.1205994238260875
21.32132132132132        1.132119919191512
21.61161161161161        1.132119919191512
21.9019019019019         1.132119919191512
22.19219219219219        1.1443150170770628
22.482482482482485       1.1443150170770628
22.772772772772772       1.1443150170770628
23.063063063063062       1.157213518721307
23.353353353353356       1.157213518721307
23.643643643643646       1.1663575315581443
23.933933933933936       1.1663575315581443
24.224224224224223       1.1663575315581443
24.514514514514513       1.1801570409696323
24.804804804804803       1.1801570409696323
25.095095095095097       1.1903386799059705
25.385385385385387       1.1903386799059705
25.675675675675674       1.2003860779462334
25.965965965965967       1.2003860779462336
26.256256256256258       1.2109469461725395
26.546546546546548       1.2109469461725395
26.836836836836834       1.2219361891816256
27.127127127127128       1.2219361891816256
27.41741741741742        1.2333255923753557
27.70770770770771        1.2333255923753554
27.997997997998          1.2451274972015016
28.28828828828829        1.2451274972015016
28.57857857857858        1.257358135858228
28.868868868868866       1.257358135858228
29.15915915915916        1.2700332093082507
29.44944944944945        1.270033209308251
29.73973973973974        1.283168967697879
30.03003003003003        1.283168967697879
30.32032032032032        1.2967826093563741
30.61061061061061        1.2967826093563741
30.900900900900904       1.310892338428724
31.19119119119119        1.3108923384287239
31.481481481481485       1.3255174135645866
31.77177177177177        1.3255174135645866
32.06206206206206        1.340678217541704
32.352352352352355       1.340678217541704
32.64264264264264        1.3563963361063587
32.932932932932935       1.3563963361063587
33.22322322322322        1.3726946433306317
33.513513513513516       1.3726946433306317
33.8038038038038         1.3895973942445725
34.094094094094096       1.389597394244572
34.38438438438438        1.4071303256933616
34.67467467467468        1.4071303256933616
34.96496496496497        1.4253207662885112
35.25525525525525        1.425320766288511
35.545545545545544       1.444197756416969
35.83583583583584        1.4441977564169695
36.126126126126124       1.463792179363015
36.41641641641642        1.4637921793630155
36.70670670670671        1.4841369047927448
36.996996996997          1.4841369047927448
37.28728728728729        1.5052669459502352
37.57757757757757        1.5052669459502352
37.86786786786787        1.5272196321129385
38.15815815815816        1.5272196321129388
38.448448448448445       1.5500347980664237
38.738738738738746       1.5500347980664237
39.029029029029026       1.5737549925825929
39.31931931931932        1.5737549925825929
39.609609609609606       1.5984257081318658
39.8998998998999         1.5984257081318658
40.190190190190194       1.6240956344175443
40.48048048048048        1.638064279360789
40.770770770770774       1.638064279360789
41.06106106106106        1.6636233382608614
41.35135135135135        1.679214021564839
41.64164164164165        1.6792140215648392
41.931931931931935       1.7066405055577465
42.22222222222222        1.7232637759537965
42.512512512512515       1.7232637759537963
42.8028028028028         1.7523581970175715
43.093093093093096       1.7701403562565872
43.38338338338338        1.7701403562565872
43.673673673673676       1.8010770941702308
43.96396396396397        1.820130154880724
44.254254254254256       1.820130154880724
44.54454454454454        1.8530593954592032
44.83483483483484        1.8735103753798266
45.12512512512512        1.890984928078355
45.41541541541542        1.9096085482156675
45.70570570570571        1.9290586157743725
45.995995995996          1.9489580840500953
46.286286286286284       1.9692832447293476
46.57657657657658        1.990079141424486
46.86686686686687        2.0113706243295026
47.15715715715716        2.033172564048729
47.447447447447445       2.0555005988635595
47.73773773773774        2.0783722171386065
48.02802802802803        2.1018059132239104
48.31831831831832        2.1258209486878545
48.608608608608606       2.15043743726797
48.8988988988989         2.1756764345259723
49.18918918918919        2.201559996956225
49.47947947947948        2.22811123785643
49.76976976976977        2.255354389812574
50.06006006006006        2.28331487315328
50.35035035035035        2.3120193694839717
50.64064064064064        2.341495900563282
50.930930930930934       2.3717739131253412
51.22122122122122        2.4028843702369196
51.51151151151151        2.434859849780161
51.80180180180181        2.4677346506963938
52.092092092092095       2.5015449077247074
52.38238238238238        2.5363287154319303
52.67267267267267        2.572126262416557
52.96296296296297        2.6089799766897426
53.253253253253256       2.6469346833165384
53.54354354354354        2.6860377755412914
53.833833833833836       2.7263394007632162
54.12412412412412        2.7678926628859752
54.414414414414416       2.810753842734376
54.70470470470471        2.8549826384645107
54.994994994995          2.900642428082772
55.28528528528528        2.947800556485001
55.57557557557558        2.9965286497312995
55.86586586586587        3.0469029596146515
56.15615615615616        3.099004741945559
