% Model:              dipole_antenna_freespace.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 3 2021, 09:07
% Table:              Table 3 - Lumped Port Voltage (emw.Vport_1)
% freq (GHz)             Lumped port voltage (V)
0.029                    0.07601862157350307
0.031000000000000003     0.08279014257140349
0.033                    0.08989847840376826
0.035                    0.09737056605251404
0.037000000000000005     0.10523732163898006
0.039                    0.11337234804696167
0.041                    0.12241130065730242
0.043000000000000003     0.13185713991263368
0.045000000000000005     0.14190903583545134
0.047                    0.15288612555636452
0.049                    0.16451564928495718
0.051000000000000004     0.1772218064278798
0.053000000000000005     0.19071383128370425
0.055                    0.2054409856769342
0.057                    0.2212802206667377
0.059000000000000004     0.23835415047802191
0.061000000000000006     0.25671690235615496
0.063                    0.2763758425734064
0.065                    0.2972639317354604
0.067                    0.3191996490960091
0.069                    0.34183681019572537
0.07100000000000001      0.36384710259399694
0.07300000000000001      0.3856536926394139
0.07500000000000001      0.40588366584318125
0.077                    0.42349585079827123
0.079                    0.43740566424298005
0.081                    0.4467159247828394
0.083                    0.4509152487739779
0.085                    0.44999738111864396
0.08700000000000001      0.4444466767134231
0.08900000000000001      0.4351008489682874
0.09100000000000001      0.422957248517911
0.093                    0.40899680807578037
0.095                    0.3940684325132633
0.097                    0.3792666962907253
0.099                    0.36425215159392343
0.101                    0.349679770212114
0.10300000000000001      0.3357779155125082
0.10500000000000001      0.3226611732828736
0.10700000000000001      0.31037729378985074
0.10900000000000001      0.29892773019870533
0.111                    0.28828355559211066
0.113                    0.2783976667959023
0.115                    0.2692136417101602
0.117                    0.2606718919212845
0.11900000000000001      0.2527137356436969
0.12100000000000001      0.24528393484659988
