% Model:              dipole_antenna_freespace.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 3 2021, 08:43
% Table:              Table 3 - Lumped Port Voltage (emw.Vport_1)
% freq (GHz)                                      Lumped port voltage (V)
0.029                                             0.07576030216243351
0.031000000000000003                              0.08250027334009179
0.033                                             0.08957392770008703
0.035                                             0.09700799640200944
0.037000000000000005                              0.10483306765928287
0.039                                             0.11291482557154861
0.041                                             0.12190666418042423
0.043000000000000003                              0.13129419084312297
0.045000000000000005                              0.14126935083229555
0.047                                             0.1521811237617966
0.049                                             0.1637143358110595
0.051000000000000004                              0.1763375468455454
0.053000000000000005                              0.18970922384998629
0.055                                             0.20431678233977651
0.057                                             0.22002397816528624
0.059000000000000004                              0.23695381019778858
0.061000000000000006                              0.2551612162100191
0.063                                             0.27465577999999113
0.065                                             0.2953749509978158
0.067                                             0.3171451642322221
0.069                                             0.3396331123491681
0.07100000000000001                               0.3615073452923682
0.07300000000000001                               0.3832760527970063
0.07500000000000001                               0.4035529482416629
0.077                                             0.42131324264426157
0.079                                             0.435476418016044
0.081                                             0.4451318054839271
0.083                                             0.4497369791541868
0.085                                             0.4492439266256103
0.08700000000000001                               0.44409559917600483
0.08900000000000001                               0.43509855227908256
0.09100000000000001                               0.4232338110763194
0.093                                             0.40947972455603215
0.095                                             0.3946919964354911
0.097                                             0.3800136400287003
0.099                                             0.36503711011653533
0.101                                             0.3504700618561815
0.10300000000000001                               0.33655166254166347
0.10500000000000001                               0.32340388483045945
0.10700000000000001                               0.31108011453312095
0.10900000000000001                               0.29958580856614697
0.111                                             0.28889480510135507
0.113                                             0.2789618724211152
0.115                                             0.2697318235982761
0.117                                             0.26114584498539184
0.11900000000000001                               0.25314568830986284
0.12100000000000001                               0.24567629859196496
