% Model:              dipole_antenna_freespace.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 3 2021, 09:21
% Table:              Table 3 - Lumped Port Voltage (emw.Vport_1)
% freq (GHz)             Lumped port voltage (V)
0.029                    0.07552843538841278
0.031000000000000003     0.0822419752672926
0.033                    0.08928224278166651
0.035                    0.09667902652091258
0.037000000000000005     0.10446269302249421
0.039                    0.11246412289213101
0.041                    0.12143348450862518
0.043000000000000003     0.13075981547059115
0.045000000000000005     0.14062701574785902
0.047                    0.1514990747816304
0.049                    0.16290003644944487
0.051000000000000004     0.17546775960704458
0.053000000000000005     0.18867216452967034
0.055                    0.20315001744905592
0.057                    0.21870920815223263
0.059000000000000004     0.23547528631199363
0.061000000000000006     0.2535045005164799
0.063                    0.2728097827790627
0.065                    0.2933348658697559
0.067                    0.3149169232663367
0.069                    0.33723902664906585
0.07100000000000001      0.358956379835493
0.07300000000000001      0.3806565880838597
0.07500000000000001      0.40095095373292994
0.077                    0.4188394155469397
0.079                    0.4332502381913286
0.081                    0.44326249732967155
0.083                    0.4483027480835546
0.085                    0.4482775732032674
0.08700000000000001      0.4435822157739944
0.08900000000000001      0.43498509525495715
0.09100000000000001      0.42344511841553856
0.093                    0.40993438063586096
0.095                    0.3953138641074693
0.097                    0.3807717098689243
0.099                    0.3658468749651411
0.101                    0.35129222866014115
0.10300000000000001      0.3373603944386433
0.10500000000000001      0.3241811403907546
0.10700000000000001      0.3118140524140725
0.10900000000000001      0.3002691544800724
0.111                    0.2895234293768894
0.113                    0.2795336843022979
0.115                    0.2702459713128028
0.117                    0.26160219198952506
0.11900000000000001      0.2535445185780485
0.12100000000000001      0.24601819127026914
