% Model:              dipole_antenna_freespace.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 4 2021, 09:13
% Table:              Table 3 - Lumped Port Voltage (emw.Vport_1)
% freq (GHz)             Lumped port voltage (V)
0.029                    0.07525691112992548
0.031000000000000003     0.08193404840673801
0.033                    0.08893474920245463
0.035                    0.09628711403471214
0.037000000000000005     0.1040205103110857
0.039                    0.11199700016195299
0.041                    0.12087498935677046
0.043000000000000003     0.13013136287122554
0.045000000000000005     0.13995526437527778
0.047                    0.15069990849442672
0.049                    0.16203932150755948
0.051000000000000004     0.17444649569067872
0.053000000000000005     0.1875719397370071
0.055                    0.20190250255040806
0.057                    0.21730065895371073
0.059000000000000004     0.23388753798330372
0.061000000000000006     0.25171934221347797
0.063                    0.27081112457019324
0.065                    0.29111221750426075
0.067                    0.312470187323946
0.069                    0.33458476060640296
0.07100000000000001      0.3569610471347022
0.07300000000000001      0.3778121893860126
0.07500000000000001      0.39815873507209765
0.077                    0.41617813507407486
0.079                    0.4308497553576853
0.081                    0.4412418898832893
0.083                    0.4467461300595959
0.085                    0.44721837411839893
0.08700000000000001      0.44300176696873655
0.08900000000000001      0.4348244286099547
0.09100000000000001      0.42362318906091817
0.093                    0.41036531387638886
0.095                    0.3959189515174728
0.097                    0.38147481533465843
0.099                    0.3666143974432997
0.101                    0.3520806215965318
0.10300000000000001      0.33813821919661236
0.10500000000000001      0.32492749024013856
0.10700000000000001      0.3125153285898285
0.10900000000000001      0.30091722706821006
0.111                    0.2901142362382709
0.113                    0.28006612339816656
0.115                    0.2707210277185232
0.117                    0.26202223687431236
0.11900000000000001      0.25391273716109286
0.12100000000000001      0.24633811633330238
