Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
51620000,-1.525496954,0.8389288938,-135.0335699,-855.0335699,11.41687629,
51724444,-1.51180482,0.840252395,-138.3109391,-858.3109391,11.51974951,
51828888,-1.499257991,0.8414670225,-141.479012,-861.479012,11.61567172,
51933333,-1.487685069,0.8425889251,-144.7222904,-864.7222904,11.70558632,
52037777,-1.478142299,0.8435151459,-147.9410087,-867.9410087,11.78078963,
52142222,-1.469163981,0.8443875105,-151.1656784,-871.1656784,11.85243882,
52246666,-1.46057726,0.8452226702,-154.4034255,-874.4034255,11.92178901,
52351111,-1.451486264,0.8461077768,-157.6622384,-877.6622384,11.99610831,
52455555,-1.441770654,0.847054721,-160.9587032,-880.9587032,12.07657231,
52560000,-1.434608061,0.8477535107,-164.1698999,-884.1698999,12.13659191,
52664444,-1.431188163,0.8480873627,-167.3524705,-887.3524705,12.16546164,
52768888,-1.426577152,0.8485376998,-170.5627657,-890.5627657,12.20460601,
52873333,-1.421925535,0.848992245,-173.7683917,-893.7683917,12.24435292,
52977777,-1.417171868,0.8494570139,-176.9994933,-896.9994933,12.28524199,
53082222,-1.4120292,0.8499601021,179.7677969,-900.2322031,12.32978779,
53186666,-1.406813907,0.8504705993,176.5364712,-903.4635288,12.37529603,
53291111,-1.401160956,0.8510242827,173.2620795,-906.7379205,12.42500668,
53395555,-1.398628769,0.851272417,170.0561158,-909.9438842,12.44740471,
53500000,-1.396849883,0.851446777,166.876514,-913.123486,12.4631882,
53604444,-1.394866693,0.8516412042,163.6777986,-916.3222014,12.48083199,
53708888,-1.390989982,0.8520213959,160.453175,-919.546825,12.5154674,
53813333,-1.388480065,0.8522676357,157.2141034,-922.7858966,12.53799494,
53917777,-1.3865617,0.8524558883,153.9976485,-926.0023515,12.55526817,
54022222,-1.386224696,0.8524889635,150.7595324,-929.2404676,12.55830755,
54126666,-1.38249488,0.8528551101,147.5285627,-932.4714373,12.59204524,
54231111,-1.380163765,0.8530840297,144.2720245,-935.7279755,12.61322391,
54335555,-1.378999198,0.8531984153,141.1017769,-938.8982231,12.62383113,
54440000,-1.378820767,0.8532159424,137.9099846,-942.0900154,12.62545792,
54544444,-1.377202382,0.8533749313,134.6864223,-945.3135777,12.64023231,
54648888,-1.377162711,0.8533788289,131.4555878,-948.5444122,12.64059491,
54753333,-1.373774706,0.8537117615,128.2427452,-951.7572548,12.67163909,
54857777,-1.374387682,0.8536515159,125.0543164,-954.9456836,12.66601104,
54962222,-1.376430967,0.853450725,121.8332033,-958.1667967,12.64728689,
55066666,-1.377559639,0.8533398321,118.5995943,-961.4004057,12.63696789,
55171111,-1.375159177,0.8535756966,115.3853919,-964.6146081,12.65893471,
55275555,-1.377846276,0.8533116721,112.1584199,-967.8415801,12.63434997,
55380000,-1.374136312,0.853676221,108.961452,-971.038548,12.6683184,
55484444,-1.379923744,0.8531076037,105.6822077,-974.3177923,12.61540863,
55588888,-1.37944877,0.8531542557,102.4722136,-977.5277864,12.61973416,
55693333,-1.377888427,0.8533075311,99.22639508,-980.7736049,12.63396509,
55797777,-1.380432792,0.8530576076,95.96906856,-984.0309314,12.61077609,
55902222,-1.37819405,0.853277507,92.70026506,-987.2997349,12.63117515,
56006666,-1.376993514,0.8533954525,89.42137136,-990.5786286,12.64214162,
56111111,-1.375786936,0.8535140079,86.15762035,-993.8423797,12.65318261,
56215555,-1.376310052,0.8534626058,82.88731982,-997.1126802,12.64839338,
56320000,-1.377024761,0.8533923824,79.61104474,-1000.388955,12.64185595,
56424444,-1.376774217,0.8534169988,76.35926035,-1003.64074,12.64414689,
56528888,-1.378325362,0.8532646074,73.12535794,-1006.874642,12.62997682,
56633333,-1.379426746,0.853156419,69.87450205,-1010.125498,12.61993481,
56737777,-1.379224811,0.853176254,66.62761757,-1013.372382,12.62177478,
