Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
144993333,-6.713868145,0.4616433594,72.46044931,-5687.539551,2.715009436,
145097777,-5.90840667,0.5065002528,56.23008469,-5703.769915,3.05268698,
145202222,-5.223389577,0.5480630474,42.18828437,-5717.811716,3.425396039,
145306666,-4.656144341,0.5850497296,29.87826055,-5730.121739,3.819854673,
145411111,-4.193367054,0.6170660421,18.9546417,-5741.045358,4.222832707,
145515555,-3.817753208,0.6443359153,9.106769649,-5750.89323,4.623283559,
145620000,-3.50988457,0.6675837727,0.1205586651,-5759.879441,5.016553453,
145724444,-3.257127934,0.6872956628,-8.136896053,-5768.136896,5.395817909,
145828888,-3.046408855,0.7041733053,-15.83246202,-5775.832462,5.760715093,
145933333,-2.867385852,0.7188374707,-23.04782314,-5783.047823,6.113323404,
146037777,-2.714046168,0.7316404221,-29.91083501,-5789.910835,6.452687233,
146142222,-2.57902837,0.743102259,-36.51350442,-5796.513504,6.785198857,
146246666,-2.453115103,0.75395295,-42.96522831,-5802.965228,7.128526639,
146351111,-2.332741844,0.7644743314,-49.504091,-5809.504091,7.491643446,
146455555,-2.236536441,0.7729887583,-56.80890225,-5816.808902,7.810136383,
146560000,-2.664681348,0.7358104182,-66.4584152,-5826.458415,6.57032123,
146664444,-3.450136352,0.6721917569,-65.14607718,-5825.146077,5.101127846,
146768888,-2.899087364,0.7162186602,-67.9572752,-5827.957275,6.047679743,
146873333,-2.654543963,0.7366696909,-72.9897339,-5832.989734,6.595023933,
146977777,-2.529990011,0.7473094937,-78.11132238,-5838.111322,6.914820501,
147082222,-2.454333778,0.753847174,-83.10427446,-5843.104274,7.125033674,
147186666,-2.399573487,0.7586148252,-88.01756728,-5848.017567,7.285512984,
147291111,-2.363594132,0.7617637348,-92.86210379,-5852.862104,7.395027509,
147395555,-2.335547179,0.7642274644,-97.63795465,-5857.637955,7.482752219,
147500000,-2.316854078,0.7658739467,-102.3641309,-5862.364131,7.542406845,
147604444,-2.303082538,0.7670892085,-107.0545818,-5867.054582,7.586978677,
147708888,-2.29617057,0.7676998778,-111.7131362,-5871.713136,7.609552079,
147813333,-2.291778415,0.7680881753,-116.355423,-5876.355423,7.623967333,
147917777,-2.291430768,0.7681189182,-121.0028926,-5881.002893,7.625110701,
148022222,-2.295669594,0.7677441578,-125.647776,-5885.647776,7.611193504,
148126666,-2.302829981,0.7671115133,-130.2879423,-5890.287942,7.587801089,
148231111,-2.313164619,0.766199332,-134.9525235,-5894.952523,7.554295492,
148335555,-2.329343699,0.7647734721,-139.6261877,-5899.626188,7.502442382,
148440000,-2.347861391,0.7631447669,-144.3362343,-5904.336234,7.443976405,
148544444,-2.37011695,0.7611918899,-149.0849062,-5909.084906,7.374924953,
148648888,-2.396982338,0.7588411668,-153.8827773,-5913.882777,7.293289419,
148753333,-2.42925029,0.7560273129,-158.7425113,-5918.742511,7.19763894,
148857777,-2.467482202,0.7527068874,-163.6545825,-5923.654582,7.087568549,
148962222,-2.510270609,0.7490080228,-168.6695944,-5928.669594,6.968382186,
149066666,-2.562246323,0.7445393981,-173.7618325,-5933.761832,6.82899588,
149171111,-2.621207592,0.7395024555,-178.9723673,-5938.972367,6.677615556,
149275555,-2.69109499,0.73357623,175.6785529,-5944.321447,6.506837698,
149380000,-2.771799323,0.7267918252,170.1935477,-5949.806452,6.320425173,
149484444,-2.868659538,0.7187320691,164.5393818,-5955.460618,6.110657777,
149588888,-2.983109613,0.7093237793,158.6693045,-5961.330695,5.880507787,
149693333,-3.121193696,0.6981364531,152.5546488,-5967.445351,5.62551017,
149797777,-3.287548918,0.6848927266,146.1496928,-5973.850307,5.347044859,
