Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay,
30000000,-0.7206361841,0.9203821574,-117.228064,-0.4211056844,-0.8183967975,-1.943447519,3.183080157e-08,
30088888,-0.7081680029,0.9217042708,-118.647843,-0.441887907,-0.8088719556,-1.830491269,3.183080157e-08,
30177777,-0.7009489256,0.9224706426,-119.5713907,-0.455246313,-0.8023109627,-1.762366745,3.183080157e-08,
30266666,-0.6919474292,0.9234271272,-120.4903568,-0.4685407733,-0.7957306096,-1.698316678,2.845007247e-08,
30355555,-0.6869495835,0.9239586185,-121.3997417,-0.4813877841,-0.7886477858,-1.638279599,2.845539875e-08,
30444444,-0.6793438978,0.9247680251,-122.2856848,-0.4939566535,-0.781794554,-1.582718946,2.846426481e-08,
30533333,-0.6749537801,0.9252355496,-123.2265962,-0.5069842842,-0.7739688353,-1.526613072,2.861862333e-08,
30622222,-0.6690536034,0.9258642599,-124.1312176,-0.5194932518,-0.7663885366,-1.475261775,3.920482585e-08,
30711111,-0.6639382409,0.9264096877,-125.0559608,-0.532107702,-0.7583510421,-1.425183359,3.41155461e-08,
30800000,-0.8480406295,0.906980539,-127.6437825,-0.5539387391,-0.7181682055,-1.296475864,2.914613211e-08,
30888888,-0.6545547382,0.9274110434,-126.9288079,-0.5572091671,-0.7413563162,-1.330481191,2.32179254e-08,
30977777,-0.6475571814,0.9281584886,-127.858181,-0.5696193111,-0.7328110401,-1.28649262,1.869969375e-08,
31066666,-0.7308700073,0.9192983902,-128.6635924,-0.5743285619,-0.7178135087,-1.24983077,2.972531724e-08,
31155555,-0.6403896375,0.9289247155,-129.768345,-0.5942193347,-0.7140059589,-1.201586548,3.046002386e-08,
31244444,-0.6349624535,0.9295053147,-130.7297826,-0.6064951514,-0.7043747308,-1.161385593,3.09375218e-08,
31333333,-0.6295594283,0.9300836899,-131.6986958,-0.6187040958,-0.6944500789,-1.122426833,2.996391254e-08,
31422222,-0.6286422942,0.9301819017,-132.6484267,-0.6301962676,-0.6841717873,-1.085648745,2.779086511e-08,
31511111,-0.623989965,0.9306802584,-133.603255,-0.6418535825,-0.6739359925,-1.049984001,2.900844883e-08,
31600000,-0.6634652008,0.9264601421,-134.224047,-0.6461743833,-0.6639179627,-1.027459429,3.039127616e-08,
31688888,-0.6197408982,0.931135651,-135.5522433,-0.664727735,-0.652035765,-0.9809065136,3.190797309e-08,
31777777,-0.6173125071,0.9313960132,-136.5365428,-0.6760195683,-0.6406996775,-0.9477531532,3.314720355e-08,
31866666,-0.617965454,0.9313259998,-137.5522317,-0.687218851,-0.6285685076,-0.9146555085,3.103338067e-08,
31955555,-0.6155021361,0.9315901612,-138.527612,-0.6980171844,-0.6169540005,-0.8838664925,3.107333222e-08,
32044444,-0.6134825125,0.9318067977,-139.5220558,-0.7087843495,-0.6048873069,-0.853415157,3.0936023e-08,
32133333,-0.6109483518,0.9320786976,-140.5233702,-0.7194566023,-0.5925815521,-0.823651559,3.105895217e-08,
32222222,-0.6112779648,0.9320433277,-141.5041225,-0.7294664558,-0.5801581289,-0.7953184473,3.150346337e-08,
32311111,-0.608516849,0.9323396575,-142.5060172,-0.7397343841,-0.5674947383,-0.7671601463,3.145735097e-08,
32400000,-0.5912897043,0.9341906468,-143.5712927,-0.7516464049,-0.5547430455,-0.7380372498,3.138443422e-08,
32488888,-0.6100332119,0.932176906,-144.5229675,-0.7591166158,-0.5410136298,-0.7126884309,3.130073479e-08,
32577777,-0.6089577979,0.9322923275,-145.5171631,-0.7684846688,-0.5278260108,-0.6868400011,3.1134935e-08,
32666666,-0.6091100201,0.932275989,-146.5411495,-0.7777810813,-0.5139991335,-0.660853222,3.144703352e-08,
32755555,-0.6098083742,0.9322010361,-147.5437975,-0.7865930215,-0.5002701173,-0.6359961296,3.145698148e-08,
32844444,-0.6110318479,0.9320697377,-148.5411819,-0.795069929,-0.4864337612,-0.6118125506,3.144195606e-08,
32933333,-0.6124056113,0.9319223329,-149.5502702,-0.8033861374,-0.4722816414,-0.5878638171,3.15678781e-08,
33022222,-0.6152482203,0.9316173949,-150.5686324,-0.8113874437,-0.4577787531,-0.5641925527,3.160616492e-08,
33111111,-0.6148088512,0.9316645213,-151.5809391,-0.8193899054,-0.4433948164,-0.5411279947,3.186789563e-08,
33200000,-0.6158772842,0.9315499262,-152.5828402,-0.8269159262,-0.428946752,-0.5187307904,3.203002799e-08,
33288888,-0.617833125,0.9313401886,-153.642036,-0.8345159514,-0.4134944663,-0.4954901888,3.21965513e-08,
33377777,-0.6183409577,0.9312857381,-154.6628948,-0.8417012653,-0.3985374585,-0.4734903878,3.223685611e-08,
33466666,-0.6197678289,0.931132764,-155.6923085,-0.8485860062,-0.3832884218,-0.4516789329,3.209351787e-08,
33555555,-0.6214456716,0.9309529156,-156.7156074,-0.855130612,-0.3680013146,-0.4303451537,3.212708204e-08,
33644444,-0.6220535928,0.9308877609,-157.750649,-0.8615783201,-0.3524696041,-0.4090975781,3.21338967e-08,
33733333,-0.6252007548,0.9305505331,-158.7740641,-0.8674219946,-0.3369026237,-0.3883952976,3.220504818e-08,
33822222,-0.627539804,0.9302999761,-159.80451,-0.8731053195,-0.3211621812,-0.3678389927,3.223023974e-08,
33911111,-0.6277875062,0.9302734464,-160.841491,-0.8787495754,-0.3052996378,-0.3474250758,3.227707434e-08,
34000000,-0.6314749582,0.9298785979,-161.8737804,-0.8837319411,-0.2892958056,-0.3273569644,3.246368315e-08,
34088888,-0.6316293644,0.9298620679,-162.9037673,-0.8887736449,-0.273358507,-0.3075681964,3.264112659e-08,
34177777,-0.6324828552,0.9297707025,-163.9675677,-0.8936077519,-0.2567854064,-0.2873580784,3.307871921e-08,
34266666,-0.6336811177,0.9296424448,-165.0171254,-0.8980375233,-0.2403407618,-0.2676288635,3.190995006e-08,
34355555,-0.6225314443,0.9308365499,-166.109703,-0.9036162363,-0.2234600187,-0.2472952673,3.199136101e-08,
34444444,-0.5551864843,0.9380817257,-166.938298,-0.9138109713,-0.2120066813,-0.2320027751,3.255205072e-08,
34533333,-0.6508462643,0.9278070897,-168.1256055,-0.9079529831,-0.1909119593,-0.2102663496,3.326963854e-08,
34622222,-0.6404523493,0.9289180087,-169.2175088,-0.9125174652,-0.1737830334,-0.1904435148,3.407613899e-08,
34711111,-0.6457516574,0.9283514437,-170.2932464,-0.915060795,-0.1565252197,-0.1710544485,3.28999179e-08,
34800000,-0.6514083851,0.9277470472,-171.3066666,-0.9170886067,-0.1402250728,-0.152902426,3.252702668e-08,
34888888,-0.6506901746,0.927823763,-172.34502,-0.9195551583,-0.1235930663,-0.1344052776,3.231088301e-08,
34977777,-0.6560995694,0.9272461132,-173.3959527,-0.9210935053,-0.1066400904,-0.1157755318,3.233594995e-08,
35066666,-0.6579931001,0.9270439948,-174.418293,-0.9226484202,-0.09016906951,-0.09772852534,3.231777262e-08,
35155555,-0.6615866536,0.9266605346,-175.4437886,-0.923732176,-0.0736112321,-0.07968893367,3.274564894e-08,
35244444,-0.6638646997,0.9264175314,-176.4919522,-0.9246816229,-0.05668631937,-0.06130360761,3.293707425e-08,
35333333,-0.6648777041,0.926309493,-177.5984335,-0.9254959013,-0.03881511888,-0.04193980635,3.287444645e-08,
35422222,-0.6697575938,0.9257892217,-178.610909,-0.925517154,-0.02244283118,-0.02424896296,3.249700542e-08,
35511111,-0.6759646602,0.9251278753,-179.6442282,-0.9251100405,-0.00574444171,-0.006209468559,3.199757604e-08,
