Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay,
30000000,-0.7554595388,0.9166995603,-114.1216522,-0.3746325531,-0.8366531743,-2.233263414,3.361445208e-08,
30088888,-0.7717314364,0.9149838492,-115.9730009,-0.4007149498,-0.8225709533,-2.052758335,3.361445208e-08,
30177777,-0.7622057595,0.9159878478,-116.8734047,-0.4140454771,-0.8170679777,-1.973377377,3.361445208e-08,
30266666,-0.75229109,0.9170340161,-117.7339763,-0.4267573696,-0.8116831488,-1.901978048,2.739801238e-08,
30355555,-0.7468003443,0.9176138982,-118.6194836,-0.4395282394,-0.8054999646,-1.832646671,2.754550249e-08,
30444444,-0.7390618891,0.9184317854,-119.483649,-0.4520293095,-0.7994913682,-1.768671525,2.760505133e-08,
30533333,-0.7371324741,0.9186358213,-120.4058543,-0.4649416979,-0.7922884511,-1.704059788,2.766027232e-08,
30622222,-0.7257218799,0.91984342,-121.2576047,-0.477294538,-0.7863217161,-1.647455928,4.435769883e-08,
30711111,-0.7198383071,0.9204667066,-122.1581548,-0.4899258865,-0.7792506553,-1.590548033,3.627822434e-08,
30800000,-0.7356029358,0.9187976024,-125.7047394,-0.536217983,-0.7460960453,-1.391404371,2.847069219e-08,
30888888,-0.7080034947,0.9217217278,-123.9868101,-0.5152443241,-0.7642605773,-1.483297422,2.076307378e-08,
30977777,-0.6990907558,0.9226680076,-124.8985935,-0.5278821167,-0.7567408559,-1.433541376,1.251086292e-08,
31066666,-0.7522375211,0.9170396717,-125.8832863,-0.5375099978,-0.7429971479,-1.382294564,2.888728339e-08,
31155555,-0.6918095504,0.9234417857,-126.7582418,-0.5526243656,-0.7398317661,-1.33876067,2.910262652e-08,
31244444,-0.6845352747,0.9242154755,-127.678957,-0.5649141465,-0.7314685586,-1.294831371,2.887661398e-08,
31333333,-0.6784520291,0.9248629853,-128.6571842,-0.5777242507,-0.7222231177,-1.250117365,2.926392506e-08,
31422222,-0.6750832222,0.9252217614,-129.5540791,-0.5891869926,-0.7133680645,-1.210766825,3.087660226e-08,
31511111,-0.6677081314,0.9260076903,-130.5029146,-0.6014297058,-0.7041111784,-1.170728967,3.029038887e-08,
