Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay,
30000000,-0.7020772263,0.922350821,-118.1815931,-0.4355964203,-0.8130109444,-1.866431648,2.75845647e-08,
30088888,-0.7151859118,0.9209598653,-118.8867902,-0.4448977779,-0.8063702876,-1.812484413,2.75845647e-08,
30177777,-0.7085571169,0.9216629809,-119.8109643,-0.458195544,-0.7996996272,-1.745323886,2.75845647e-08,
30266666,-0.7000070982,0.9225706732,-120.7465736,-0.4716565916,-0.7928913587,-1.681077658,2.881696903e-08,
30355555,-0.6935717416,0.9232544571,-121.6652373,-0.4846673638,-0.7858093528,-1.621337461,2.88273607e-08,
30444444,-0.6837982385,0.9242939026,-122.5703745,-0.4975798621,-0.7789309977,-1.565439152,2.884045856e-08,
30533333,-0.6840525129,0.9242668448,-123.5114474,-0.5102910337,-0.7706310799,-1.510179543,2.895572203e-08,
30622222,-0.6735409763,0.9253860561,-124.4379477,-0.5233181806,-0.763202093,-1.458390175,3.236845776e-08,
30711111,-0.6697312173,0.9257920331,-125.364372,-0.5358245364,-0.754972155,-1.408991384,3.079668603e-08,
30800000,-0.7669774655,0.9154847762,-126.8228719,-0.5486895707,-0.7328384068,-1.335615703,2.938828922e-08,
30888888,-0.6608207708,0.926742247,-127.2464612,-0.560905947,-0.7377233295,-1.31523535,2.985483221e-08,
30977777,-0.6520620977,0.9276772262,-128.1990353,-0.5736711099,-0.7290312021,-1.270817354,2.751161982e-08,
31066666,-0.6364334182,0.9293479153,-129.4530157,-0.5905497187,-0.7175922083,-1.215125815,3.012363249e-08,
31155555,-0.6452209286,0.9284081699,-130.1214593,-0.5982755788,-0.7099352519,-1.186635853,2.956485276e-08,
31244444,-0.6391519426,0.929057092,-131.1050364,-0.610800672,-0.7000497263,-1.146118134,2.863933617e-08,
31333333,-0.6311976512,0.9299082858,-132.1034073,-0.6234762983,-0.6899324065,-1.10658963,3.030298676e-08,
31422222,-0.6294890198,0.9300912293,-133.0443412,-0.63484693,-0.6797345587,-1.070706223,2.888034634e-08,
31511111,-0.6260202906,0.9304627374,-134.0002909,-0.6463571268,-0.6693155985,-1.035519793,2.960836004e-08,
31600000,-0.6635815959,0.9264477272,-134.7774558,-0.6525480519,-0.6576370056,-1.007798589,3.057372732e-08,
31688888,-0.6219969964,0.9308938265,-135.9741935,-0.6693376538,-0.6469547291,-0.9665595913,3.152897655e-08,
31777777,-0.6189192507,0.9312237366,-136.9491924,-0.6804904838,-0.635696743,-0.9341743318,3.225541581e-08,
31866666,-0.618605568,0.9312573674,-137.9590084,-0.6916131033,-0.6236277734,-0.9017003443,3.107413008e-08,
31955555,-0.6168197539,0.9314488531,-138.9459213,-0.7023962866,-0.6117486597,-0.8709451792,3.132753634e-08,
32044444,-0.6165924459,0.9314732293,-139.9476961,-0.7130030193,-0.5993905833,-0.8406564446,3.122812629e-08,
32133333,-0.6137472111,0.9317784017,-140.9672606,-0.7237926361,-0.5868008264,-0.8107305839,3.132529294e-08,
32222222,-0.6112545442,0.9320458408,-141.9448452,-0.7339094227,-0.5745314689,-0.7828370248,3.121304184e-08,
32311111,-0.6087962851,0.9323096635,-142.9593999,-0.7441778341,-0.5616054308,-0.7546656257,3.124028614e-08,
32400000,-0.6051524586,0.9327008597,-143.9457194,-0.7540511298,-0.5489424263,-0.727990987,3.162007471e-08,
32488888,-0.609754749,0.9322067914,-144.9652756,-0.7632949055,-0.535154547,-0.7011111212,3.175409667e-08,
32577777,-0.6094963375,0.9322345256,-146.0011257,-0.7728676897,-0.5212837471,-0.6744799323,3.188438384e-08,
32666666,-0.6096854563,0.9322142282,-147.0123014,-0.781929626,-0.5075523887,-0.6491023895,3.185514478e-08,
32755555,-0.6112369421,0.9320477296,-148.0237142,-0.7906256599,-0.4935828565,-0.6242940011,3.175524831e-08,
32844444,-0.6109979857,0.9320733714,-149.0508108,-0.7993682206,-0.4793445709,-0.5996542752,3.184765718e-08,
32933333,-0.6128461309,0.9318750701,-150.0627171,-0.8075370243,-0.4650538684,-0.5758916984,3.187218514e-08,
33022222,-0.6160506388,0.9315313344,-151.0884315,-0.815431725,-0.4503573346,-0.5522931238,3.19067784e-08,
33111111,-0.6160070291,0.9315360114,-152.1044598,-0.8232934371,-0.4358293897,-0.5293730888,3.201007814e-08,
33200000,-0.6156571612,0.9315735344,-153.1350303,-0.8310325097,-0.420968191,-0.5065604367,3.210970335e-08,
33288888,-0.617931592,0.9313296306,-154.1610365,-0.8382177048,-0.4059137348,-0.4842581258,3.230657797e-08,
33377777,-0.6181600362,0.9313051363,-155.1977021,-0.8454021611,-0.3906717842,-0.4621135386,3.235149254e-08,
33466666,-0.6200192901,0.9311058076,-156.2421247,-0.8522002825,-0.3751169198,-0.4401746016,3.243536055e-08,
33555555,-0.6201938573,0.9310870946,-157.2707315,-0.8587796495,-0.3597508741,-0.4189094075,3.237176748e-08,
33644444,-0.6214301313,0.9309545812,-158.314186,-0.8650654233,-0.344003264,-0.397661558,3.233070696e-08,
33733333,-0.62536602,0.9305328278,-159.3411608,-0.8706974477,-0.3282945297,-0.3770477685,3.248837802e-08,
33822222,-0.626909233,0.9303675157,-160.3798297,-0.8763497289,-0.3124017715,-0.3564807076,3.242964177e-08,
33911111,-0.6266416664,0.9303961759,-161.4360567,-0.8819866821,-0.2962035393,-0.3358367483,3.235198805e-08,
34000000,-0.6304015271,0.9299935225,-162.4554872,-0.8867330569,-0.280343428,-0.3161531261,3.235144878e-08,
34088888,-0.6318507284,0.9298383702,-163.4796565,-0.8914535561,-0.2644049016,-0.2965997497,3.248906098e-08,
34177777,-0.6347573082,0.9295272683,-164.534268,-0.8958691913,-0.2478695916,-0.2766805623,3.2943019e-08,
34266666,-0.6376714924,0.9292154569,-165.5948641,-0.9000017266,-0.2311671635,-0.2568519111,3.169134965e-08,
34355555,-0.6319999493,0.929822396,-166.6687731,-0.9047667959,-0.2143985383,-0.2369655245,3.217414144e-08,
