Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay,
30000000,-0.823835668,0.9095115458,-116.3967436,-0.4043545269,-0.8146831706,-2.014774453,3.2821134e-08,
30088888,-0.7625407694,0.9159525193,-118.1398684,-0.4319866394,-0.8076859297,-1.869701181,3.2821134e-08,
30177777,-0.7566315269,0.9165758783,-119.0140649,-0.4445615789,-0.8015462203,-1.80300381,3.2821134e-08,
30266666,-0.7497952142,0.9172975621,-119.9008419,-0.4572732736,-0.795195555,-1.738994166,2.722354382e-08,
30355555,-0.7451508585,0.9177881734,-120.7676448,-0.4695016294,-0.7886084904,-1.679671467,2.725544236e-08,
30444444,-0.7377905543,0.9185662241,-121.6188509,-0.4815731355,-0.7822091941,-1.624279131,2.725791767e-08,
30533333,-0.736399434,0.9187133522,-122.5159366,-0.493839823,-0.7746976525,-1.568722522,2.753256145e-08,
30622222,-0.7269488632,0.9197134905,-123.3879683,-0.506123315,-0.7679271415,-1.517272805,1.726346577e-08,
30711111,-0.7223508238,0.9202004871,-124.2883014,-0.5184017219,-0.7602819156,-1.46658833,2.256064555e-08,
30800000,-0.09384285649,0.9892540961,-123.4948264,-0.5459314342,-0.8249742637,-1.51113164,2.816017015e-08,
30888888,-0.7110210004,0.9214015744,-126.0722154,-0.5425253626,-0.7447463274,-1.372740113,3.411466994e-08,
30977777,-0.7026151985,0.9222936958,-127.0016442,-0.5550713387,-0.7365605679,-1.326965592,3.937989069e-08,
31066666,-0.7701293857,0.915152627,-127.9931851,-0.5633384377,-0.7212171208,-1.280255478,2.883237667e-08,
31155555,-0.6929381509,0.9233218062,-128.8351319,-0.5789980774,-0.7192248495,-1.242188666,2.873955298e-08,
31244444,-0.6862491945,0.9240331251,-129.7686575,-0.5910941306,-0.7102428776,-1.20157322,2.861896682e-08,
31333333,-0.6835137484,0.9243241766,-130.7122422,-0.6029000362,-0.7006330921,-1.16210491,2.921026658e-08,
31422222,-0.676026253,0.9251213151,-131.6336704,-0.6146187301,-0.6914428857,-1.124994817,2.216033274e-08,
31511111,-0.669733689,0.9257917696,-132.576274,-0.6263639522,-0.6817320589,-1.088396062,2.594974896e-08,
31600000,-0.7927883363,0.9127683722,-132.3822993,-0.6152736289,-0.6742287912,-1.09581942,2.981923508e-08,
31688888,-0.6628814029,0.9265224136,-134.4898928,-0.649291558,-0.6609570755,-1.017966532,3.367094868e-08,
31777777,-0.6585255636,0.9269871668,-135.4479446,-0.6605834321,-0.6503343269,-0.984484768,3.740549512e-08,
31866666,-0.657283856,0.9271196955,-136.4307493,-0.6717370279,-0.6389994484,-0.9512642923,3.028324035e-08,
31955555,-0.6522288193,0.92765942,-137.3967578,-0.682811864,-0.6279490091,-0.9196515793,3.04735369e-08,
32044444,-0.6503496082,0.9278601429,-138.3608107,-0.693430527,-0.6165051087,-0.8890654286,3.047118923e-08,
32133333,-0.6447906031,0.9284541673,-139.3586858,-0.7045127468,-0.6047221927,-0.8583552186,3.066756385e-08,
32222222,-0.6425902922,0.9286893932,-140.3251816,-0.7147938567,-0.592902801,-0.8294738342,3.151199397e-08,
32311111,-0.6390700614,0.9290658502,-141.3213887,-0.725288038,-0.5806208883,-0.8005383487,3.121224125e-08,
32400000,-0.6225933984,0.9308299105,-142.4213846,-0.7376988205,-0.5676660748,-0.7695092618,3.103597574e-08,
32488888,-0.6366176286,0.9293282059,-143.3045492,-0.7451568155,-0.5553307435,-0.7452535251,3.084106146e-08,
32577777,-0.634282164,0.9295781176,-144.2993637,-0.7548890518,-0.5424555245,-0.7185897361,3.054046293e-08,
32666666,-0.6305841787,0.9299739663,-145.3169197,-0.7647288596,-0.5291893321,-0.6919960264,3.123307384e-08,
32755555,-0.6310065232,0.9299287481,-146.3016796,-0.77367318,-0.5159431046,-0.666874745,3.124845553e-08,
32844444,-0.6303414076,0.9299999595,-147.3006893,-0.7826110373,-0.5024140611,-0.6419716017,3.128104085e-08,
32933333,-0.6309455626,0.9299352747,-148.307238,-0.7912609867,-0.4885546705,-0.6174380877,3.145155285e-08,
33022222,-0.6322221244,0.9297986125,-149.3191132,-0.7996477599,-0.4744353695,-0.5933054443,3.163566637e-08,
33111111,-0.6302290985,0.9300119845,-150.3247223,-0.8080364646,-0.4604338857,-0.5698182023,3.172339141e-08,
33200000,-0.6313004295,0.9298972824,-151.3536601,-0.8160736982,-0.4457944313,-0.5462673681,3.19152068e-08,
33288888,-0.6319242207,0.9298305028,-152.3657136,-0.8237611844,-0.4312798105,-0.5235495658,3.198579064e-08,
33377777,-0.6309504904,0.9299347471,-153.4050571,-0.8315418424,-0.4163133414,-0.5006523065,3.190973745e-08,
33466666,-0.630675673,0.9299641703,-154.4166991,-0.8387890153,-0.4015798126,-0.4787614111,3.195355106e-08,
33555555,-0.6297712427,0.9300610091,-155.4337316,-0.8458728424,-0.3866686116,-0.4571238042,3.195723015e-08,
33644444,-0.6303678,0.9299971336,-156.4639508,-0.8526297508,-0.3713720191,-0.4355607094,3.212260715e-08,
33733333,-0.6310660936,0.9299223704,-157.4945945,-0.8591026671,-0.3559469377,-0.414324098,3.227900633e-08,
33822222,-0.6316467486,0.9298602068,-158.5258913,-0.8653121852,-0.3404039166,-0.3933885624,3.243737396e-08,
33911111,-0.6328510643,0.9297312888,-159.5674089,-0.8712359081,-0.3245739697,-0.372544298,3.288195916e-08,
34000000,-0.6366358895,0.9293262521,-160.61753,-0.8766559808,-0.3084178565,-0.3518117292,3.332623542e-08,
34088888,-0.6320483169,0.9298172183,-161.7098952,-0.8828425652,-0.2918031264,-0.3305267982,3.327716398e-08,
34177777,-0.6301904218,0.9300161257,-162.7868525,-0.8883611513,-0.2752171122,-0.3098031828,3.272270771e-08,
34266666,-0.630729885,0.929958366,-163.8070406,-0.8930650218,-0.2593403736,-0.2903936078,3.146244467e-08,
34355555,-0.6271434415,0.9303424294,-164.804597,-0.8978153579,-0.2438536836,-0.2716078328,3.104123899e-08,
34444444,-0.6005510966,0.9331950902,-165.7350204,-0.9044214392,-0.2299455081,-0.2542459722,3.171839095e-08,
34533333,-0.6527949231,0.9275989617,-166.7894671,-0.9030518247,-0.2119840456,-0.2347418385,3.261745866e-08,
34622222,-0.6413335368,0.9288237744,-167.8895545,-0.9081528061,-0.1948642721,-0.2145721192,3.330487172e-08,
34711111,-0.6451790604,0.9284126451,-168.9461299,-0.9111881292,-0.1780062719,-0.1953562236,3.312827e-08,
34800000,-0.6468271157,0.9282365054,-169.9854751,-0.9140936157,-0.1614183124,-0.1765883818,3.290589848e-08,
34888888,-0.6457301871,0.9283537385,-171.0420366,-0.917030466,-0.1445537554,-0.157632446,3.302959631e-08,
34977777,-0.6473667867,0.9281788341,-172.1065515,-0.9193845,-0.1274679927,-0.1386449225,3.308217229e-08,
35066666,-0.650758236,0.9278164927,-173.1702742,-0.9212326559,-0.1103351163,-0.1197690025,3.307497218e-08,
35155555,-0.6518878994,0.9276958312,-174.2145104,-0.9229703991,-0.09351576176,-0.1013204344,3.347977047e-08,
35244444,-0.6534581105,0.9275281401,-175.2800593,-0.9243827153,-0.0763219915,-0.08256535982,3.394149957e-08,
35333333,-0.6550618472,0.9273568999,-176.4084289,-0.9255355291,-0.05809306437,-0.06276697386,3.421612796e-08,
35422222,-0.6537220028,0.9274999606,-177.5039617,-0.9266199814,-0.04039290892,-0.04359166619,3.413188666e-08,
35511111,-0.6554956848,0.927310582,-178.5771465,-0.9270246597,-0.02302597995,-0.02483858408,3.244415884e-08,
35600000,-0.6459775388,0.9283273017,-179.6568091,-0.9283106486,-0.005560471192,-0.005989881943,3.103758816e-08,
35688888,-0.6662245333,0.9261658711,179.4769229,-0.9261272751,0.008455237785,-0.009129671496,3.020884253e-08,
35777777,-0.6714548617,0.9256083354,178.5029833,-0.9252924128,0.02418142379,-0.0261338183,3.018138402e-08,
35866666,-0.6744902779,0.925284924,177.5095908,-0.9244110008,0.04020562398,-0.04349323401,3.124916741e-08,
35955555,-0.6781894204,0.924890948,176.4978294,-0.9231637002,0.05649821463,-0.0612006458,3.143506794e-08,
36044444,-0.6811727966,0.9245733267,175.4796268,-0.9216973232,0.07286892878,-0.0790594992,3.148170905e-08,
36133333,-0.6863961654,0.92401749,174.4883481,-0.9197454672,0.08875019644,-0.09649430153,3.146858951e-08,
36222222,-0.6892716084,0.9237116469,173.4772517,-0.9177323062,0.1049315049,-0.1143378131,3.142017312e-08,
36311111,-0.6922171311,0.9233984547,172.4640363,-0.9154228193,0.1211023046,-0.1322911141,3.154387964e-08,
36400000,-0.6977631796,0.9228090415,171.4645487,-0.9125882099,0.1369645441,-0.1500836222,3.144542803e-08,
36488888,-0.6999515204,0.9225765764,170.4476726,-0.909784549,0.1531000123,-0.168281614,3.130127629e-08,
36577777,-0.7028341974,0.9222704421,169.4541588,-0.9066921783,0.1687959186,-0.1861667307,3.130011568e-08,
36666666,-0.7075007057,0.9217750839,168.4610771,-0.9031451259,0.1843859724,-0.2041598488,3.123719744e-08,
36755555,-0.7107789324,0.9214272534,167.4498216,-0.899410744,0.2002211197,-0.2226136623,3.107782437e-08,
36844444,-0.7139536892,0.9210905264,166.4518833,-0.8954598299,0.2157763912,-0.2409671366,3.096164864e-08,
36933333,-0.7186469827,0.9205929631,165.4862976,-0.8912147554,0.2307112121,-0.2588727473,3.092063982e-08,
37022222,-0.7217020267,0.9202692245,164.4889692,-0.8867520857,0.2461019789,-0.2775318861,3.903559745e-08,
37111111,-0.7261285916,0.9198003498,163.4839701,-0.8818496057,0.261484142,-0.2965178419,3.591264102e-08,
37200000,-0.4292953908,0.9517770542,161.2073437,-0.90103835,0.3066096096,-0.3402847499,3.198745804e-08,
37288888,-0.7307958878,0.9193062349,161.3810806,-0.8711925378,0.2935089703,-0.3369048259,2.707822997e-08,
37377777,-0.7362168133,0.9187326684,160.4224143,-0.865619456,0.3078517068,-0.3556432386,2.394112299e-08,
37466666,-0.7401418838,0.9183175957,159.5439614,-0.8604090551,0.3209415282,-0.3730104027,3.209390752e-08,
37555555,-0.7406590083,0.9182629242,158.2953188,-0.8531602494,0.3395944447,-0.398042976,3.165258646e-08,
37644444,-0.7440119218,0.9179085262,157.3095967,-0.8468648971,0.3540846065,-0.4181122723,3.096065257e-08,
37733333,-0.7488451754,0.9173978991,156.4751764,-0.8411504176,0.3661760235,-0.4353276368,2.96981996e-08,
37822222,-0.7529879657,0.9169604447,155.500322,-0.8344006284,0.3802526114,-0.4557194691,3.101932226e-08,
37911111,-0.7547463222,0.9167748356,154.4482383,-0.8271105778,0.3954291228,-0.4780849542,3.314310989e-08,
38000000,-0.7550746393,0.9167401831,153.359968,-0.8194201214,0.4110513691,-0.5016368996,3.360479954e-08,
38088888,-0.7535160737,0.9169046945,152.2424492,-0.8113930495,0.4270310738,-0.5262937292,3.249909946e-08,
38177777,-0.7574326926,0.9164913394,151.2264419,-0.8033311594,0.4411523814,-0.5491538281,3.061326173e-08,
38266666,-0.7609205732,0.9161233897,150.3151975,-0.7958940148,0.4536901832,-0.5700384408,2.86387172e-08,
38355555,-0.7647286757,0.9157218273,149.4254659,-0.7884073662,0.4657899632,-0.5907985937,2.780442103e-08,
38444444,-0.7691082475,0.9152602213,148.5607367,-0.780894129,0.4773946291,-0.6113436013,2.782526551e-08,
38533333,-0.7729458231,0.9148559329,147.6549593,-0.7729082709,0.4894631577,-0.6332745762,2.854165132e-08,
38622222,-0.7773419892,0.9143930165,146.7484027,-0.7646802434,0.5013768182,-0.6556685916,2.935758154e-08,
38711111,-0.7784976608,0.9142713631,145.764963,-0.7558616889,0.5143590503,-0.6804936113,2.974961527e-08,
38800000,-0.7845489132,0.9136346338,144.808516,-0.7466501485,0.526537558,-0.7051998303,2.988485746e-08,
