Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Real,S11_Imaginary,S11_Quality Factor,S11_Group delay
38355555,-0.781191716,0.913987832480106,147.6753912,-0.7723491931,0.4887233183,-0.6327750747,3.127086778E-08
38444444,-0.7853042415,0.913555187267938,146.6850833,-0.7634255448,0.5017614151,-0.6572499683,3.162251267E-08
38533333,-0.7878546131,0.91328698639514,145.6663728,-0.754162635,0.5151037173,-0.6830141052,3.197565974E-08
38622222,-0.7921058278,0.912840097333056,144.6404077,-0.7444540796,0.5282661892,-0.7096021146,3.205131076E-08
38711111,-0.7976666495,0.912255872035056,143.581617,-0.7340953667,0.5415854213,-0.7377589423,3.253375254E-08
38800000,-0.8193006883,0.909986533822517,142.599245,-0.7228993242,0.5527133605,-0.76457861,3.278225425E-08
38888888,-0.8021920202,0.911780708185807,141.4815472,-0.7133841815,0.5678266192,-0.7959618869,3.297301688E-08
38977777,-0.8058494806,0.911396855758386,140.4452753,-0.7027021933,0.5803911234,-0.8259418128,3.313381866E-08
39066666,-0.8114110811,0.9108134724811,139.3829719,-0.6913783475,0.5929394254,-0.8576193159,3.235531358E-08
39155555,-0.8169023798,0.910237829873787,138.3471151,-0.6801160142,0.6049587706,-0.8894934951,3.203529333E-08
39244444,-0.8215956123,0.909746135410499,137.3537707,-0.6691644141,0.6163254155,-0.9210373452,3.177180355E-08
39333333,-0.8268946629,0.909191290624214,136.3342226,-0.657690504,0.6277515463,-0.9544786531,3.177458472E-08
39422222,-0.8300686081,0.908859120141348,135.3059233,-0.6460826707,0.6392199019,-0.9893778783,3.220480949E-08
39511111,-0.8372566538,0.908107300957069,134.2870989,-0.6340896621,0.650068589,-1.025199791,3.222507897E-08
39600000,-0.8415671501,0.907656751595075,133.2245566,-0.6216173259,0.6613869358,-1.063977641,3.225987401E-08
39688888,-0.84649102,0.907142363612325,132.2188868,-0.6095676915,0.6718143325,-1.102116044,3.239242765E-08
39777777,-0.8541487593,0.90634295229968,131.178443,-0.5967419318,0.6821705168,-1.143158341,3.254794815E-08
39866666,-0.8542840174,0.90632883868826,130.1274191,-0.5841195217,0.6929908717,-1.186385399,3.265430301E-08
39955555,-0.8685052021,0.904846143807854,129.0626123,-0.5702062363,0.7025748302,-1.23214161,0.0000000322975189
40044444,-0.8731247816,0.904365030473289,128.0521072,-0.5574305919,0.7121427129,-1.277545085,3.198361808E-08
40133333,-0.8814103608,0.903502756646334,127.0484895,-0.5443520024,0.7211089576,-1.324710765,3.161848338E-08
40222222,-0.888729415,0.902741752234144,126.0170952,-0.5308361731,0.7301750671,-1.375518671,3.111567743E-08
40311111,-0.895755805,0.902011780865964,125.0211546,-0.5176454765,0.738693721,-1.427026323,3.040848316E-08
40400000,-0.9049710201,0.90105530719487,124.08726,-0.505000824,0.7462404668,-1.477701484,2.981149602E-08
40488888,-0.9127395902,0.900249772906701,123.1480437,-0.4922603688,0.753743579,-1.531188832,2.942449368E-08
40577777,-0.9212368409,0.899369505277885,122.1838054,-0.4790375456,0.7611757595,-1.588968895,3.053508452E-08
40666666,-0.9334108142,0.898109849502713,121.26501,-0.4661165018,0.7676826874,-1.646975991,3.157704686E-08
40755555,-0.941567326,0.897266872504812,120.1431572,-0.4505735586,0.7759325414,-1.722099592,0.0000000299796249
40844444,-0.9522774699,0.896161178622632,119.1160339,-0.4360540006,0.7829187484,-1.795462826,3.073251168E-08
40933333,-1.018358963,0.889369131711427,118.4615474,-0.4238456309,0.7818774416,-1.844722193,3.052932645E-08
41022222,-0.9799431948,0.893311325916965,117.1886069,-0.4081727582,0.7946068993,-1.946741627,0.0000000459814046
41111111,-0.9914142424,0.892132350171694,116.2221724,-0.3941913929,0.8003207332,-2.030284648,3.927006844E-08
41200000,-1.193532476,0.871612352010136,112.8786875,-0.3388665545,0.8030426828,-2.369790327,3.082665733E-08
41288888,-1.024303072,0.888760708302132,114.3332883,-0.3662083448,0.8098067948,-2.211328077,2.995712876E-08
41377777,-1.028235942,0.888358378862307,113.2007776,-0.3499726779,0.8165168302,-2.333087357,1.942179385E-08
41466666,-0.9341867991,0.898029617243172,111.2680347,-0.3257435253,0.8368681791,-2.569101499,0.0000000311142662
41555555,-1.066169839,0.884487109822771,111.3038234,-0.3213460214,0.8240474392,-2.564361729,2.771992555E-08
41644444,-1.084710202,0.88260115186392,110.3034766,-0.3062560333,0.8277632725,-2.702847234,0.0000000247724097
41733333,-1.092807164,0.881778776908816,109.247863,-0.2906831646,0.832488504,-2.863903402,3.076238698E-08
41822222,-1.12090056,0.878931383796198,108.3324244,-0.2764500218,0.8343235361,-3.017990488,3.037001801E-08
41911111,-1.140740969,0.876926009842582,107.3673615,-0.2617599242,0.836947411,-3.197385595,2.970133026E-08
42000000,-1.158549957,0.875129859285879,106.3845184,-0.2468585871,0.8395910365,-3.401101199,2.985971468E-08
42088888,-1.181786089,0.872791876784617,105.4695972,-0.2327971664,0.841172479,-3.613327826,2.998690297E-08
42177777,-1.201305656,0.870832677243766,104.5037462,-0.2180942129,0.8430803438,-3.865670403,3.082893022E-08
42266666,-1.2309969,0.867860965130248,103.5098911,-0.2027437969,0.84384691,-4.162134295,2.969915007E-08
42355555,-1.242113352,0.866750962102396,102.4317365,-0.1865909219,0.8464284129,-4.536278638,2.794538259E-08
42444444,-1.269642447,0.864008226687178,101.7537321,-0.1760032481,0.8458918798,-4.806115166,2.652580657E-08
42533333,-1.295843408,0.861405875333423,100.9105589,-0.1630438046,0.845834972,-5.187777444,2.593900858E-08
42622222,-1.320437366,0.858970268152585,100.0263455,-0.1495475742,0.8458519046,-5.656072384,2.746097658E-08
42711111,-1.347683469,0.856280051576675,99.1451832,-0.1360943156,0.8453956849,-6.211836851,2.745286989E-08
42800000,-1.369022191,0.854179000712985,98.2426582,-0.1224600628,0.8453551315,-6.903108754,2.704056481E-08
42888888,-1.393989729,0.851727193806405,97.40993786,-0.1098452107,0.8446142565,-7.689131382,2.671210319E-08
42977777,-1.417525529,0.849422427430909,96.56747244,-0.09715114535,0.8438483959,-8.685933581,2.659000473E-08
43066666,-1.4398182,0.847245147218294,95.70888231,-0.08427887021,0.8430429476,-10.00301672,2.668506869E-08
43155555,-1.463357921,0.844952127791964,94.8387799,-0.07127364457,0.841940714,-11.81279166,2.665327747E-08
43244444,-1.485538816,0.842797151688739,94.00466781,-0.05885905141,0.8407393478,-14.28394321,2.661565622E-08
43333333,-1.506115182,0.840802977361424,93.15504997,-0.0462762699,0.8395285306,-18.1416638,2.644667747E-08
43422222,-1.527733208,0.83871293239337,92.29223696,-0.03354550686,0.8380418139,-24.98223734,2.634729633E-08
43511111,-1.549166904,0.836645837723496,91.46352164,-0.02136834771,0.8363729142,-39.1407387,0.0000000260077922
43600000,-1.566397696,0.83498777143588,90.63485929,-0.00925179656,0.8349365142,-90.24587914,2.562608005E-08
43688888,-1.584449777,0.833254199539247,89.82248685,0.002581574841,0.8332502005,322.7681751,2.570338411E-08
43777777,-1.601790375,0.831592341847047,89.01257642,0.01433078056,0.8314688519,58.01978815,2.563971106E-08
43866666,-1.614060503,0.83041842171539,88.16216274,0.02663219233,0.8299912538,31.16496169,2.509191491E-08
43955555,-1.635410597,0.828379742870425,87.36266245,0.03811704135,0.82750232,21.70951078,2.432684978E-08
44044444,-1.652129292,0.826786802063641,86.63273243,0.04856221643,0.8253593927,16.99591686,0.0000000235310347
44133333,-1.670181822,0.825070214077389,85.88499074,0.05920599272,0.8229431988,13.89966051,2.349238652E-08
44222222,-1.682760927,0.823876193243826,85.13602833,0.06985678488,0.820909259,11.7513175,2.355276056E-08
44311111,-1.698914184,0.822345444257049,84.35222795,0.08092920752,0.8183535257,10.11196762,2.400226731E-08
44400000,-1.712367913,0.821072684721651,83.63066743,0.09108734405,0.8160045646,8.958484552,2.428871582E-08
44488888,-1.724657525,0.819911775488978,82.79730363,0.1028004752,0.8134416893,7.91282032,2.461179061E-08
44577777,-1.73840097,0.818615477388204,82.02729111,0.1135431136,0.8107029426,7.140045017,2.501211206E-08
44666666,-1.747846526,0.81772574980603,81.21606899,0.1248738157,0.8081348477,6.47161171,2.492859732E-08
44755555,-1.759485038,0.816630785668961,80.41934181,0.1359166687,0.8052406468,5.924517241,2.494082698E-08
44844444,-1.774085294,0.815259250473698,79.61269772,0.1469921924,0.8018983357,5.455380472,2.493121448E-08
44933333,-1.786719147,0.814074296614597,78.83843944,0.1575854006,0.7986762811,5.068212398,2.500038245E-08
45022222,-1.797863945,0.813030433992848,78.01752088,0.1687953351,0.7953154226,4.711714469,0.0000000251151861
45111111,-1.810314701,0.811865833455072,77.21686404,0.1796346273,0.79174335,4.407520766,2.559127906E-08
45200000,-1.821039007,0.810864056411576,76.40505062,0.1905988135,0.788145044,4.135099425,2.573609744E-08
45288888,-1.834188237,0.809637449590848,75.5500648,0.2020320272,0.7840254204,3.880698676,2.606566256E-08
45377777,-1.845043735,0.808626208580994,74.73313976,0.2129234974,0.7800896932,3.66370881,2.611003943E-08
45466666,-1.857593611,0.807458702283218,73.88235517,0.2241590319,0.7757204937,3.46058103,2.543711748E-08
45555555,-1.870152268,0.806292066526674,73.06129391,0.2349119853,0.7713126835,3.28341137,2.483457999E-08
45644444,-1.88566859,0.804853006158066,72.31604384,0.2444872091,0.7668209479,3.136446077,2.444485692E-08
45733333,-1.900907989,0.803442129091359,71.54275765,0.2543672636,0.7621132134,2.996113583,2.467517899E-08
45822222,-1.914042195,0.802228137151256,70.7304413,0.2647456371,0.7572844457,2.860422759,2.318798866E-08
45911111,-1.929330494,0.80081735291057,69.90606161,0.275129083,0.7520720845,2.733524484,2.321070518E-08
46000000,-1.957592985,0.798215856477894,69.42430904,0.2805285503,0.747296652,2.663888047,2.345113543E-08
46088888,-1.967372046,0.797317686063458,68.48210631,0.2924495747,0.7417470854,2.536324719,2.441055783E-08
46177777,-1.983344883,0.795852813345214,67.69023258,0.3021167726,0.7362792651,2.437068484,2.624479213E-08
46266666,-2.001283705,0.794210848040562,66.86744964,0.3120133671,0.7303550711,2.340781351,2.573647435E-08
46355555,-2.019838437,0.792516071639823,66.03246539,0.3219350365,0.724181991,2.249466224,2.632217554E-08
46444444,-2.037030554,0.79094898359578,65.19314886,0.3318510513,0.717965998,2.163518829,2.659728192E-08
46533333,-2.054110464,0.789395191830488,64.31582962,0.3421318643,0.7114004191,2.079316466,2.651098514E-08
46622222,-2.074113413,0.787579365874518,63.4701971,0.3517827676,0.7046489495,2.003079782,2.613732085E-08
46711111,-2.093670383,0.785808063277266,62.65217835,0.3609932108,0.6979815284,1.933503201,2.523623279E-08
46800000,-2.121903179,0.783258003064384,61.84299794,0.3696110338,0.690565553,1.868357516,2.457701822E-08
46888888,-2.141664989,0.781477989540388,61.09162691,0.3777745225,0.6841010586,1.810871348,2.406880598E-08
46977777,-2.166379224,0.779257586025521,60.31814499,0.3858755432,0.6770099338,1.754477437,2.381890931E-08
47066666,-2.190736744,0.777075403850471,59.56363438,0.3936517125,0.6699884421,1.701982796,2.404297065E-08
47155555,-2.217603813,0.774675478998978,58.79596395,0.4013494978,0.6626014476,1.65093379,2.417006111E-08
47244444,-2.243369448,0.772380903399645,58.00583731,0.4092327846,0.6550578508,1.600697391,2.455490503E-08
47333333,-2.272407614,0.76980303553705,57.22982891,0.416671695,0.6472877352,1.553471817,2.467265535E-08
47422222,-2.300748264,0.767295386260149,56.41791218,0.4244149632,0.6392293397,1.506142326,2.472653942E-08
47511111,-2.330168324,0.764700869144361,55.64229673,0.4315648517,0.6312837698,1.462778462,2.484920967E-08
47600000,-2.360443134,0.762040131508665,54.84335215,0.4387932761,0.6230293917,1.419869961,2.488263469E-08
47688888,-2.391359367,0.759332575610792,54.04123041,0.4458823105,0.6146339769,1.378466834,2.530545148E-08
47777777,-2.423424478,0.756534566713372,53.23721881,0.4527884532,0.6060752159,1.338539469,2.586457292E-08
47866666,-2.456355046,0.753671768834878,52.39653165,0.4598853306,0.5970984993,1.298363874,2.599220725E-08
47955555,-2.490732997,0.750694700772716,51.52736469,0.4670377933,0.5877229222,1.258405488,2.575010931E-08
48044444,-2.526075463,0.747646366211661,50.73739911,0.4731671599,0.5788677981,1.223389633,2.600520636E-08
48133333,-2.563093826,0.744466755149455,49.94676245,0.4790637004,0.569849735,1.18950723,2.588233885E-08
48222222,-2.589777063,0.742183246793157,49.02599455,0.4866618432,0.5603536582,1.151423038,2.525994798E-08
48311111,-2.637770613,0.738093650591849,48.24188758,0.4915609919,0.5505906176,1.120086066,2.435715984E-08
48400000,-2.681316021,0.734402588542642,47.54823982,0.495699144,0.5418759274,1.093154858,2.318140475E-08
48488888,-2.72655321,0.730587671806847,46.78848937,0.5002286598,0.5324750079,1.064463216,2.337808246E-08
48577777,-2.769351829,0.72699664818372,46.04366426,0.5046156221,0.5233423357,1.037110848,2.396804776E-08
48666666,-2.814510597,0.723226731895443,45.25371957,0.5091289234,0.5136581013,1.008895935,2.411906666E-08
48755555,-2.861273507,0.719343501629521,44.48073228,0.5132415998,0.5040219575,0.9820364479,2.417337022E-08
48844444,-2.909985369,0.715320599000487,43.71089987,0.5170592661,0.4943007937,0.9559847894,2.400847206E-08
48933333,-2.959358339,0.711266055747496,42.94733004,0.5206327617,0.4846038893,0.9307979156,2.394271461E-08
49022222,-3.012047097,0.706964563105705,42.17906036,0.5238961161,0.4746912186,0.9060789038,2.349125654E-08
49111111,-3.064556601,0.702703586223865,41.41581291,0.5269774656,0.4648516762,0.8821092107,0.0000000233256912
49200000,-3.117501254,0.698433299607841,40.71805268,0.529362738,0.4556140535,0.8606840278,2.334187949E-08
49288888,-3.174141799,0.693893645019018,39.94571862,0.5319756925,0.4455224496,0.8374864789,2.322530141E-08
49377777,-3.232024888,0.689284885695605,39.17940212,0.5343141047,0.4354561874,0.8149816438,2.336416309E-08
49466666,-3.292052033,0.684537742608812,38.46912713,0.5359543588,0.4258460359,0.7945565306,2.298035354E-08
49555555,-3.348350095,0.680115222207273,37.71807766,0.5379919168,0.4160786139,0.7733919431,2.257558568E-08
49644444,-3.41038821,0.67527487236401,36.99951968,0.5393018989,0.4063860419,0.7535409067,0.0000000224393669
49733333,-3.476107669,0.67018486616005,36.30210762,0.5401063429,0.396778141,0.7346296636,2.214444884E-08
49822222,-3.541306099,0.665173126462217,35.58680896,0.5409419078,0.3870880268,0.7155815093,2.206485641E-08
49911111,-3.608393406,0.660055310743856,34.88131678,0.5414687173,0.3774713782,0.6971249975,2.209700552E-08
50000000,-3.673751265,0.655107296764849,34.17953366,0.5419580164,0.3680313556,0.6790772429,0.0000000217532431
50088888,-3.748245554,0.64951281216038,33.47021996,0.5418057809,0.3582085831,0.6611383557,2.147375257E-08
50177777,-3.818733742,0.644263181507585,32.81183412,0.5414740181,0.3491145009,0.644748389,2.137476616E-08
50266666,-3.893117924,0.638769400799714,32.1294005,0.5409413116,0.3397187731,0.628014104,2.114934587E-08
50355555,-3.967425318,0.633328065767383,31.42997653,0.5404049647,0.3302528016,0.6111209614,2.112555975E-08
50444444,-4.044191524,0.627755351670457,30.77724919,0.539344265,0.3212235131,0.5955815866,2.095786088E-08
50533333,-4.12442065,0.62198364842373,30.10781599,0.53806748,0.3120048813,0.579861993,2.085609564E-08
50622222,-4.2048683,0.616249507213467,29.43721884,0.5366884547,0.3028678882,0.5643271913,2.106332287E-08
50711111,-4.288394626,0.610351854814452,28.76301224,0.5350451156,0.293693907,0.5489142849,2.101674922E-08
50800000,-4.372413149,0.604476389937781,28.07951519,0.5333266229,0.2845249009,0.5334909016,2.017344904E-08
50888888,-4.462614638,0.598231487519072,27.42398373,0.5310038302,0.2755283015,0.5188819475,1.841244639E-08
50977777,-4.551972531,0.592108606096579,26.87897721,0.5281392502,0.2676967199,0.5068676864,1.728930742E-08
51066666,-4.642112325,0.585995638668849,26.41731927,0.5248044011,0.2607129247,0.4967811324,1.792441322E-08
51155555,-4.736503713,0.579661977862087,25.81655478,0.5218076433,0.2524376992,0.4837753957,1.809258733E-08
51244444,-4.828903264,0.57352827932433,25.08728525,0.5194232919,0.2431751035,0.4681636486,1.705270674E-08
51333333,-4.933941563,0.566634380604243,24.64917663,0.5150017962,0.2363211188,0.4588743585,1.485304485E-08
51422222,-5.025509406,0.560692219615186,24.27257186,0.511127122,0.2304882432,0.4509411323,0.0000000110947314
51511111,-5.125060806,0.554302656171609,23.84742133,0.5069792647,0.224105912,0.4420415737,1.213666179E-08
