% Model:              bicon_box_orientation_steel_fullwave_2.21.21.mph
% Version:            COMSOL 5.4.0.388
% Date:               Feb 23 2021, 09:32
% Table:              Table 5 - magnitude v (abs(emw.Vport_1))
% freq (MHz)             abs(emw.Vport_1) (V)
30                       0.44489160683644724
33                       0.5283351650194836
36                       0.6279425905701321
39                       0.7487307627056128
42                       0.8977109663891705
45                       1.0842857532936532
48                       1.3228842071118683
51                       1.6339782375708887
54                       2.050132989324602
57                       2.622088460117633
60                       3.4291973798072304
63                       4.578978329353846
66                       6.117050929304186
69                       7.615182817944007
72                       7.968508265997936
75                       7.106521645664746
78                       6.001456260825597
81                       5.090597405786827
84                       4.401029147854827
87                       3.8780773901636305
90                       3.4727943343444507
93                       3.151597915681061
96                       2.892528566627599
99                       2.6810060344895845
102                      2.5069735968092406
105                      2.3627419614789025
108                      2.241428059962938
111                      2.134439681362866
114                      2.026357777438672
117                      1.8776553589947345
120                      1.543649457836544
123                      0.16742310369188762
126                      3.482408982080555
129                      3.9199070502603792
132                      4.313736157517191
135                      5.068969846520204
138                      5.708440395872784
141                      4.692755854983759
144                      2.9674563606888187
147                      1.8246743507778178
150                      1.1403698113470755
153                      0.7024563797310064
156                      0.39812807096982505
159                      0.17085088100029985
162                      0.006336200676795885
165                      0.13441226385869828
168                      0.1409961599052794
171                      0.3664324233577762
174                      1.1122063033837437
177                      1.5739841370330674
180                      2.2021215671972127
183                      3.302240722378883
186                      5.572243702805064
189                      9.890934000477879
192                      8.926846323179873
195                      5.924053005542816
198                      4.521755231696188
201                      3.859869519656379
204                      3.584705234625803
207                      2.7536110599344417
210                      1.6816514054430394
213                      5.320378931126832
216                      1.8694930875904812
219                      1.2414007543743664
222                      3.7903379320154587
225                      2.6228158741265677
228                      1.8220400963569676
231                      1.290925752938658
234                      0.7939829891044042
237                      0.2145638018072794
240                      1.628785183821987
243                      0.049641859266750174
246                      0.31578945254457447
249                      0.46041105800319954
252                      0.5263615007387579
255                      0.5791575492435204
258                      0.6464308487276834
261                      0.7503273271732966
264                      0.9354973662138552
267                      1.2963509423142396
270                      2.9832953333504184
273                      1.3017306085518252
276                      2.3532546242055608
279                      1.2623973206633212
282                      0.47431719184852816
285                      0.29561107156013855
288                      2.622553018672217
291                      0.8617983622423022
294                      1.0309022945923099
297                      3.054503257083793
300                      5.8518041833460135
