% Model:              bicon_box_orientation_steel_fullwave_2.21.21.mph
% Version:            COMSOL 5.4.0.388
% Date:               Feb 23 2021, 09:41
% Table:              Table 6 - Point Evaluation 1 (abs(emw.Ex))
% freq (MHz)             abs(emw.Ex) (V/m), Point: (-0.04412, 0, 0.03)
30                       1.289008269715254
33                       1.3661111830123387
36                       1.459169266039948
39                       1.5721673432933962
42                       1.7106318285102928
45                       1.8824380433109187
48                       2.0991662038643315
51                       2.3785317686927794
54                       2.7490172397775248
57                       3.2594452602033237
60                       4.000968854330986
63                       5.165217921630194
66                       7.236588791526371
69                       11.88956117696655
72                       31.47985944386593
75                       54.244226415333785
78                       15.125973364991323
81                       9.018240871009729
84                       6.5617761049140215
87                       5.255046320359739
90                       4.459446864175764
93                       3.9381050448209725
96                       3.58363862851275
99                       3.3408619721314685
102                      3.1797890432140465
105                      3.0837482121233073
108                      3.0445705555466223
111                      3.0602452780311253
114                      3.134820549310843
117                      3.280384694144139
120                      3.521023600224154
123                      3.93747674805893
126                      4.5297358405631805
129                      5.643456125025492
132                      8.030563700351413
135                      16.30268998150522
138                      68.72277591890713
141                      9.3689505766519
144                      4.515972233447109
147                      2.701356085884454
150                      1.7332540068459712
153                      1.1114671847051645
156                      0.656960772581932
159                      0.28639235271902286
162                      0.04774302011241323
165                      0.37896252536912794
168                      0.7405139761275904
171                      1.1864396674673021
174                      1.7642565017895468
177                      2.613292598730312
180                      4.027572361793082
183                      6.899454608400524
186                      15.749592431672447
189                      1215.2839916710466
192                      19.76571072803588
195                      11.470170062101213
198                      8.992923851704008
201                      8.143688400727783
204                      8.222914458603919
207                      9.351609365245073
210                      13.028809876760889
213                      40.79189715476726
216                      11.913435886650847
219                      2.2975515457657703
222                      76.13214005329381
225                      8.082752710488649
228                      4.546475579045643
231                      3.1780701440436605
234                      2.471352076408052
237                      1.9381843779981478
240                      1.6870934056218623
243                      1.4612314223739733
246                      1.3651864150891482
249                      1.2957338575927935
252                      1.272500663849548
255                      1.2916520200915147
258                      1.364518283593461
261                      1.50533530300251
264                      1.7516913464197652
267                      2.191105545152492
270                      3.1090184770648714
273                      6.172874149787471
276                      125.17232873814773
279                      3.9449003360438115
282                      1.1642225958760373
285                      0.46372117104477106
288                      2.7093272914534583
291                      9.45346831425803
294                      96.49011808605738
297                      14.56824289342926
300                      10.9420953597424
