% Model:              dipoleMoveInBox_1.10.23.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 9 2023, 18:58
% Table:              Table 3 - port voltage
% boxX (m)               boxY (m)                 boxZ (m)                 freq (MHz)               abs(emw.Vport_1) (V)
-0.15                    0.35                     0.7                      98                       0.46448163656732494
-0.15                    0.35                     0.7                      98.10126582278481        0.4458145250279484
-0.15                    0.35                     0.7                      98.20253164556962        0.4276996664218475
-0.15                    0.35                     0.7                      98.30379746835443        0.4101021344235484
-0.15                    0.35                     0.7                      98.40506329113924        0.392989355556691
-0.15                    0.35                     0.7                      98.50632911392405        0.37633097199197685
-0.15                    0.35                     0.7                      98.60759493670886        0.36009870638154856
-0.15                    0.35                     0.7                      98.70886075949367        0.34426623020259184
-0.15                    0.35                     0.7                      98.81012658227849        0.32880903672541767
-0.15                    0.35                     0.7                      98.9113924050633         0.313704319427439
-0.15                    0.35                     0.7                      99.0126582278481         0.29892771994369244
-0.15                    0.35                     0.7                      99.11392405063292        0.2844940050701304
-0.15                    0.35                     0.7                      99.21518987341773        0.2704403195592512
-0.15                    0.35                     0.7                      99.31645569620252        0.25673892663694803
-0.15                    0.35                     0.7                      99.41772151898732        0.2433639494506539
-0.15                    0.35                     0.7                      99.51898734177213        0.2302912654368893
-0.15                    0.35                     0.7                      99.62025316455694        0.21749840395793477
-0.15                    0.35                     0.7                      99.72151898734175        0.20496444789270898
-0.15                    0.35                     0.7                      99.82278481012656        0.1926699398086417
-0.15                    0.35                     0.7                      99.92405063291137        0.1805967933368125
-0.15                    0.35                     0.7                      100.02531645569618       0.16872424975558556
-0.15                    0.35                     0.7                      100.126582278481         0.15708786751017378
-0.15                    0.35                     0.7                      100.22784810126582       0.14571337744734128
-0.15                    0.35                     0.7                      100.32911392405063       0.13457817257732946
-0.15                    0.35                     0.7                      100.43037974683544       0.1236610241134286
-0.15                    0.35                     0.7                      100.53164556962025       0.11294203240243113
-0.15                    0.35                     0.7                      100.63291139240506       0.10240258510954471
-0.15                    0.35                     0.7                      100.73417721518987       0.09202532832128496
-0.15                    0.35                     0.7                      100.83544303797468       0.08179416121394593
-0.15                    0.35                     0.7                      100.9367088607595        0.07169427605748814
-0.15                    0.35                     0.7                      101.0379746835443        0.06171016058614227
-0.15                    0.35                     0.7                      101.13924050632912       0.05189419687246566
-0.15                    0.35                     0.7                      101.24050632911393       0.04226347587330983
-0.15                    0.35                     0.7                      101.34177215189874       0.03280371237149565
-0.15                    0.35                     0.7                      101.44303797468355       0.023509665309543553
-0.15                    0.35                     0.7                      101.54430379746836       0.01441048795771035
-0.15                    0.35                     0.7                      101.64556962025317       0.005828592363111975
-0.15                    0.35                     0.7                      101.74683544303798       0.005094028377527714
-0.15                    0.35                     0.7                      101.84810126582279       0.013382677564792524
-0.15                    0.35                     0.7                      101.94936708860759       0.02213615827741167
-0.15                    0.35                     0.7                      102.0506329113924        0.030918001494765077
-0.15                    0.35                     0.7                      102.1518987341772        0.039610286664867836
-0.15                    0.35                     0.7                      102.253164556962         0.048196178520015814
-0.15                    0.35                     0.7                      102.35443037974682       0.05668797243809422
-0.15                    0.35                     0.7                      102.45569620253163       0.06510037630670833
-0.15                    0.35                     0.7                      102.55696202531644       0.07344875960480393
-0.15                    0.35                     0.7                      102.65822784810125       0.08174851386851152
-0.15                    0.35                     0.7                      102.75949367088606       0.09001478052695307
-0.15                    0.35                     0.7                      102.86075949367087       0.09826232256542587
-0.15                    0.35                     0.7                      102.9620253164557        0.10650546027080374
-0.15                    0.35                     0.7                      103.0632911392405        0.11473337053848426
-0.15                    0.35                     0.7                      103.16455696202532       0.12288159629985503
-0.15                    0.35                     0.7                      103.26582278481013       0.13096123192658593
-0.15                    0.35                     0.7                      103.36708860759494       0.1389891880811119
-0.15                    0.35                     0.7                      103.46835443037975       0.14698224197269139
-0.15                    0.35                     0.7                      103.56962025316456       0.1549570075026999
-0.15                    0.35                     0.7                      103.67088607594937       0.16292990781945602
-0.15                    0.35                     0.7                      103.77215189873418       0.17091715025568807
-0.15                    0.35                     0.7                      103.87341772151899       0.17893470369428813
-0.15                    0.35                     0.7                      103.9746835443038        0.1869982784311518
-0.15                    0.35                     0.7                      104.07594936708861       0.19514427534343795
-0.15                    0.35                     0.7                      104.17721518987342       0.20327537150856465
-0.15                    0.35                     0.7                      104.27848101265823       0.21138715636020985
-0.15                    0.35                     0.7                      104.37974683544304       0.21949669790364812
-0.15                    0.35                     0.7                      104.48101265822785       0.22762132579300387
-0.15                    0.35                     0.7                      104.58227848101265       0.23577859724230105
-0.15                    0.35                     0.7                      104.68354430379746       0.24398626211514884
-0.15                    0.35                     0.7                      104.78481012658226       0.25226222758193695
-0.15                    0.35                     0.7                      104.88607594936707       0.26062452275481685
-0.15                    0.35                     0.7                      104.98734177215188       0.2690912637206949
-0.15                    0.35                     0.7                      105.08860759493669       0.27759436353079553
-0.15                    0.35                     0.7                      105.1898734177215        0.28610105522834606
-0.15                    0.35                     0.7                      105.29113924050631       0.29463272630454396
-0.15                    0.35                     0.7                      105.39240506329112       0.30320755092657553
-0.15                    0.35                     0.7                      105.49367088607593       0.3118445461479272
-0.15                    0.35                     0.7                      105.59493670886074       0.3205635677154744
-0.15                    0.35                     0.7                      105.69620253164557       0.3293853061843606
-0.15                    0.35                     0.7                      105.79746835443038       0.3383312540231228
-0.15                    0.35                     0.7                      105.89873417721519       0.34742372854041575
-0.15                    0.35                     0.7                      106                      0.35668581587185405
