% Model:              emptyRoomNoRes_8.19.21.mph
% Version:            COMSOL 5.4.0.388
% Date:               Aug 20 2021, 06:48
% Table:              Table 6 - Surface Average 3 (emw.normE)
% freq (MHz)             Electric field norm (V/m)
30                       1.2824723299792757
30.541082164328657       1.2824723299792757
31.082164328657313       1.2824723299792757
31.62324649298597        1.2824723299792757
32.16432865731463        1.2824723299792757
32.705410821643284       1.2824723299792757
33.24649298597194        1.2824723299792757
33.787575150300604       1.2824723299792757
34.32865731462926        1.392083050618341
34.86973947895792        1.392083050618341
35.41082164328657        1.392083050618341
35.951903807615224       1.392083050618341
36.49298597194388        1.392083050618341
37.03406813627254        1.392083050618341
37.575150300601194       1.392083050618341
38.11623246492985        1.5246402109044
38.657314629258515       1.5246402109044
39.19839679358717        1.5246402109043997
39.739478957915836       1.5246402109043997
40.28056112224449        1.5246402109043997
40.82164328657315        1.5246402109043993
41.362725450901806       1.665507196744211
41.90380761523046        1.665507196744211
42.44488977955912        1.665507196744211
42.985971943887776       1.665507196744211
43.52705410821643        1.665507196744211
44.06813627254509        1.665507196744211
44.609218436873746       1.8386780371425075
45.1503006012024         1.8386780371425078
45.69138276553106        1.8386780371425078
46.23246492985972        1.8386780371425078
46.773547094188366       1.8386780371425075
47.31462925851702        2.0236104347947115
47.85571142284568        2.0236104347947115
48.396793587174336       2.0236104347947115
48.93787575150299        2.0236104347947115
49.47895791583166        2.204111483808418
50.02004008016032        2.204111483808418
50.56112224448898        2.204111483808418
51.102204408817634       2.204111483808418
51.64328657314629        2.4149408624668833
52.18436873747495        2.4149408624668833
52.72545090180361        2.4149408624668833
53.26653306613227        2.4149408624668833
53.807615230460925       2.6774119009544806
54.34869739478958        2.6774119009544806
54.88977955911824        2.677411900954481
55.430861723446895       2.9342618399415583
55.97194388777555        2.9342618399415583
56.51302605210421        2.9342618399415583
57.05410821643286        3.216056715123215
57.595190380761515       3.216056715123215
58.13627254509017        3.216056715123215
58.67735470941883        3.5608472707794077
59.218436873747486       3.5608472707794085
59.75951903807614        3.889038333810073
60.3006012024048         3.889038333810073
60.841683366733456       4.203266033064599
61.38276553106211        4.203266033064599
61.923847695390776       4.563489624683753
62.46492985971944        4.563489624683753
63.0060120240481         5.010818035062291
63.547094188376754       5.450696807140419
64.0881763527054         5.450696807140419
64.62925851703406        5.83154335415904
65.17034068136272        6.364249803975529
65.71142284569137        6.364249803975529
66.25250501002003        7.300243502886556
66.79358717434869        7.300243502886556
67.33466933867734        8.550572454945451
67.87575150300599        8.550572454945451
68.41683366733467        10.295527609367356
68.95791583166333        11.488953254402356
69.49899799599199        12.921136034110647
70.04008016032064        14.776613522751703
70.5811623246493         17.237306327684557
71.12224448897796        20.641245184008056
71.66332665330661        25.630216862908767
72.20440881763527        34.374562978154145
72.74549098196393        50.92445874803415
73.28657314629258        97.18017109572963
73.82765531062122        1098.3740839185505
74.3687374749499         119.83479091845041
74.90981963927854        57.06235174559062
75.45090180360722        37.64093725869252
75.99198396793587        28.038682458250157
76.53306613226454        22.87352338057251
77.07414829659318        18.629104325272117
77.61523046092185        15.97871244157023
78.1563126252505         14.067186812249394
78.69739478957916        12.578971223256449
79.23847695390782        11.34982115916697
79.77955911823648        11.019942373971864
80.32064128256513        9.548915087493237
80.86172344689379        9.263292589386616
81.40280561122245        8.254566142552974
81.9438877755511         8.254566142552976
82.48496993987976        7.296576414632628
83.02605210420842        7.296576414632628
83.56713426853707        6.89299702793351
84.10821643286572        6.24670326645238
84.64929859719439        6.24670326645238
85.19038076152303        5.923115882958311
85.7314629258517         5.60882175207132
86.27254509018034        5.289880979128404
86.81362725450902        5.289880979128404
87.35470941883766        4.976647156746852
87.89579158316633        4.7226066911760105
88.43687374749497        4.722606691176009
88.97795591182364        4.722606691176009
89.51903807615228        4.436205874178136
90.06012024048096        4.222402518696908
90.6012024048096         4.222402518696908
91.14228456913827        4.222402518696908
91.68336673346693        3.9899867066284265
92.22444889779558        3.9899867066284265
92.76553106212424        3.7885743395651015
93.3066132264529         3.7885743395651015
93.84769539078155        3.7885743395651015
94.38877755511022        3.5891089924660577
94.92985971943888        3.5891089924660577
95.47094188376752        3.4489949980670476
96.0120240480962         3.448994998067047
96.55310621242484        3.448994998067047
97.09418837675351        3.3138974266994783
97.63527054108215        3.3138974266994783
98.17635270541082        3.3138974266994783
98.71743486973946        3.187306878887326
99.25851703406813        3.187306878887326
99.79959919839678        3.187306878887326
100.34068136272545       3.083852918564288
100.88176352705409       3.083852918564288
101.42284569138276       3.083852918564288
101.9639278557114        3.0032941984574704
102.50501002004007       3.0032941984574704
103.04609218436873       3.0032941984574704
103.58717434869739       2.9415827329456525
104.12825651302605       2.9415827329456525
104.6693386773547        2.9415827329456525
105.21042084168336       2.8963765414143703
105.75150300601202       2.8963765414143703
106.29258517034069       2.8963765414143703
106.83366733466933       2.866699982666051
107.374749498998         2.866699982666051
107.91583166332664       2.866699982666051
108.45691382765531       2.8521228858167973
108.99799599198396       2.8521228858167973
109.53907815631263       2.8521228858167973
110.08016032064127       2.85260422770958
110.62124248496994       2.85260422770958
111.16232464929858       2.85260422770958
111.70340681362725       2.868552362705904
112.2444889779559        2.868552362705904
112.78557114228457       2.868552362705904
113.32665330661321       2.9008851246529614
113.86773547094188       2.9008851246529614
114.40881763527054       2.900885124652961
114.9498997995992        2.9511062433169553
115.49098196392785       2.9511062433169553
116.03206412825651       3.003165107427428
116.57314629258516       3.003165107427428
117.1142284569138        3.003165107427428
117.65531062124248       3.074582586863091
118.19639278557112       3.0745825868630914
