% Model:              emptyRoomFullFeature_9.14.21_v5.6_PaulsRoom.mph
% Version:            COMSOL 5.6.0.401
% Date:               Sep 18 2021, 23:03
% Table:              Table 5 - Point Evaluation 1
% freq (MHz)             abs(emw.Ex) (V/m), Point: (0, 0, 0)
30                       1.2533335166778516
47.5                     1.9395532738225438
65                       6.296613713274302
82.5                     7.200137731658555
100                      3.146339677734212
100                      3.146339677734212
105.26315789473685       2.912519224519171
110.52631578947367       2.9579329591796637
115.78947368421052       1.0903102525527926
121.05263157894736       2.6623280381556635
126.31578947368422       4.985276592953304
131.57894736842104       8.045653675307284
136.8421052631579        298.2740284076543
142.1052631578947        6.644297696287855
147.3684210526316        2.2166520148926065
152.63157894736844       0.9162936560216131
157.89473684210526       0.23374352726320474
163.15789473684208       0.4029126306705803
168.42105263157893       6.91662320847469
173.68421052631578       1.502617336396947
178.94736842105263       2.938879298748877
184.21052631578948       9.40452467240513
189.4736842105263        52.79356776189794
194.73684210526318       13.631622336720534
200                      7.250449245291723
200                      7.250449245291723
202.56410256410254       8.180639996531216
205.12820512820514       6.772050946495253
207.69230769230768       10.584108090979667
210.25641025641022       6.104260353359027
212.82051282051282       35.00211141371539
215.3846153846154        31.125081099322045
217.94871794871796       2.961236460115907
220.5128205128205        9.668993985061803
223.0769230769231        15.52075453716909
225.64102564102564       6.6116999234517735
228.20512820512818       4.0554072560030185
230.76923076923077       3.17934968370682
233.33333333333334       2.7727634342876493
235.89743589743588       2.87755155895299
238.46153846153845       0.4837952921194717
241.02564102564102       0.45447209644775677
243.58974358974356       1.5320800757558675
246.15384615384616       5.148763713205053
248.71794871794873       0.8413521534099386
251.28205128205124       0.9468995144101235
253.84615384615384       1.5683145560816187
256.4102564102564        1.2823378183246505
258.974358974359         0.2278965095083651
261.53846153846155       1.5225934363887026
264.1025641025641        0.7692019658795743
266.6666666666667        1.694547748417357
269.2307692307692        3.111167729628818
271.79487179487177       4.6939138491076475
274.3589743589743        14.283349654100656
276.9230769230769        10.302708283558058
279.4871794871795        6.988036614924063
282.05128205128204       0.17054062856753188
284.61538461538464       4.0912741532330985
287.1794871794872        21.336904767506095
289.74358974358967       7.826323468687833
292.3076923076923        16.38453199219692
294.87179487179486       29.98890606614302
297.43589743589746       11.998735190881535
300                      10.040707506016899
