Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
30000000,-0.9464751298,0.8967600314,-133.6175751,-133.6175751,18.3723422,
30104444,-0.9625010806,0.8951069846,-137.0540613,-137.0540613,18.06704648,
30208888,-0.9685320954,0.8944856861,-140.7113276,-140.7113276,17.95477425,
30313333,-0.9787431705,0.8934347525,-144.3568144,-144.3568144,17.76784455,
30417777,-0.9891640869,0.8923634948,-147.9977512,-147.9977512,17.58105664,
30522222,-1.000088504,0.8912418569,-151.6235476,-151.6235476,17.38942761,
30626666,-1.011091794,0.890113546,-155.272731,-155.272731,17.20060551,
30731111,-1.022209612,0.8889749419,-158.9180513,-158.9180513,17.01395139,
30835555,-1.034752672,0.8876921235,-162.5591874,-162.5591874,16.80818996,
30940000,-1.047116156,0.8864294825,-166.2166836,-166.2166836,16.61020417,
31044444,-1.059792317,0.8851367736,-169.9016918,-169.9016918,16.41201307,
31148888,-1.071666304,0.8839275799,-173.5659877,-173.5659877,16.23062204,
31253333,-1.082296399,0.8828464602,-177.2319307,-177.2319307,16.07161391,
31357777,-1.093868821,0.8816710057,179.1020709,-180.8979291,15.90202821,
31462222,-1.105661645,0.880474774,175.414612,-184.585388,15.73286943,
31566666,-1.115955671,0.8794319031,171.7494424,-188.2505576,15.5881361,
31671111,-1.130088382,0.8780021531,168.0699836,-191.9300164,15.39373194,
31775555,-1.141091415,0.8768906296,164.3606714,-195.6393286,15.24571706,
31880000,-1.150934313,0.8758974951,160.6811861,-199.3188139,15.11571017,
31984444,-1.163265807,0.8746548519,156.9958791,-203.0041209,14.9559427,
32088888,-1.174441916,0.8735301599,153.2970103,-206.7029897,14.81404703,
32193333,-1.186032867,0.8723652484,149.6137526,-210.3862474,14.66971358,
32297777,-1.19896805,0.8710670732,145.9005481,-214.0994519,14.51194136,
32402222,-1.209771015,0.8699843681,142.2083782,-217.7916218,14.38276568,
32506666,-1.220439511,0.8689164605,138.5038305,-221.4961695,14.25744581,
32611111,-1.231081643,0.867852498,134.7941356,-225.2058644,14.13460314,
32715555,-1.241125833,0.8668495106,131.0810897,-228.9189103,14.02059819,
32820000,-1.247807673,0.8661829212,127.3733685,-232.6266315,13.94577537,
32924444,-1.257048134,0.8652619248,123.6511456,-236.3488544,13.84361415,
33028888,-1.265110389,0.86445916,119.9454469,-240.0545531,13.7557002,
33133333,-1.274683388,0.8635069366,116.2202852,-243.7797148,13.65275927,
33237777,-1.28339338,0.8626414675,112.5217025,-247.4782975,13.56043512,
33342222,-1.291846979,0.8618023044,108.7975086,-251.2024914,13.47202134,
33446666,-1.298310989,0.8611611926,105.0760012,-254.9239988,13.40519433,
33551111,-1.30680179,0.8603197849,101.3450723,-258.6549277,13.3184201,
33655555,-1.313530498,0.859653578,97.63484487,-262.3651551,13.25045235,
33760000,-1.320026258,0.8590109246,93.90794669,-266.0920533,13.18549625,
33864444,-1.324220912,0.8585961849,90.19342144,-269.8065786,13.14388995,
33968888,-1.332583316,0.8577699629,86.45888514,-273.5411149,13.06172733,
34073333,-1.339839726,0.8570536596,82.73022759,-277.2697724,12.9912641,
34177777,-1.345400563,0.8565051366,78.99814204,-281.001858,12.93778114,
34282222,-1.350909433,0.8559620858,75.28082189,-284.7191781,12.885233,
34386666,-1.359012547,0.8551639264,71.55295485,-288.4470451,12.80871457,
34491111,-1.365735884,0.8545022405,67.8378601,-292.1621399,12.74591614,
34595555,-1.37579869,0.8535128529,64.12109087,-295.8789091,12.65307496,
34700000,-1.380483417,0.8530526357,60.39557748,-299.6044225,12.61031557,
34804444,-1.395213399,0.8516072108,56.65760368,-303.3423963,12.47774383,
34908888,-1.408124345,0.8503422986,52.91802143,-307.0819786,12.36382947,
35013333,-1.425528992,0.8486401023,49.20045827,-310.7995417,12.21353959,
35117777,-1.446950976,0.8465496826,45.40812261,-314.5918774,12.03353446,
35222222,-1.473962059,0.8439212004,41.74709579,-318.2529042,11.81404012,
35326666,-1.503127756,0.8410922129,38.2480161,-321.7519839,11.58591562,
35431111,-1.530681253,0.8384283164,34.79572136,-325.2042786,11.37840663,
35535555,-1.544320929,0.8371127439,31.44281492,-328.5571851,11.2784314,
35640000,-1.531511854,0.8383481442,28.09860892,-331.9013911,11.37226749,
35744444,-1.495421729,0.841838752,24.67687542,-335.3231246,11.64532257,
35848888,-1.451915765,0.8460659394,21.11482982,-338.8851702,11.99257612,
35953333,-1.417768676,0.8493986496,17.43643445,-342.5635656,12.2800934,
36057777,-1.391432795,0.8519779604,13.69790564,-346.3020944,12.51150143,
36162222,-1.370197865,0.8540633916,9.940840321,-350.0591597,12.70458052,
36266666,-1.355751081,0.8554850923,6.191214219,-353.8087858,12.83940268,
36371111,-1.343566253,0.8566860348,2.421534413,-357.5784656,12.95537412,
36475555,-1.334073186,0.8576228443,-1.324920026,-361.32492,13.04719732,
36580000,-1.325839723,0.8584361811,-5.066010432,-365.0660104,13.12790369,
36684444,-1.321439893,0.8588711314,-8.797063654,-368.7970637,13.171445,
36788888,-1.317024056,0.8593078856,-12.52915481,-372.5291548,13.2154378,
36893333,-1.311219411,0.8598823396,-16.28936105,-376.2893611,13.27371821,
36997777,-1.308364663,0.8601649994,-20.01565811,-380.0156581,13.30257082,
37102222,-1.304583699,0.8605395103,-23.74832921,-383.7483292,13.34097933,
37206666,-1.303371666,0.8606595988,-27.5031843,-387.5031843,13.35333889,
37311111,-1.298632591,0.861129308,-31.20468673,-391.2046867,13.4018869,
37415555,-1.297106236,0.861280646,-34.93805936,-394.9380594,13.41759886,
37520000,-1.290236363,0.8619621225,-38.68454532,-398.6845453,13.48877682,
37624444,-1.291689774,0.8618179023,-42.35518301,-402.355183,13.47365493,
37728888,-1.288548657,0.8621296217,-46.17663227,-406.1766323,13.50637929,
37833333,-1.288122679,0.8621719038,-49.84801724,-409.8480172,13.51082946,
