Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
30000000,-1.168528551,0.8741250628,-130.5806373,-130.5806373,14.88878648,
30104444,-1.186064166,0.8723621048,-134.0300998,-134.0300998,14.66932765,
30208888,-1.192166712,0.8717494146,-137.6992522,-137.6992522,14.59447073,
30313333,-1.201874426,0.8707756552,-141.3464404,-141.3464404,14.47695988,
30417777,-1.211628955,0.8697982954,-145.0023914,-145.0023914,14.360782,
30522222,-1.221410497,0.8688193307,-148.6530243,-148.6530243,14.24614877,
30626666,-1.231847628,0.8677759678,-152.3186212,-152.3186212,14.12584336,
30731111,-1.24305699,0.8666568031,-155.9882931,-155.9882931,13.99889043,
30835555,-1.255569612,0.8654092231,-159.6573988,-159.6573988,13.85985924,
30940000,-1.267206127,0.8642506078,-163.3523764,-163.3523764,13.73303098,
31044444,-1.279973877,0.8629811432,-167.0717437,-167.0717437,13.59653107,
31148888,-1.289932051,0.861992322,-170.7962071,-170.7962071,13.49194733,
31253333,-1.30199759,0.8607957627,-174.5189978,-174.5189978,13.36737874,
31357777,-1.313007977,0.8597052941,-178.2526836,-178.2526836,13.25570543,
31462222,-1.324742349,0.8585446427,177.9912689,-182.0087311,13.13873633,
31566666,-1.336860321,0.8573476938,174.2367011,-185.7632989,13.02010282,
31671111,-1.351788364,0.8558754748,170.4347294,-189.5652706,12.87688873,
31775555,-1.364903071,0.8545841751,166.5911127,-193.4088873,12.75366128,
31880000,-1.384354828,0.8526725041,162.7679719,-197.2320281,12.57519849,
31984444,-1.404072221,0.8507390912,158.8929823,-201.1070177,12.39935564,
32088888,-1.425709299,0.8486224859,154.985948,-205.014052,12.21200188,
32193333,-1.454337869,0.8458300426,151.0362699,-208.9637301,11.97269607,
32297777,-1.493428818,0.8420319276,147.0118646,-212.9881354,11.66078626,
32402222,-1.545741581,0.8369758382,142.9560403,-217.0439597,11.26812012,
32506666,-1.621637503,0.829694335,138.8161628,-221.1838372,10.74359056,
32611111,-1.731657695,0.8192512548,134.6978353,-225.3021647,10.06508373,
32715555,-1.88923763,0.8045223592,130.7010432,-229.2989568,9.231349183,
32820000,-2.091290981,0.786023356,127.1161477,-232.8838523,8.346814507,
32924444,-2.3010224,0.76727117,124.2054361,-235.7945639,7.593692496,
33028888,-2.42730508,0.7561966447,121.9722149,-238.0277851,7.203332548,
33133333,-2.428065019,0.756130487,119.8526541,-240.1473459,7.201107123,
33237777,-2.340781127,0.7637670945,117.3565791,-242.6434209,7.46622106,
33342222,-2.22844638,0.7737090575,114.3448508,-245.6551492,7.838179637,
33446666,-2.124575706,0.7830170425,110.9793347,-249.0206653,8.217313762,
33551111,-2.04233386,0.7904662047,107.3939841,-252.6060159,8.544999635,
33655555,-1.978060371,0.796337159,103.7208628,-256.2791372,8.820151729,
33760000,-1.928024486,0.8009377727,99.97822571,-260.0217743,9.047109523,
33864444,-1.887269897,0.8047046393,96.22711077,-263.7728892,9.240898674,
33968888,-1.857958059,0.8074248232,92.41742866,-267.5825713,9.385554529,
34073333,-1.834877785,0.8095731774,88.6460893,-271.3539107,9.502722109,
34177777,-1.815226087,0.8114068984,84.86238757,-275.1376124,9.604841761,
34282222,-1.798589911,0.8129624838,81.09690494,-278.9030951,9.693041913,
34386666,-1.786356897,0.8141082488,77.32493809,-282.6750619,9.758949696,
34491111,-1.774700329,0.8152015252,73.5652172,-286.4347828,9.822600142,
34595555,-1.766471193,0.8159742248,69.81642273,-290.1835773,9.868042793,
34700000,-1.755519995,0.8170036566,66.06699317,-293.9330068,9.929180129,
34804444,-1.751870445,0.8173470091,62.30975047,-297.6902495,9.949724886,
34908888,-1.745056815,0.817988427,58.5468833,-301.4531167,9.988312264,
35013333,-1.739900408,0.8184741727,54.79777435,-305.2022256,10.01771593,
35117777,-1.735564753,0.8188828248,51.05923312,-308.9407669,10.04257505,
35222222,-1.730330199,0.8193764735,47.27025977,-312.7297402,10.07275469,
35326666,-1.725404559,0.8198412616,43.50221969,-316.4977803,10.10132108,
35431111,-1.720118399,0.8203403621,39.69502634,-320.3049737,10.13216092,
35535555,-1.713417004,0.8209735207,35.87132102,-324.128679,10.17153176,
35640000,-1.708501593,0.8214382473,32.12387511,-327.8761249,10.2006069,
35744444,-1.706441923,0.8216330567,28.52204293,-331.4779571,10.21284002,
35848888,-1.703698292,0.8218926287,24.92665667,-335.0733433,10.22918151,
35953333,-1.703196597,0.8219401024,21.26241038,-338.7375896,10.23217539,
36057777,-1.699735216,0.8222677159,17.57103005,-342.4289699,10.25287964,
36162222,-1.694848376,0.8227304688,13.8607625,-346.1392375,10.28225469,
36266666,-1.691613435,0.8230369407,10.14200445,-349.8579955,10.30179376,
36371111,-1.686950069,0.8234789395,6.40407228,-353.5959277,10.33009282,
36475555,-1.683608075,0.8237958432,2.673224756,-357.3267752,10.35047003,
36580000,-1.678007906,0.8243271513,-1.062555621,-361.0625556,10.38479859,
36684444,-1.675319582,0.824582324,-4.76752147,-364.7675215,10.40135958,
36788888,-1.672043816,0.8248933627,-8.472507539,-368.4725075,10.4216116,
36893333,-1.666626203,0.8254080304,-12.17778467,-372.1777847,10.45528059,
36997777,-1.664321137,0.8256271067,-15.86473664,-375.8647366,10.46967262,
37102222,-1.659643157,0.8260718864,-19.57412832,-379.5741283,10.49900358,
37206666,-1.65802015,0.826226257,-23.30488625,-383.3048863,10.50921863,
37311111,-1.653706048,0.8266367285,-27.01470776,-387.0147078,10.53646895,
37415555,-1.65016026,0.8269742502,-30.76479892,-390.7647989,10.55897317,
37520000,-1.641776261,0.8277728672,-34.5197321,-394.5197321,10.61257212,
37624444,-1.643632008,0.8275960317,-38.320992,-398.320992,10.60066105,
37728888,-1.640868112,0.8278594191,-42.04645305,-402.0464531,10.61841089,
37833333,-1.638743952,0.8280618994,-45.71507664,-405.7150766,10.63209313,
37937777,-1.635475779,0.8283735264,-49.41620711,-409.4162071,10.65321386,
38042222,-1.633998825,0.8285143955,-53.13398421,-413.1339842,10.66278654,
38146666,-1.631545638,0.8287484289,-56.85593705,-416.8559371,10.67872497,
38251111,-1.630465746,0.8288514713,-60.58941937,-420.5894194,10.68575631,
38355555,-1.630154405,0.8288811815,-64.28770612,-424.2877061,10.68778523,
