Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
30000000,-0.9740295198,0.8939197324,-134.510397,-134.510397,17.85364776,
30104444,-1.019040696,0.8892993302,-138.1501458,-138.1501458,17.06673802,
30208888,-1.023631934,0.8888293834,-141.8669497,-141.8669497,16.99036528,
30313333,-1.032423758,0.8879301689,-145.5622211,-145.5622211,16.84601601,
30417777,-1.042320632,0.8869190199,-149.252318,-149.252318,16.68644027,
30522222,-1.052370304,0.885893438,-152.9360651,-152.9360651,16.52747576,
30626666,-1.062376788,0.8848734419,-156.6466045,-156.6466045,16.37218616,
30731111,-1.073081909,0.8837835314,-160.362297,-160.362297,16.20926495,
30835555,-1.084218616,0.8826511049,-164.078667,-164.078667,16.04319413,
30940000,-1.093856249,0.8816722817,-167.8007738,-167.8007738,15.90221048,
31044444,-1.106227219,0.8804174445,-171.556285,-171.556285,15.72484747,
31148888,-1.117109843,0.8793150529,-175.3020705,-175.3020705,15.57207504,
31253333,-1.126831419,0.8783314408,-179.0514395,-179.0514395,15.43810046,
31357777,-1.135459381,0.8774594002,177.1776465,-182.8223535,15.32112136,
31462222,-1.14576525,0.8764189059,173.4060684,-186.5939316,15.18370524,
31566666,-1.155859008,0.8754010226,169.6420506,-190.3579494,15.0514961,
31671111,-1.166380174,0.8743412966,165.8283368,-194.1716632,14.91612794,
31775555,-1.179740714,0.8729974282,161.9993558,-198.0006442,14.7477126,
31880000,-1.190717041,0.8718949213,158.1750746,-201.8249254,14.61218353,
31984444,-1.203411678,0.8706215566,154.3192373,-205.6807627,14.45852576,
32088888,-1.218765627,0.8690839281,150.4339509,-209.5660491,14.2769631,
32193333,-1.237956987,0.8671658183,146.5154698,-213.4845302,14.05636557,
32297777,-1.265396405,0.8644306948,142.5241974,-217.4758026,13.75260198,
32402222,-1.305150187,0.8604833883,138.4899928,-221.5100072,13.33521052,
32506666,-1.36884438,0.854196487,134.4092645,-225.5907355,12.71709062,
32611111,-1.472068142,0.8441052334,130.3788638,-229.6211362,11.82916703,
32715555,-1.621058583,0.8297496366,126.6553444,-233.3446556,10.74740517,
32820000,-1.762800194,0.8163191605,123.6157314,-236.3842686,9.888451974,
32924444,-1.806524706,0.8122201597,121.0240781,-238.9759219,9.650770589,
33028888,-1.748277187,0.8176852066,118.195368,-241.804632,9.970036842,
33133333,-1.666972761,0.8253750982,114.8804313,-245.1195687,10.45312026,
33237777,-1.599549904,0.8318068736,111.2955511,-248.7044489,10.89109236,
33342222,-1.548835263,0.8366777828,107.551635,-252.448365,11.24573138,
33446666,-1.512881623,0.840148234,103.7428861,-256.2571139,11.51159152,
33551111,-1.489089378,0.842452709,99.92086167,-260.0791383,11.69460101,
33655555,-1.471451199,0.8441651909,96.10003654,-263.8999635,11.83410306,
33760000,-1.459355342,0.8453415833,92.26773979,-267.7322602,11.93172426,
33864444,-1.444031987,0.8468342228,88.32270009,-271.6772999,12.05774721,
33968888,-1.438970914,0.8473277979,84.56866386,-275.4313361,12.0999617,
34073333,-1.434126955,0.8478004686,80.78595957,-279.2140404,12.14064492,
34177777,-1.428673793,0.8483329004,76.98059053,-283.0194095,12.18677555,
34282222,-1.423031364,0.8488841639,73.18950079,-286.8104992,12.23488028,
34386666,-1.419739212,0.8492059715,69.38350748,-290.6164925,12.26312467,
34491111,-1.415221895,0.8496477374,65.5901757,-294.4098243,12.30209447,
34595555,-1.414018699,0.8497654414,61.8042261,-298.1957739,12.31251623,
34700000,-1.40459113,0.8506882682,58.01574865,-301.9842513,12.39479474,
34804444,-1.406469471,0.850504325,54.21549773,-305.7845023,12.37831345,
34908888,-1.403616582,0.8507837199,50.42300554,-309.5769945,12.40336322,
35013333,-1.399947307,0.8511432017,46.64500861,-313.3549914,12.43573167,
35117777,-1.398089024,0.851325317,42.86510579,-317.1348942,12.45218944,
35222222,-1.397594801,0.8513737584,39.04758257,-320.9524174,12.45657388,
35326666,-1.393130206,0.8518114817,35.26065606,-324.7393439,12.49632227,
35431111,-1.389835845,0.8521346157,31.44860633,-328.5513937,12.52581613,
35535555,-1.385480986,0.852561959,27.62731576,-332.3726842,12.56502017,
35640000,-1.381390189,0.8529635851,23.76674039,-336.2332596,12.60207267,
35744444,-1.376883541,0.8534062575,19.89728171,-340.1027183,12.64314715,
35848888,-1.372559782,0.8538311814,16.04524921,-343.9547508,12.68280881,
35953333,-1.368758031,0.8542049788,12.20952227,-347.7904777,12.71788957,
36057777,-1.3639527,0.854677685,8.42592609,-351.5740739,12.76251128,
36162222,-1.362112381,0.8548587887,4.684481124,-355.3155189,12.77968381,
36266666,-1.359349991,0.8551307043,0.9462197119,-359.0537803,12.80554789,
36371111,-1.354819476,0.8555768523,-2.800916547,-362.8009165,12.84819561,
36475555,-1.352134693,0.8558413495,-6.552363298,-366.5523633,12.87360379,
36580000,-1.34701659,0.8563457969,-10.30114496,-370.301145,12.9223215,
36684444,-1.344449078,0.8565989666,-14.04794748,-374.0479475,12.94690088,
36788888,-1.341977646,0.8568427328,-17.82046131,-377.8204613,12.97064948,
36893333,-1.337489226,0.8572856194,-21.60882775,-381.6088277,13.0140047,
36997777,-1.333331104,0.8576961187,-25.3958985,-385.3958985,13.05443044,
37102222,-1.33066489,0.8579594369,-29.17639198,-389.176392,13.08048487,
37206666,-1.32814572,0.8582083071,-32.97582054,-392.9758205,13.10519868,
37311111,-1.324892832,0.8585297685,-36.68913535,-396.6891354,13.13724978,
37415555,-1.323431812,0.8586741906,-40.43835432,-400.4383543,13.15169677,
37520000,-1.316745669,0.8593354273,-44.52510799,-404.525108,13.21822114,
37624444,-1.316635502,0.8593463267,-48.13303595,-408.133036,13.21932292,
37728888,-1.314547429,0.8595529369,-51.85343888,-411.8534389,13.24024081,
37833333,-1.313101729,0.8596960149,-55.6432448,-415.6432448,13.2547626,
37937777,-1.310241109,0.8599791947,-59.45881967,-419.4588197,13.28359161,
38042222,-1.310087775,0.8599943762,-63.30102319,-423.3010232,13.28514045,
38146666,-1.308839383,0.860117989,-67.12959789,-427.1295979,13.29776413,
38251111,-1.308878403,0.8601141251,-70.91571339,-430.9157134,13.2973692,
38355555,-1.310109216,0.8599922533,-74.63568378,-434.6356838,13.28492385,
38460000,-1.311081309,0.8598960115,-78.36460359,-438.3646036,13.27511109,
38564444,-1.308159344,0.8601853323,-82.11864337,-442.1186434,13.30465082,
38668888,-1.307189824,0.8602813517,-85.8807769,-445.8807769,13.31448146,
38773333,-1.3085792,0.8601437539,-89.62378123,-449.6237812,13.30039813,
38877777,-1.309860804,0.860016849,-93.39798043,-453.3979804,13.28743378,
38982222,-1.315501295,0.8594585478,-97.17656895,-457.1765689,13.23067692,
39086666,-1.316116203,0.8593977055,-100.9436581,-460.9436581,13.22451894,
39191111,-1.321059146,0.8589087809,-104.7112131,-464.7112131,13.17522658,
39295555,-1.324881326,0.8585309057,-108.4745521,-468.4745521,13.13736343,
39400000,-1.328771165,0.8581465122,-112.2433146,-472.2433146,13.09905411,
39504444,-1.333311132,0.8576980909,-116.0329975,-476.0329975,13.05462521,
39608888,-1.341532638,0.856886633,-119.8030683,-479.8030683,12.97493499,
39713333,-1.349476249,0.8561033324,-123.5859104,-483.5859104,12.89886252,
39817777,-1.353766493,0.8556805795,-127.3894066,-487.3894066,12.85814877,
39922222,-1.359940971,0.855072524,-131.1819976,-491.1819976,12.80000573,
40026666,-1.368825984,0.8541982961,-134.9783019,-494.9783019,12.71726082,
40131111,-1.37786063,0.8533102619,-138.7764107,-498.7764107,12.63421891,
40235555,-1.385437312,0.8525662459,-142.5793869,-502.5793869,12.56541459,
40340000,-1.394672691,0.8516602261,-146.4030942,-506.4030942,12.48256066,
40444444,-1.404486779,0.8506984883,-150.2451303,-510.2451303,12.39571165,
40548888,-1.415035162,0.8496660038,-154.0985964,-514.0985964,12.30371074,
40653333,-1.425803329,0.8486132991,-157.9457446,-517.9457446,12.21120011,
40757777,-1.437899431,0.8474323298,-161.7448038,-521.7448038,12.10893715,
40862222,-1.451270442,0.8461288007,-165.499579,-525.499579,11.997884,
40966666,-1.464037219,0.8448860492,-169.2402645,-529.2402645,11.89374675,
41071111,-1.479105373,0.8434216238,-173.0099171,-533.0099171,11.77315584,
