Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S11_VSWR,
419577777,-7.083140145,0.4424283956,80.84602993,-24759.15397,2.58698324,
419682222,-7.177628581,0.4376415736,75.7741584,-24764.22584,2.556450666,
419786666,-7.565161104,0.4185447944,70.66563077,-24769.33437,2.439645876,
419891111,-8.281438746,0.3854145116,66.89207731,-24773.10792,2.254225877,
419995555,-9.161896483,0.3482612671,66.45704475,-24773.54296,2.068714347,
420100000,-9.734648026,0.3260375333,69.93479494,-24770.06521,1.967524304,
420204444,-9.637891048,0.3296897518,74.87970697,-24765.12029,1.983693007,
420308888,-8.815545908,0.3624288029,77.94838932,-24762.05161,2.136904567,
420413333,-7.767672081,0.4088993272,74.94573591,-24765.05426,2.383518395,
420517777,-7.41135017,0.4260224558,68.7553895,-24771.24461,2.484456875,
420622222,-7.491599994,0.4221045176,64.05052224,-24775.94948,2.460833422,
420726666,-7.651208476,0.4144189216,61.15194288,-24778.84806,2.415410903,
420831111,-7.698092389,0.4121880346,59.45810986,-24780.54189,2.402448602,
420935555,-7.585208718,0.417579879,57.53480715,-24782.46519,2.433947296,
421040000,-7.50922176,0.4212490282,54.72748031,-24785.27252,2.45571774,
421144444,-7.616294637,0.416088074,52.50399283,-24787.49601,2.42517409,
421248888,-7.574578486,0.4180912473,52.24265372,-24787.75735,2.436964972,
421353333,-7.166114127,0.4382221181,51.20571766,-24788.79428,2.560125922,
421457777,-6.793669879,0.4574214287,47.96423323,-24792.03577,2.68610208,
421562222,-6.591705731,0.468182001,44.81636906,-24795.18363,2.760685053,
421666666,-6.298504092,0.4842557603,41.63032139,-24798.36968,2.877891106,
421771111,-6.01143391,0.500527916,37.4815337,-24802.51847,3.004227792,
421875555,-5.823938405,0.5114498785,32.45090559,-24807.54909,3.093745784,
421980000,-5.818802208,0.5117524018,26.88872246,-24813.11128,3.096282311,
422084444,-6.008204209,0.5007140635,21.50685004,-24818.49315,3.005720678,
422188888,-6.393486499,0.478989149,16.49251169,-24823.50749,2.838691644,
422293333,-7.107049888,0.4412121928,12.97960667,-24827.02039,2.579176164,
422397777,-7.797498353,0.4074976254,13.97903057,-24826.02097,2.375513898,
422502222,-7.95581127,0.4001376678,16.96487605,-24823.03512,2.33409833,
422606666,-7.523155945,0.4205737887,20.6557486,-24819.34425,2.451690588,
422711111,-6.428047838,0.4770870278,20.62884192,-24819.37116,2.824728218,
422815555,-5.536096489,0.5286827928,14.77749417,-24825.22251,3.243426655,
422920000,-5.370714461,0.5388455206,7.960406064,-24832.03959,3.336941501,
423024444,-5.419205188,0.5358456884,3.65900256,-24836.341,3.308911821,
423128888,-5.247284007,0.5465574263,0.2291144186,-24839.77089,3.410701853,
423233333,-5.051001384,0.5590490719,-4.562545227,-24844.56255,3.535652093,
423337777,-4.992634329,0.5628183952,-9.921684527,-24849.92168,3.5747579,
423442222,-5.085880036,0.5568086818,-15.53223857,-24855.53224,3.512723778,
423546666,-5.372686729,0.5387231811,-20.76186303,-24860.76186,3.335791261,
423651111,-5.776241807,0.5142661151,-25.10825273,-24865.10825,3.117480913,
423755555,-6.324295914,0.4828199473,-28.43915265,-24868.43915,2.867125171,
423860000,-6.986202602,0.4473937058,-29.09828879,-24869.09829,2.61921321,
423964444,-7.219036897,0.4355601665,-25.9132209,-24865.91322,2.543336032,
424068888,-6.61653351,0.4668456586,-24.06423906,-24864.06424,2.75125896,
424173333,-5.910393929,0.5063843831,-26.70706095,-24866.70706,3.051735665,
424277777,-5.504168884,0.5306297018,-31.39287853,-24871.39288,3.261028036,
424382222,-5.325867411,0.5416348867,-36.26837428,-24876.26837,3.363333818,
424486666,-5.264673537,0.5454642891,-41.10291124,-24881.10291,3.400094321,
424591111,-5.346177812,0.5403698499,-45.83626558,-24885.83627,3.351324645,
424695555,-5.543519104,0.5282311946,-49.49766834,-24889.49767,3.239364657,
424800000,-5.579851969,0.5260262312,-52.14526965,-24892.14527,3.219642798,
424904444,-5.506349345,0.530496512,-56.30268213,-24896.30268,3.259819258,
425008888,-5.814311459,0.5120170547,-61.72331419,-24901.72331,3.098503891,
425113333,-6.601864058,0.4676347725,-63.0314011,-24903.0314,2.756819373,
425217777,-6.360281784,0.4808237495,-59.71982527,-24899.71983,2.852256335,
425322222,-5.724583507,0.5173337651,-63.03778495,-24903.03778,3.143650116,
425426666,-5.634499544,0.5227271081,-68.30353975,-24908.30354,3.190474745,
425531111,-5.894744158,0.5072975818,-71.55043901,-24911.55044,3.05924535,
425635555,-5.826339404,0.5113085204,-72.52062229,-24912.52062,3.092561633,
425740000,-5.531172641,0.528982577,-75.25111847,-24915.25112,3.24612743,
425844444,-5.334082007,0.5411228829,-79.1413443,-24919.14134,3.358465317,
425948888,-5.240302556,0.546996909,-83.23124576,-24923.23125,3.414980912,
