Frequency,S11_Magnitude,S21_Magnitude,S22_Magnitude,
10000000.0,-13.464240904854579,27.3652193996823,-13.04204618768295,
10989010.98901099,-13.464240904854579,27.3652193996823,-13.04204618768295,
11978021.978021977,-13.464240904854579,27.3652193996823,-13.04204618768295,
12967032.967032967,-13.464240904854579,27.3652193996823,-13.04204618768295,
13956043.956043955,-13.464240904854579,27.3652193996823,-13.04204618768295,
14945054.945054945,-13.464240904854579,27.3652193996823,-13.04204618768295,
15934065.934065934,-13.464240904854579,27.3652193996823,-13.04204618768295,
16923076.923076924,-13.464240904854579,27.3652193996823,-13.04204618768295,
17912087.91208791,-13.464240904854579,27.3652193996823,-13.04204618768295,
18901098.9010989,-13.464240904854579,27.3652193996823,-13.04204618768295,
19890109.89010989,-13.464240904854579,27.3652193996823,-13.04204618768295,
20879120.87912088,-13.464240904854579,27.3652193996823,-13.04204618768295,
21868131.86813187,-13.464240904854579,27.3652193996823,-13.04204618768295,
22857142.85714286,-13.464240904854579,27.3652193996823,-13.04204618768295,
23846153.846153848,-13.464240904854579,27.3652193996823,-13.04204618768295,
24835164.835164834,-13.464240904854579,27.3652193996823,-13.04204618768295,
25824175.824175823,-13.464240904854579,27.3652193996823,-13.04204618768295,
26813186.813186813,-13.464240904854579,27.3652193996823,-13.04204618768295,
27802197.802197803,-13.464240904854579,27.3652193996823,-13.04204618768295,
28791208.79120879,-13.464240904854579,27.3652193996823,-13.04204618768295,
29780219.78021978,-13.464240904854579,27.3652193996823,-13.04204618768295,
30769230.769230768,-13.464240904854579,27.3652193996823,-13.04204618768295,
31758241.758241758,-13.464240904854579,27.3652193996823,-13.04204618768295,
32747252.747252747,-13.464240904854579,27.3652193996823,-13.04204618768295,
33736263.73626374,-13.464240904854579,27.3652193996823,-13.04204618768295,
34725274.72527473,-13.464240904854579,27.3652193996823,-13.04204618768295,
35714285.71428572,-13.464240904854579,27.3652193996823,-13.04204618768295,
36703296.703296706,-13.464240904854579,27.3652193996823,-13.04204618768295,
37692307.692307696,-13.464240904854579,27.3652193996823,-13.04204618768295,
38681318.681318685,-13.464240904854579,27.3652193996823,-13.04204618768295,
39670329.67032967,-13.464240904854579,27.3652193996823,-13.04204618768295,
40659340.65934066,-13.464240904854579,27.3652193996823,-13.04204618768295,
41648351.64835165,-13.464240904854579,27.3652193996823,-13.04204618768295,
42637362.63736264,-13.464240904854579,27.3652193996823,-13.04204618768295,
43626373.62637363,-13.464240904854579,27.3652193996823,-13.04204618768295,
44615384.615384616,-13.464240904854579,27.3652193996823,-13.04204618768295,
45604395.604395606,-13.464240904854579,27.3652193996823,-13.04204618768295,
46593406.593406595,-13.464240904854579,27.3652193996823,-13.04204618768295,
47582417.58241758,-13.464240904854579,27.3652193996823,-13.04204618768295,
48571428.57142857,-13.464240904854579,27.3652193996823,-13.04204618768295,
49560439.56043956,-13.464240904854579,27.3652193996823,-13.04204618768295,
50549450.54945055,-13.464240904854579,27.3652193996823,-13.04204618768295,
51538461.538461536,-13.464240904854579,27.3652193996823,-13.04204618768295,
52527472.527472526,-13.391433066237092,27.3652193996823,-13.13388456485751,
53516483.516483516,-13.304093632966962,27.352991686920934,-13.269592567087368,
54505494.505494505,-13.218095910670833,27.337086898672244,-13.404222327951365,
55494505.494505495,-13.133405098070801,27.321182110423553,-13.536842944068976,
56483516.483516484,-13.049987692315202,27.305277322174863,-13.673229540070952,
57472527.472527474,-12.98151053321861,27.28937253392617,-13.81822610567365,
58461538.46153846,-12.919432021237046,27.27346774567748,-13.966976681686072,
59450549.450549446,-12.858048362323267,27.257562957428785,-14.121184113226317,
60439560.439560436,-12.79734644754643,27.24165816918009,-14.280126639542452,
61428571.428571425,-12.737313524165375,27.2257533809314,-14.444325606854001,
62417582.417582415,-12.671075974446557,27.209427279486896,-14.614594441217811,
63406593.406593405,-12.605570921226583,27.192071898679405,-14.78975962230402,
64395604.395604394,-12.540852599715306,27.174716517871918,-14.965538622154142,
65384615.384615384,-12.476905156640095,27.157361137064427,-15.146573976586575,
66373626.37362637,-12.413295054491487,27.14000575625694,-15.339857573997747,
67362637.36263737,-12.350226093805523,27.123450028655757,-15.542926226892943,
68351648.35164835,-12.28789752545155,27.107545240407067,-15.750405871128429,
69340659.34065934,-12.226294810958521,27.091640452158373,-15.959177633182001,
70329670.32967032,-12.166167039876745,27.075735663909683,-16.17510564971452,
71318681.31868131,-12.106997447461282,27.059830875660992,-16.40146265133787,
72307692.3076923,-12.048489466017182,27.0439260874123,-16.63628821133653,
73296703.2967033,-11.99063075502323,27.02802129916361,-16.87997864509839,
74285714.28571428,-11.93420644935465,27.012116510914918,-17.133147222884,
75274725.27472527,-11.878589618579166,26.996211722666228,-17.392543149992118,
76263736.26373626,-11.823565951218614,26.980412675086033,-17.648467817967184,
77252747.25274725,-11.769124921686416,26.96595847939614,-17.91460078627855,
78241758.24175824,-11.71646123681425,26.951504283706246,-18.191698085770327,
79230769.23076923,-11.664520299904355,26.937050088016353,-18.480601774548045,
80219780.21978022,-11.613104100557488,26.92259589232646,-18.782253482594275,
81208791.20879121,-11.562203839581628,26.90717353527858,-19.097710731082174,
82197802.1978022,-11.514066158667578,26.88981815447109,-19.423010790620324,
83186813.18681319,-11.468290768014477,26.872462773663603,-19.73265406963553,
84175824.17582417,-11.422928641256899,26.855107392856112,-20.05649856270619,
85164835.16483516,-11.37797359673951,26.837752012048625,-20.408015720282428,
86153846.15384614,-11.333419585074193,26.822121472620108,-20.793442627293736,
87142857.14285713,-11.293770579811602,26.807667276930214,-21.200567971284286,
88131868.13186812,-11.255416367829426,26.79321308124032,-21.54342392000009,
89120879.12087911,-11.21735686032586,26.778758885550427,-21.90095638135963,
90109890.1098901,-11.179588312445537,26.764304689860534,-22.27665845456378,
91098901.0989011,-11.142466170745484,26.751091254870623,-22.62968619771872,
92087912.08791208,-11.108796627212186,26.738087651739527,-22.994518395206885,
93076923.07692307,-11.075356694985206,26.72508404860843,-23.37791259989369,
94065934.06593406,-11.042143787968177,26.712080445477337,-23.711277281826916,
