,can freq,num bins,idx,idx absolute,delta
269,207.99832658751743,1,4417953,5816054,223378.0
270,215.999785995463,4,4641690,6039791,223737.0
271,224.99834775908926,11,4893308,6291409,251618.0
272,225.50439124149239,1,4907458,6305559,14150.0
273,227.49999070167453,1,4963259,6361360,55801.0
274,229.49559016185665,1,5019060,6417161,55801.0
275,239.99980115888607,1,5312779,6710880,293719.0
276,249.99614477120826,2,5592297,6990398,279518.0
277,250.00011444092888,2,5592408,6990509,111.0
278,263.99981632230913,2,5983868,7381969,391460.0
279,287.9998314857322,2,6654957,8053058,671089.0
280,288.0139577878912,2,6655352,8053453,395.0
