% Model:              vivaldiRecieveFreeSpace.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 26 2022, 17:21
% Table:              Table 2 - af
% freq (GHz)                                      20*log10(1/abs(emw.Vport_1))
3.5                                               34.01677201156077
3.571428571428572                                 33.91794729047141
3.6428571428571432                                33.84635830236726
3.714285714285715                                 33.78316730506827
3.7857142857142856                                33.70828199975067
3.857142857142857                                 33.60690526679916
3.9285714285714284                                33.47415742238366
4                                                 33.315552674372015
4.071428571428571                                 33.144555478658475
4.142857142857142                                 32.978912385619864
4.214285714285715                                 32.8370431402175
4.285714285714286                                 32.735284036614644
4.357142857142857                                 32.6862031630607
4.42857142857143                                  32.697904451877015
4.5                                               32.77422350237741
