% Model:              vivaldiDemo2.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 26 2022, 17:29
% Table:              Table 1 - Global Evaluation 1
% freq (GHz)                                      Voltage standing wave ratio (1)
3.5                                               1.2155007155475028
3.571428571428572                                 1.3370622340639906
3.6428571428571432                                1.4822379290901193
3.714285714285715                                 1.6257340158188507
3.7857142857142856                                1.7448493389620974
3.857142857142857                                 1.821995684509834
3.9285714285714284                                1.8494790668256604
4                                                 1.8310256886658363
4.071428571428571                                 1.7791486490048682
4.142857142857142                                 1.7104164384175153
4.214285714285715                                 1.6407853115740572
4.285714285714286                                 1.581920715499248
4.357142857142857                                 1.538738033386581
4.42857142857143                                  1.5090073486661315
4.5                                               1.4861729632334562
