% Model:              vivaldiRecieveFreeSpace.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 26 2022, 17:49
% Table:              Table 2 - af
% freq (GHz)                                      20*log10(1/abs(emw.Vport_1))                      20*log10(1/abs(emw.Vport_1))                      20*log10(1/abs(emw.Vport_1))
3.5                                               34.01677201156077                                 36.48960793469863                                 31.016652770115396
3.571428571428572                                 33.91794729047141                                 36.40172431756807                                 30.922489213636602
3.6428571428571432                                33.84635830236726                                 36.338214598488875                                30.855113787110213
3.714285714285715                                 33.78316730506827                                 36.27848130046131                                 30.793889952971224
3.7857142857142856                                33.70828199975067                                 36.20383725765275                                 30.717261663420796
3.857142857142857                                 33.60690526679916                                 36.096789449142946                                30.60993229602677
3.9285714285714284                                33.47415742238366                                 35.955611879193185                                30.468059390219288
4                                                 33.315552674372015                                35.78910949610493                                 30.29967981291758
4.071428571428571                                 33.144555478658475                                35.6136641659728                                  30.121633374243473
4.142857142857142                                 32.978912385619864                                35.448545026018444                                29.95457464452317
4.214285714285715                                 32.8370431402175                                  35.31233923734441                                 29.81835614691565
4.285714285714286                                 32.735284036614644                                35.22046484536371                                 29.728964358779315
4.357142857142857                                 32.6862031630607                                  35.18382288082164                                 29.697025795435028
4.42857142857143                                  32.697904451877015                                35.208612233616876                                29.727721836899512
4.5                                               32.77422350237741                                 35.29728072016847                                 29.821954328532108
