% Model:              vivaldi_antenna.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 5 2022, 14:07
% Dimension:          3
% Nodes:              17442
% Expressions:        1
% Description:        Far-field gain, dBi
% Length unit:        mm
% X                       Y                        Z                        emw.gaindBEfar (1) @ freq=4
-47.50067756962339        -74.86740700593035       -54.35583684053674       -9.971897358971914
-54.13136477317578        -75.3482369933607        -46.99402653301519       -9.89198487110083
-55.94406552903194        -68.23908848265943       -55.04260472705814       -8.407643288608257
-50.241101275563196       -79.18668048704171       -57.491750504413865      -9.971897358971903
-57.25432812547438        -79.69525066605458       -49.705220371458374      -9.891984871100826
-59.17160777109147        -72.17595897204363       -58.21813961515764       -8.407643288608249
-50.12523947933344        -66.69406203324014       -62.09156510063015       -9.150979838353619
-53.01708021852575        -70.54179638131168       -65.67377077951267       -9.150979838353614
-62.056735083777966       -68.99705778217462       -46.95069379833552       -6.861862142793568
-65.6369313386113         -72.97765726960777       -49.659387671316416      -6.861862142793569
-60.53355029759306        -75.18180390211903       -38.72190143048371       -7.98765980514304
-64.02587050706958        -79.51921566570282       -40.95585728224239       -7.987659805143047
-51.70970283808963        -81.7517624544658        -38.19366397696171       -11.029181092796149
-54.692954924902494       -86.46821028837728       -40.397144591017195      -11.029181092796149
-59.620882558788516       -59.41303143541977       -61.08553068088195       -6.449047957136046
-63.06054886025708        -62.84070632592476       -64.6096959124713        -6.449047957136058
-63.39166356681095        -63.34826404573962       -52.76830898013983       -6.012931587360543
-67.04887492643466        -67.00297158683999       -55.812634498224824      -6.012931587360544
-68.21323808517417        -56.18415819820689       -54.82968646175359       -4.628625376912402
-72.14861720547268        -59.425551940411125      -57.99293760377784       -4.6286253769123995
-69.21967142886899        -62.19200822039356       -46.441266141158515      -4.856598291498407
-73.21311401130374        -65.78000869464702       -49.12056995699459       -4.856598291498407
-75.41532984626252        -54.3517992204875        -46.630568789960556      -3.9366068110065577
-79.76621426046998        -57.48747994474638       -49.32079391245827       -3.9366068110065555
-74.93466932863748        -47.60896989811745       -54.16808394108013       -3.4904491277501086
-79.25782332836658        -50.35564123839346       -57.29316570691167       -3.490449127750107
-45.50347821851024        -81.464519482748         -45.92347477557132       -9.788972520135435
-48.12867888496276        -86.1643956067527        -48.57290601262351       -9.788972520135438
-66.65413754517456        -49.75007335036773       -62.43521562181059       -4.317345365165695
-70.49956855739617        -52.62026988981202       -66.03724729229967       -4.317345365165694
-37.9056403328262         -85.5487193215019        -45.39360145889845       -6.968299657748245
-37.91761790092981        -81.28097956254717       -52.64652518516181       -7.080643689382096
-40.092504198181565       -90.48422235928088       -48.012463081527216      -6.968299657748249
-40.10517277982961        -85.97026684500183       -55.683824715075         -7.080643689382097
-40.009819936588926       -73.99994549210057       -61.149181317560405      -7.860289998215332
-42.31807877908443        -78.26917311664485       -64.67701870126582       -7.860289998215329
-50.53459424200575        -58.899831941955796      -69.23196214181141       -8.189909827774668
-53.45005160212147        -62.297899169376315      -73.22611380383898       -8.189909827774665
-40.67641359483604        -66.15742174356565       -69.17098326108881       -8.014905981714973
-43.023129763768885       -69.97419607492519       -73.16161691076702       -8.014905981714962
-59.33233389255845        -50.26422061467772       -69.05926643732158       -5.5846563760041965
-62.75535315559067        -53.16407949629374       -73.04345488562859       -5.5846563760041965
-50.49940732842297        -50.09739167586199       -75.8687103274683        -7.422913609309365
-53.41283467429351        -52.98762581100787       -80.24575130789917       -7.422913609309362
-66.30593258911205        -40.81204395779269       -68.94853422281963       -3.562608916118109
-70.1312748538685         -43.16658495535764       -72.92633427413615       -3.562608916118109
-74.06154412992262        -40.125725421757934      -60.99847408312128       -2.8157626190269767
-78.33432552203354        -42.44067111916705       -64.51761681868595       -2.8157626190269767
-57.94296826174087        -81.1602730665952        -29.523253627854004      -9.655292447956914
-61.28583181530284        -85.8425965127449        -31.226518260230197      -9.655292447956915
-68.25545917281684        -68.42243725743333       -38.4130495126401        -5.329756159246293
-72.19327412509472        -72.36988556074678       -40.62918698452318       -5.329756159246293
-66.5381881416735         -74.16993722185988       -29.79076923022668       -6.051803593529859
-70.3769297652316         -78.44897206158257       -31.50946745504745       -6.051803593529861
-75.61615856413175        -60.51142078778464       -37.90203844449203       -4.140651542651898
-79.97862925052397        -64.00246429477221       -40.08869450859735       -4.140651542651896
-81.47356265533547        -38.75493877374904       -51.73116380761301       -2.679168511349427
-86.17396050083559        -40.99080062608071       -54.715654027282994      -2.6791685113494257
-81.42284230812055        -46.08695683585668       -45.41269822502092       -3.48867376110856
-86.12031397974287        -48.745819730233016      -48.032661584156735      -3.48867376110856
-81.52565421118577        -52.457048540674805      -37.65402719284424       -3.9531417675641527
-86.22905733875417        -55.48341672571373       -39.82637491550833       -3.9531417675641514
-48.49383434416466        -87.17724068413051       -29.40198526123526       -10.670299757131604
-51.29155555632801        -92.20669687744574       -31.098253641691144      -10.670299757131607
-42.142707468280875       -87.11117290178683       -38.10033809453542       -8.393165030931685
-44.574017514527846       -92.13681749227453       -40.29843452306632       -8.393165030931677
-31.719476924206305       -91.07711878787858       -38.920858378938654      -5.21083390724238
-33.54944674675666        -96.33156794871772       -41.166292516185116      -5.210833907242379
-30.157040921518092       -86.62433077382059       -49.0181415482636        -4.9179394942317884
-31.89687020545183        -91.62188831846409       -51.84611125297112       -4.917939494231791
-30.58240100980612        -80.47150817989625       -58.3528330051618        -5.04830325219014
-32.346770298832276       -85.11409519027576       -61.719342601612816      -5.048303252189874
-31.326033653076532       -72.98188306563476       -67.144056771693         -5.367249322902754
-33.13330482536941        -77.19237631942138       -71.0177523546753        -5.3672493229027545
-40.85599367090623        -57.98557602616267       -76.05564248678058       -8.039420944692802
-43.213070228843115       -61.33089771997974       -80.44346801486408       -8.039420944692795
-31.282560753801903       -64.80979363095538       -75.08057033745594       -5.642681239358764
-33.08732387421355        -68.54882018658742       -79.4121417030784        -5.642681239358769
-41.12824153866807        -48.63280775356025       -82.21507013888771       -8.27564094521564
-43.50102470436047        -51.43854666241948       -86.95824726228508       -8.275640945215637
-58.91751107257607        -40.771752228054154      -75.3816364194028        -4.847254025177532
-62.31659824984008        -43.123968702749586      -79.73057698206065       -4.847254025177533
-49.61857311975339        -40.67274154524992       -81.85184968437177       -7.164527367678146
-52.48118310743148        -43.01924586516819       -86.57407178154706       -7.1645273676781445
-40.69646294586071        -39.27703429969887       -87.27607049080788       -8.906302208229828
-43.0443358081219         -41.54301704775841       -92.31122840373911       -8.90630220822983
-65.13371069346124        -31.182363003516365      -74.84156578277494       -2.905849360686741
-68.89142477193016        -32.981345484488465      -79.15934842408888       -2.905849360686741
-54.40918205335883        -86.33017713137002       -20.068418591177785      -11.187779983998896
-57.54817332566801        -91.31076427356444       -21.226211971438047      -11.187779983998894
-73.31430768917856        -31.033780758038308      -66.91723798781949       -1.9384816670307015
-77.54397928663116        -32.82419118638667       -70.77784787173213       -1.9384816670307004
-80.61997599609796        -30.517354940603035      -58.1817026032914        -1.6520571510797861
-85.27112845741131        -32.27797157179167       -61.538339291942826      -1.6520571510797841
-63.80530925750362        -79.61659379048803       -20.15143924772479       -7.326259765528615
-67.48638479159037        -84.20985881686234       -21.31402228124738       -7.326259765528618
-74.4930933597571         -66.3056085679013        -29.50161544957781       -4.293939523811756
-78.79077182282           -70.13093213912636       -31.20363172551499       -4.29393952381175
-72.27417514331009        -72.01725085454106       -20.148428889326606      -4.660909125009076
-76.44383909388566        -76.17209224999533       -21.31083824832622       -4.660909125009071
-87.07546760051494        -29.581702477007013      -48.56733285567076       -1.8005727056955567
-92.09905226977543        -31.288339158372793      -51.36929436657485       -1.8005727056955525
-81.16573709337227        -57.8399088804296        -29.70973010300121       -4.0616597511355215
-85.84837577183605        -61.17682670045438       -31.42375299355897       -4.0616597511355215
-87.12065939998848        -38.033955101090555      -42.18304120235329       -3.076617170493311
-92.14685128844934        -40.22822174153809       -44.61667819479674       -3.0766171704933143
-85.55574889760318        -45.39337894986522       -37.89003797945056       -3.8466119365802953
-90.49165748784951        -48.012227735434365      -40.076001709034244      -3.8466119365802998
-86.86154647224568        -48.89854477705894       -29.66486243244465       -4.385143066482937
-91.87278953795217        -51.719614668043114      -31.376296803547227      -4.385143066482936
-44.655315399373606       -91.77202085095267       -19.994974256416914      -8.892909620482516
-47.23158359549131        -97.0665605154307        -21.148530463517893      -8.89290962048252
