% Model:              vivaldiRecieveFreeSpace.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 26 2022, 17:35
% Table:              Table 2 - af
% freq (GHz)                                      20*log10(1/abs(emw.Vport_1))                      20*log10(1/abs(emw.Vport_1))
3.5                                               34.01677201156077                                 36.48960793469863
3.571428571428572                                 33.91794729047141                                 36.40172431756807
3.6428571428571432                                33.84635830236726                                 36.338214598488875
3.714285714285715                                 33.78316730506827                                 36.27848130046131
3.7857142857142856                                33.70828199975067                                 36.20383725765275
3.857142857142857                                 33.60690526679916                                 36.096789449142946
3.9285714285714284                                33.47415742238366                                 35.955611879193185
4                                                 33.315552674372015                                35.78910949610493
4.071428571428571                                 33.144555478658475                                35.6136641659728
4.142857142857142                                 32.978912385619864                                35.448545026018444
4.214285714285715                                 32.8370431402175                                  35.31233923734441
4.285714285714286                                 32.735284036614644                                35.22046484536371
4.357142857142857                                 32.6862031630607                                  35.18382288082164
4.42857142857143                                  32.697904451877015                                35.208612233616876
4.5                                               32.77422350237741                                 35.29728072016847
