"Freq., MHz","CST AF(f) + 5.6, dB (-40dB, w/o features)",,CST XY Data Exchange Format V2,
10,22.252160800078,,,
10.29029029029,21.543956202201,,Title    = Antenna Factor,
10.580580580581,20.23511896027,,Xlabel   = ,
10.870870870871,21.673697705156,,"Ylabel   = AF, dB",
11.161161161161,21.185575281888,,,
11.451451451451,21.015972226378,,Curvelabel  = Antenna Factor_(4),
11.741741741742,20.860714662684,,Filename    = ^Antenna Factor.sig,
12.032032032032,20.827650801377,,Npoints     = 1000,
12.322322322322,20.257118129601,,Type        = 8,
12.612612612613,20.080827278639,,Subtype     = 16,
12.902902902903,20.180942586612,,Logfactor   = 20,
13.193193193193,19.878363770367,,Result type = complex:none,
13.483483483483,19.529523938507,,View type   = Cartesian,
13.773773773774,19.65115873556,,Plot type   = Real,
14.064064064064,19.279823145853,,Parameters  = {AluminumConductivity=3.56e+07; DiscretePortImpedance=180; Fmax=300; Fmin=10; GalvanizedSteelConductivity=5.9e+06; MaxRunTime=0.002; Steel1010Conductivity=5.9e+06; NumberOfFTSamples=1000},
14.354354354354,18.895290782372,,Data type   = Re/Im,
14.644644644645,20.766059929755,,Type flags  = 00000,
14.934934934935,18.879273996872,,Yscale      = 1,
15.225225225225,18.382650586609,,,
15.515515515516,18.692282375907,,,
15.805805805806,18.384324569129,,,
16.096096096096,18.066267927644,,,
16.386386386386,17.698526895335,,,
16.676676676677,17.89256625847,,,
16.966966966967,17.751786889311,,,
17.257257257257,17.272888071136,,,
17.547547547548,17.350532082205,,,
17.837837837838,17.243641211715,,,
18.128128128128,16.973773396723,,,
18.418418418418,16.757882183596,,,
18.708708708709,16.963172919863,,,
18.998998998999,16.654663093465,,,
19.289289289289,15.984947664372,,,
19.57957957958,16.398870750631,,,
19.86986986987,16.276761052794,,,
20.16016016016,15.934280141129,,,
20.45045045045,15.959902623268,,,
20.740740740741,15.914035187835,,,
21.031031031031,15.677614684462,,,
21.321321321321,15.56332669629,,,
21.611611611612,15.753498980035,,,
21.901901901902,15.54109563276,,,
22.192192192192,15.181114689662,,,
22.482482482482,15.291852596337,,,
22.772772772773,15.667123062258,,,
23.063063063063,14.592808128553,,,
23.353353353353,14.965293481906,,,
23.643643643644,14.851382638662,,,
23.933933933934,14.416825021782,,,
24.224224224224,14.711300220118,,,
24.514514514515,14.473630695727,,,
24.804804804805,14.107720272791,,,
25.095095095095,13.557667862678,,,
25.385385385385,14.085136216657,,,
25.675675675676,14.095070616978,,,
25.965965965966,13.753381089001,,,
26.256256256256,13.841824440886,,,
26.546546546547,13.859476419786,,,
