"Freq., MHz","CST AF(f) + 5.6, dB (-26dB, w/ features)",,,CST XY Data Exchange Format V2
10,23.310827487472,,,
10.29029029029,22.760532780161,,,Title    = Mix 1DC
10.580580580581,22.707116528361,,,Xlabel   = 
10.870870870871,21.990333246671,,,Ylabel   = 
11.161161161161,22.067258943081,,,
11.451451451451,21.650782556761,,,Curvelabel  = Mix 1DC
11.741741741742,21.388318531603,,,Filename    = ^Mix 1DC.sig
12.032032032032,21.447458655989,,,Npoints     = 1000
12.322322322322,20.672420738648,,,Type        = 8
12.612612612613,21.146424211872,,,Subtype     = 16
12.902902902903,20.420967674606,,,Logfactor   = 20
13.193193193193,21.189570220979,,,Result type = complex:none
13.483483483483,19.540194572452,,,View type   = Cartesian
13.773773773774,20.316203027134,,,Plot type   = Real
14.064064064064,19.436443919733,,,Data type   = Re/Im
14.354354354354,19.911257496487,,,Type flags  = 00000
14.644644644645,19.137512606212,,,Yscale      = 1
14.934934934935,19.222104396591,,,
15.225225225225,18.985034942552,,,
15.515515515516,18.652201158916,,,
15.805805805806,18.602654642633,,,
16.096096096096,18.138303810663,,,
16.386386386386,18.729584437946,,,
16.676676676677,17.712543152692,,,
16.966966966967,18.912250637809,,,
17.257257257257,17.519778761386,,,
17.547547547548,18.628375684796,,,
17.837837837838,17.159521507898,,,
18.128128128128,17.7880870064,,,
18.418418418418,16.941289958743,,,
18.708708708709,17.264577052435,,,
18.998998998999,17.021461086882,,,
19.289289289289,16.892633709654,,,
19.57957957958,16.978091311647,,,
19.86986986987,16.335545765476,,,
20.16016016016,16.920581371999,,,
20.45045045045,15.911376394318,,,
20.740740740741,16.833104353869,,,
21.031031031031,15.801135719244,,,
21.321321321321,16.879488811226,,,
21.611611611612,15.368155725186,,,
21.901901901902,16.231812649754,,,
22.192192192192,20.318412563164,,,
22.482482482482,16.071139374859,,,
22.772772772773,15.350494445211,,,
23.063063063063,15.365213212821,,,
23.353353353353,15.428262219947,,,
23.643643643644,14.882335792567,,,
23.933933933934,15.456260484108,,,
24.224224224224,14.424114867324,,,
24.514514514515,15.379143739345,,,
24.804804804805,14.055312478619,,,
25.095095095095,15.165492439195,,,
25.385385385385,13.888116911399,,,
25.675675675676,14.849126865768,,,
25.965965965966,13.733670991647,,,
26.256256256256,14.518315295889,,,
26.546546546547,13.646761194591,,,
26.836836836837,13.896956433507,,,
27.127127127127,13.914950111901,,,
27.417417417417,13.340811526651,,,
27.707707707708,13.810649739381,,,
27.997997997998,12.717014401568,,,
28.288288288288,13.593178355445,,,
28.578578578579,11.973288352289,,,
28.868868868869,12.19525971613,,,
29.159159159159,13.918016834893,,,
29.449449449449,14.021740529102,,,
29.73973973974,12.799816869682,,,
30.03003003003,13.253418840932,,,
30.32032032032,11.981024706153,,,
30.610610610611,12.908349674197,,,
30.900900900901,12.619078142331,,,
31.191191191191,12.259016682188,,,
31.481481481481,12.698463623648,,,
31.771771771772,11.576211974979,,,
32.062062062062,12.588197220602,,,
32.352352352352,11.414152053923,,,
32.642642642643,12.513282133977,,,
32.932932932933,11.205317171231,,,
33.223223223223,12.283712705055,,,
33.513513513514,10.999022374105,,,
33.803803803804,11.937179747816,,,
34.094094094094,10.05517674017,,,
34.384384384384,11.672859757583,,,
34.674674674675,10.937105565378,,,
34.964964964965,11.069803629746,,,
35.255255255255,11.379769363371,,,
35.545545545546,10.56750636592,,,
35.835835835836,11.446753314604,,,
36.126126126126,10.250959085398,,,
36.416416416416,11.454056268922,,,
36.706706706707,10.034638878655,,,
36.996996996997,11.33637879085,,,
37.287287287287,10.012000519483,,,
37.577577577578,11.061260834405,,,
37.867867867868,10.021848405619,,,
38.158158158158,10.672213294574,,,
38.448448448448,10.516688621668,,,
38.738738738739,10.192626054603,,,
39.029029029029,10.320554044969,,,
39.319319319319,9.7265686334857,,,
39.60960960961,10.437437621083,,,
39.8998998999,9.4086080913831,,,
40.19019019019,10.468234385482,,,
40.48048048048,9.0943108754513,,,
40.770770770771,10.392616476,,,
41.061061061061,8.9693954249626,,,
41.351351351351,10.126873591553,,,
41.641641641642,9.0184771155091,,,
41.931931931932,9.8418210141896,,,
42.222222222222,8.5313241027472,,,
42.512512512513,9.3732243109899,,,
42.802802802803,9.3113131163735,,,
43.093093093093,8.8917765872091,,,
43.383383383383,9.490676396215,,,
43.673673673674,8.0616945749234,,,
43.963963963964,9.495618668822,,,
44.254254254254,8.1739759114699,,,
44.544544544545,9.4274716196101,,,
44.834834834835,7.9538433828348,,,
45.125125125125,9.2258113431828,,,
45.415415415415,8.0262262675946,,,
45.705705705706,8.9609685140409,,,
45.995995995996,8.2267847694935,,,
46.286286286286,8.6454005534917,,,
46.576576576577,8.2657202897978,,,
46.866866866867,8.1140411576103,,,
47.157157157157,8.4203914799231,,,
47.447447447447,7.7623417295215,,,
47.737737737738,8.5154838771665,,,
48.028028028028,7.3089989192954,,,
48.318318318318,8.5339174312385,,,
48.608608608609,7.1139768048483,,,
48.898898898899,8.4034250684336,,,
49.189189189189,7.100291308013,,,
49.479479479479,8.1701044601721,,,
49.76976976977,7.1597084199598,,,
50.06006006006,7.7850180701455,,,
50.35035035035,7.4271062527402,,,
50.640640640641,7.397098592152,,,
50.930930930931,7.5610920082819,,,
51.221221221221,6.9431852497865,,,
51.511511511512,7.7481262417019,,,
51.801801801802,6.6101537875044,,,
52.092092092092,7.7495984969691,,,
52.382382382382,6.3638900666915,,,
52.672672672673,7.6355444298695,,,
52.962962962963,6.3549975066246,,,
53.253253253253,7.4506619698926,,,
53.543543543544,6.398419632859,,,
