Freq(MHz),AF(20log(E/V)
55.895934277099400,16.48288319494180
56.45165969964050,15.817280484354100
57.15557856819240,15.11624645076940
68.77023989929990,12.048906202737900
71.20925703156330,10.904980631689900
72.84555966460070,10.606345195000300
75.4389449697922,9.781301530925870
87.07830520856810,7.112141865147120
89.05421782204740,6.54094599137629
90.62877318591360,6.293847024500660
92.75905397232090,4.630415431846350
94.24098843243030,4.6083283733546700
96.74175283386490,4.450405905139190
98.05167704414020,3.8473503259646900
98.87203362027220,3.056712514314460
102.02114434800500,3.064995161248830
103.74389315788200,2.6950369315132600
105.00816849416300,2.323008040044100
106.8374313433600,2.2201651739422300
108.87509122601100,1.7121628286337000
110.91275110866100,1.6320972416013700
112.95041099131100,1.930272531238990
114.98807087396200,1.9468378251077400
117.02573075661200,2.0738384114348800
118.97076973550600,2.412598671050960
119.80435786931700,2.846885458643530
121.91611447497300,4.204411291188150
122.58298498202300,5.37094542072002
123.13871040456400,6.061735704458680
123.50919401959100,6.621405990167390
125.45423299848500,5.242295974123540
126.56568384356700,5.899040853961960
126.28782113229600,5.154983071023640
127.05194358829000,6.798743377208820
127.47866132345500,7.541174211642170
127.95499739991900,8.548797652385180
128.12339904311300,9.73443226692418
128.86885698365300,10.913079219803500
129.09913797573900,12.713466815590400
129.04960808068200,11.825274735509700
129.29068832778100,13.792766656412900
129.29527636016500,15.630744989751900
129.272272475572,14.718065868516700
129.28537038115400,17.36360465229740
129.34431095627200,16.604362016646000
129.34431095627200,18.062107877096600
130.27051999384000,9.826856089064950
130.25199581308900,10.985966512826000
130.44253024367400,8.764639487377490
130.30139362842600,12.706916486969100
130.27051999384000,11.897057675607600
130.6410036088680,8.07553640949584
130.9693868130960,7.170427158389040
131.49774696861800,6.217922760935530
132.21555897273400,5.3776942441480300
134.3149661245550,5.314424024510420
135.80640016453700,6.262309253481310
135.45729060422300,5.4131255671451000
136.67988653381300,6.977165396586880
136.93922506433200,7.655422151102090
137.47179526093400,8.370375633007110
137.69653715975600,9.347788873079450
137.95805500565800,10.48482831602120
137.95805500565800,11.07707562910420
139.06950585074000,8.541205226028670
139.09596896609900,7.610590681187440
139.06950585074000,9.568713592943490
139.27533008131000,6.7612030468905000
139.06950585074000,10.317832993452800
